pair_name,feature1,feature2,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
pair_1_H3K9ac_vs_H3K4me,H3K9ac,H3K4me,2.7770938502455613,7.061877622846093,9.026361678313016,10.960180029842766,12.063930706957397,12.78884826605348,13.113675997120886
pair_2_H4K5ac_vs_H4R3me,H4K5ac,H4R3me,2.2111582557015255,6.207157122182314,8.165259365668184,10.113980348522087,11.241886062161909,11.997275758973213,12.356134628415873
pair_3_H3K4me3_vs_H3K56ac,H3K4me3,H3K56ac,3.0237159727590996,7.095764406632528,9.047082870846376,10.979487687314354,12.083218186448516,12.805599197333297,13.116691641965147
pair_4_Htz1_vs_H4K12ac,Htz1,H4K12ac,2.215260021407758,6.25927022166136,8.218041176252733,10.167117622288096,11.294592416452428,12.04968698417062,12.404883378138207
pair_5_H4R3me2s_vs_H3K14ac,H4R3me2s,H3K14ac,2.9169583952257603,7.101027054835747,9.0672154374136,11.00479939949027,12.11362807509919,12.843224408266774,13.164440708933181
pair_6_H4K8ac_vs_H3K4me2,H4K8ac,H3K4me2,2.89130626588544,7.1617807944701894,9.125913784891392,11.06368917505706,12.172649731416486,12.902965286491348,13.223617779146029
pair_7_H3S10ph_vs_H3K4ac,H3S10ph,H3K4ac,2.6617099841923717,6.524731246522723,8.480233049639043,10.418160073026502,11.529201836628491,12.260693434628893,12.607604774793364
pair_8_H3K23ac_vs_H3K79me3,H3K23ac,H3K79me3,2.906706542407413,7.214985255643121,9.182124898503819,11.12017784898244,12.230131495239284,12.953742803944674,13.277909399317902
pair_9_H4K20me_vs_H3K36me3,H4K20me,H3K36me3,2.9039623479728767,6.963803935188624,8.921555447109306,10.860028491122009,11.974252868641589,12.703845285523435,13.036336971127099
pair_10_H3K36me_vs_H2AS129ph,H3K36me,H2AS129ph,2.4489181286780783,6.480436793042818,8.443356254420078,10.37465186119088,11.476625861811263,12.204557185242933,12.539499153381016
pair_11_H4K16ac_vs_H3K18ac,H4K16ac,H3K18ac,3.1476142659597364,7.31829807856839,9.283227336188956,11.211321056026698,12.307408507210397,13.020491781040056,13.330554920750997
pair_12_H3K27ac_vs_H3K79me,H3K27ac,H3K79me,2.165169364785688,6.0359834641097265,7.989426284775371,9.939023798332453,11.067566045489025,11.820875550274952,12.181290165831925
pair_13_H3K36me2_vs_H2AK5ac,H3K36me2,H2AK5ac,2.6183462263183506,6.826865847767712,8.78840908516186,10.729227127068407,11.84021095408698,12.576106864349226,12.909279417938887
