triplet_name,feature1,feature2,feature3,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
triplet_1_H2AK5ac_vs_H2BK12ac_vs_H3K4me2,H2AK5ac,H2BK12ac,H3K4me2,-0.0008225876109815289,-0.023493407837872127,-0.08626433065472483,-0.28957278527818,-0.5215647646425676,-0.7759192296332955,-1.0088671066387
triplet_2_H3K36me3_vs_H4K12ac_vs_H3K27ac,H3K36me3,H4K12ac,H3K27ac,0.019697781324743424,0.02095221863390151,-0.03968213271008025,-0.22646415818441845,-0.4844839852360554,-0.755664630932813,-0.9966049073614318
triplet_3_H3K9me1_vs_H3K36ac_vs_H3K18ac,H3K9me1,H3K36ac,H3K18ac,-0.0031026938690974504,-0.044514738557687394,-0.16253623303116171,-0.49429872207752545,-0.8842233219947389,-1.2555630921432197,-1.6222242895120988
triplet_4_H3K79me2_vs_H3R2me1_vs_H3K9me3,H3K79me2,H3R2me1,H3K9me3,0.0006857078632138691,0.00039379629883073974,-0.002446110809069424,-0.007654331735085229,-0.01371307885680828,-0.021283729476996527,-0.02782731238290559
triplet_5_H3K79me3_vs_H3K36me1_vs_H4K20me1,H3K79me3,H3K36me1,H4K20me1,-0.0008351558835961725,-0.007514911228037491,-0.027463753888687492,-0.12014394413824725,-0.23891258928267334,-0.38851310452437815,-0.527580031072155
triplet_6_H3K27me1_vs_H4K91ac_vs_H2A.H4R3me2,H3K27me1,H4K91ac,H2A.H4R3me2,0.0015676535744635345,-0.0033837574567785467,-0.022411731587341777,-0.10395494001508254,-0.23854315637398749,-0.4082238469461288,-0.5861210250418445
triplet_7_H3K23ac_vs_H3K4me3_vs_H3K27me3,H3K23ac,H3K4me3,H3K27me3,-0.00011132845114181222,-0.006213746658811026,-0.024520045703958715,-0.1007043253595441,-0.18311428654105733,-0.2797285997615955,-0.3670296875213541
triplet_8_H2AZ_vs_H2BK20ac_vs_H3K4ac,H2AZ,H2BK20ac,H3K4ac,0.05161675911463526,0.04738000587062263,-0.04246004475235132,-0.3032472451021082,-0.5737081330172167,-0.8349368095921914,-1.0610324760573686
triplet_9_H2BK5me1_vs_H4K8ac_vs_H2BK5ac,H2BK5me1,H4K8ac,H2BK5ac,0.03424067183209534,0.03351550930427827,-0.01854864157916758,-0.2110930879223325,-0.4551917554257301,-0.7083912306025315,-0.9548364221096559
triplet_10_H3K4me1_vs_H2AK9ac_vs_H3K14ac,H3K4me1,H2AK9ac,H3K14ac,-0.001400732606341215,-0.006566757382228339,-0.022059449398536657,-0.08303177413456453,-0.16662458903826582,-0.27648693306381844,-0.3759808268796583
triplet_11_H4K16ac_vs_H3K27me2_vs_H3K9ac,H4K16ac,H3K27me2,H3K9ac,-0.0006643034949362914,-0.004084956516521743,-0.01528446888750068,-0.06482379653373194,-0.11792222141740005,-0.19512470315455666,-0.25298892407636764
triplet_12_H3R2me2_vs_H4K20me3_vs_H3K9me2,H3R2me2,H4K20me3,H3K9me2,0.002632975522570913,-0.001821635379613884,-0.015334195062853162,-0.04195111544279406,-0.06506260236990613,-0.08644508373478832,-0.1124959097642435
triplet_13_H3K79me1_vs_H4K5ac_vs_H2BK120ac,H3K79me1,H4K5ac,H2BK120ac,2.252596420015962e-05,-0.007939689344590661,-0.042716649130822404,-0.18075443857187778,-0.343305467315254,-0.5283810478024389,-0.710906365480751
