,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
H4K5ac,2.171032533211833,4.440701203323095,5.438373907753957,6.411073247501159,6.962854150420753,7.360620306677438,7.755302640690843
H4K12ac,2.384972964745685,4.66889763123249,5.661862218031113,6.647310838224185,7.174676600957726,7.59146495502579,7.59146495502579
H4K8ac,2.3758617150889574,4.659785187122942,5.651677241143455,6.63439455769605,7.161750297146025,7.605866576736629,7.835521452649065
H3K4ac,2.1972861789308706,4.463676638610661,5.461106783464165,6.459020164331109,7.042140518040368,7.3815657690068175,7.708711713250065
H3K23ac,2.274558219628974,4.543278931784771,5.538950121843591,6.516442804624397,7.075337687913584,7.458389982930232,7.842291035309622
H3K14ac,2.3931688843187877,4.657385535878297,5.6537254887551285,6.647521637909785,7.22602158554635,7.572543314466735,7.917205571488325
H2AK5ac,2.5084429443482468,4.789566536687772,5.783240802655039,6.771078280687359,7.293771598830224,7.311496473873307,7.79393533209303
H3K18ac,2.378355100973198,4.653491158499342,5.649175382653988,6.638043101331807,7.205861379062352,7.61386752117901,7.889284300554068
H3K9ac,2.0567278751420695,4.312621405118559,5.309681980385491,6.306039024369055,6.887499559173893,7.226447284626605,7.565146792450307
H3K56ac,1.825439096547167,4.059476988065112,5.054895537415319,6.030456349025371,6.589304854573804,6.972920834168091,7.360303899960744
H3K27ac,1.8316243288012375,4.065332338112416,5.0563209298368665,6.034730555711285,6.571847568964362,6.99922693612471,7.282872655085596
H3K4me3,2.5279459655603485,4.788392238876672,5.7837889799909785,6.770868797288292,7.3397209590990276,7.744329045896761,8.019412609344238
H3K4me2,2.4683569112485015,4.740998989354307,5.734386647113212,6.716749315307374,7.282507165153721,7.651518969741927,8.024296488203802
Htz1,2.3315671323157146,4.603970755616311,5.595468948227304,6.579308993227454,7.110515902855042,7.514780522532464,7.514780522532464
H3K79me,2.2259477882452803,4.497337644480606,5.494894507238158,6.492394420939032,6.992965703052897,7.488984324421024,7.511901666580021
H3S10ph,1.758316493449145,3.9671505315277504,4.95444108340547,5.938586116415312,6.463616638218774,6.914433751824985,7.108105140704409
H3K4me,2.322112732439495,4.594968184995506,5.590234496626965,6.566948132886686,7.123809964840298,7.510494424327568,7.894963558936437
H4K20me,2.2515005386025497,4.522189478523259,5.509550260698416,6.48334710229685,7.032833161185706,7.385032762904072,7.385032762904072
H3K36me,2.025351402682192,4.280245342636372,5.271329450042228,6.257982825297128,6.778923814587549,7.23675482975922,7.401752720347602
H3K36me2,2.0937990267091555,4.353636910723643,5.34777844553094,6.338327126351815,6.91353370190039,7.264813409903929,7.6159980664231535
H4K16ac,2.0078790514555838,4.258654118785239,5.250641075928607,6.227963464132728,6.767011470971071,7.18928195330015,7.491173038879077
H3K79me3,2.6213414279269105,4.907535199906011,5.898541841186295,6.880659962013305,7.410126862244464,7.84995398438179,8.091615512127529
H3K36me3,2.299253397955497,4.51841127013528,5.513073122601889,6.507610540071741,7.071344386764104,7.495941239358651,7.756335461380184
H4R3me2s,2.3424763972924243,4.616652409666441,5.611871037877078,6.58809470413496,7.129010651503192,7.548136869007091,7.8696524430470305
H4R3me,2.288837021297924,4.566058543752469,5.5516295657538715,6.5060345012897,7.098064576578571,7.317988358776542,7.317988358776542
H2AS129ph,2.1091344276337067,4.354842251397444,5.347179185024832,6.329153508244416,6.893998297670861,7.265951549814148,7.63692763561474
