,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2,2.135277855256311,0.02437536280469299,0.03978337304206381,0.028032780266000756,0.019933325006642022,0.056058268490116525,0.019085460523631248,0.0261204643856896,0.032823747768392586,0.020985709759000493,0.032615589441493675,0.01662978601944909,0.019520482788457194,0.04016538787331836,0.01647307714544244,0.009071156574688821,0.02528952284919672,0.031089852486521963,0.03399752730596717,0.023445943326223073,0.03978992575644247,0.021265962713621356,0.033175416177964934,0.0065743161022435714,0.026712516375668294,0.006778691903235767,0.03147082912745969,0.018962930941396117,0.013661802993101269,0.014841705736682087,0.02144106733601081,0.009066843192594654,0.02436595536766184,0.013202544912901182,0.010659220190081697,0.0215329301627305,0.01487871814966546,0.02134245104957344,0.025282795486715415
H2AZ,0.024375362804691214,3.472145888597762,0.223690280713587,0.07185084833528954,0.10267935178930898,0.42874859205992344,0.044106475548163715,0.010020295617850117,0.024282090741587936,0.02997827340586312,0.010612517345384376,0.013485908897306942,0.0102890696047373,0.10703413078686097,0.008328302238846952,0.004394220575825614,0.0293920395386289,0.024778570422475,0.012927329505949992,0.27461663230382705,0.016452074779071957,0.1445882762043107,0.3094840528585845,0.009567412728645586,0.3128839196508473,0.017341551163951863,0.3053591747068598,0.2124246156030809,0.2159286990273035,0.305930627081354,0.16099177631201123,0.061381559772195615,0.13224150314787764,0.03155548855123502,0.05768688742007111,0.19516816331219378,0.13801697242402788,0.16974629537853403,0.22268290844787142
H2BK5me1,0.03978337304206292,0.223690280713587,4.858807193922148,0.20176988113722416,0.04381866115895683,0.26419016084222235,0.05745005705318995,0.01129340031087711,0.01715540622887346,0.11389576453651351,0.014480459863426276,0.01121399574690507,0.0373107383411897,0.08053759684627693,0.027558441564275782,0.004290795929902558,0.022573351105516615,0.09060559766452414,0.030463380766051706,0.5231485069620803,0.024384438513777695,0.08134194878363132,0.17492515271654874,0.007840236145618462,0.1461778163875067,0.017746152918758362,0.16837494548224718,0.1399802219862849,0.10458559326685268,0.09843114064898018,0.10065673522445628,0.02097167814504708,0.08291541137667657,0.023856226885387244,0.03241257165927092,0.11914557094641864,0.10601048950276493,0.10703068152315609,0.1271472269383871
H3K4me1,0.028032780266000756,0.0718508483352931,0.20176988113722416,5.66482476659629,0.12919333466560623,0.25820692504406395,0.17137133564619056,0.015437932617500039,0.03527732444802911,0.16111242854499075,0.030678306802473188,0.011376205336652845,0.05850805212765309,0.056774042268127545,0.012456769792557054,0.004669573492017243,0.03493434491651293,0.04704802524867446,0.013911851839502276,0.08469397533655787,0.042469951726698874,0.05269028610948112,0.13111454868680994,0.033418703398988114,0.06671406189365925,0.037485281365288614,0.07700011019511876,0.05469844046927008,0.046339930310635324,0.030728309705414958,0.047544276032347454,0.025426131018381426,0.07931195373129718,0.10016532866765537,0.02635508747974491,0.05309590241180118,0.02901305238633789,0.04422905653029652,0.05791471468601728
H3K4me2,0.019933325006641134,0.10267935178930898,0.043818661158958605,0.12919333466560445,5.496027469969075,0.21014234758878558,0.43550901578011825,0.012160282598248529,0.037635668347205,0.053473881099805,0.012921706965802748,0.01109021932222376,0.041973761721829206,0.04001644488325162,0.008451866902765559,0.004895271629533404,0.03440567002500927,0.010341182169101515,0.012232787024522018,0.05240299766279399,0.05684449334292463,0.04689347515023101,0.09625301826135413,0.02748920931136034,0.08308224152411547,0.09631349502328312,0.09696553304935307,0.0547480828934539,0.08989616415726509,0.07355463071972856,0.05643762340146807,0.021765583074028427,0.05345393375775309,0.021534073658573405,0.014815451337925722,0.05191295934351281,0.040866989896976236,0.053598757028559874,0.061261946911098875
H3K4me3,0.05605826849011564,0.42874859205992344,0.2641901608422188,0.25820692504405685,0.2101423475887767,5.376800141810088,0.07292246115517109,0.026312069129948767,0.019414018425848667,0.09778872950532147,0.04328670176363758,0.01850891771714025,0.021911877544877,0.12665512499623155,0.013228663800148865,0.008341779953400241,0.051763489326260625,0.04716908271960207,0.025127635737307585,0.1607757084475736,0.027165457071426147,0.1757742063683505,0.5591824739312266,0.015289239629561635,0.29481690175963315,0.03142946268200131,0.3835850187369534,0.21303779290838243,0.1395833128321584,0.16176420871210873,0.14850828056477994,0.06489474972799769,0.18543763964584237,0.06687237161517778,0.10479186215852465,0.24914704882826832,0.13479494203445697,0.16382975988905102,0.24462769605465517
H3K9me1,0.019085460523633024,0.04410647554816727,0.05745005705319173,0.17137133564619056,0.43550901578011825,0.07292246115517997,5.000420170550115,0.010892068872346172,0.04374912040701684,0.10116977470188004,0.012229597094242983,0.009101474206113735,0.05223616442685586,0.034018826054749596,0.013332731270048193,0.003780536035466575,0.03600982531692942,0.015551866375738577,0.011533528419694683,0.06021859478532754,0.063350448593682,0.030375958785318957,0.031127030440556425,0.020274579688258854,0.04202623329680577,0.058190509827545256,0.038945006430880724,0.026858105788736708,0.04334510232821742,0.03868791719139253,0.03999661188925785,0.017128589825931684,0.03852842393110123,0.018415325765688273,0.008780665835543822,0.02038774840232449,0.021654576324747765,0.03319310842814005,0.029886195023117068
H3K9me2,0.0261204643856896,0.010020295617851005,0.01129340031087711,0.015437932617501815,0.01216028259824764,0.026312069129949656,0.01089206887234706,2.077515381226252,0.020755037184645886,0.016947526033995075,0.03009202770826791,0.017243088979431498,0.014921459852528685,0.017956491003341846,0.013544724030037258,0.008841417589003697,0.018528425026388184,0.014676851108864852,0.014778148922670375,0.02039936038096357,0.023053226426572593,0.0069508288920703265,0.012359736660291887,0.01025846789555196,0.008307693211011546,0.006589860607689957,0.009332624171557669,0.007876631705125092,0.012241551016296093,0.00998556436232878,0.009156296602145453,0.008427204207484884,0.01042580802226123,0.010250708296889677,0.005727661152284291,0.007050545315682832,0.007285345601251159,0.008264259731878276,0.008827858957847212
H3K9me3,0.032823747768392586,0.024282090741588824,0.01715540622887346,0.03527732444803089,0.037635668347205,0.019414018425849555,0.04374912040701773,0.02075503718464633,0.7310376874569112,0.010111921016075165,0.01634262706415912,0.014112709515889499,0.009287937268303459,0.0525325338011049,0.011277565522736399,0.006668204357187735,0.06577642710880838,0.009040688673644492,0.01773547329450853,0.02199366943967629,0.09688167045461027,0.024740158232913423,0.013322548285766622,0.006059563683896485,0.028763386078012765,0.008594570498041243,0.027764242300297504,0.016783954179472538,0.02401945803002814,0.01970345688847175,0.026396443934074476,0.012519876092247806,0.029820511905696456,0.009569691247181655,0.004838266389664003,0.016384505840650654,0.014297048194898743,0.024192289702089198,0.025809502939714513
H3K27me1,0.020985709759000493,0.02997827340586312,0.11389576453651351,0.16111242854499075,0.053473881099805,0.09778872950532147,0.10116977470187827,0.016947526033995963,0.010111921016074277,3.665962370075678,0.04487174917933601,0.011080428269224285,0.04101547589517107,0.0488387916836599,0.011154565735861155,0.006683052912983989,0.016912532778777134,0.025296326694490112,0.008448825673739613,0.04232789379911672,0.01279644820175374,0.01925868831717814,0.0492945636462121,0.02590054992962365,0.02016555782984497,0.036281484661347285,0.030814920526779588,0.023511981413044225,0.018755155616921648,0.013016517677797879,0.016908702015070887,0.010284590802815075,0.02779723976523485,0.03535693153398434,0.015485093482905832,0.03126630625782134,0.017766102898660208,0.015409966910054251,0.023959239203517058
