,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2_H2A.H4R3me2,1.8847360330826721,0.02270584950435328,0.037891105703637074,0.02591963563108468,0.019312306179020133,0.053514198935922686,0.018534565786218593,0.025577992081167622,0.03280678474336751,0.020191098425266674,0.03147102001811275,0.016384151209984932,0.01821645952912121,0.03819262965365766,0.016214036343708216,0.008611158216838888,0.02481184595927033,0.031099891154955372,0.03436670778370754,0.021768124578421144,0.03932721360187186,0.020588848545192384,0.03181086160276703,0.0065853603567251895,0.02548168942583562,0.0072150387764509105,0.031439247219202215,0.018142638439448966,0.012832447106216449,0.014314934228441878,0.021625581158788876,0.008300042762595439,0.02402839924584299,0.01162767100819373,0.009856415112608374,0.021645723205986123,0.013629413346996522,0.02140268567129766,0.025019042936961
H2A.H4R3me2_H2AZ,0.02270584950435417,0.02270584950435328,-0.02637382843373537,-0.06913688422938336,-0.07778455837137699,-0.06650309631442575,-0.05421108646843997,-0.024496440330350033,-0.015771942224994895,-0.028676284165010557,-0.01647568053273396,-0.020732655532098576,-0.02110145835463495,-0.021208400404200134,-0.0183683375843966,-0.008463064089058392,-0.031951038855198455,-0.019678706875930985,-0.01912035731749384,-0.030797443935856705,-0.027983017559727763,-0.040453030961714376,-0.041032594193715966,-0.019093011302919294,-0.05175804946391516,-0.02340747293444334,-0.05527579268971827,-0.041839954375454624,-0.05104106952639498,-0.043389841289497966,-0.05302087348230877,-0.03562851184440596,-0.06080314592478153,-0.017739829238943905,-0.013963258828926683,-0.03904520994934657,-0.037072199981526666,-0.047345388621582885,-0.04985756701893784
H2A.H4R3me2_H2BK5me1,0.037891105703636185,-0.026373828433740698,0.03789110570363974,-0.13377495050231936,-0.11135167301276816,-0.08123194351792762,-0.09487982525062932,-0.03724843184050464,-0.023531007634435497,-0.04902150690057283,-0.02673626523509398,-0.027314594671466352,-0.031224393506342096,-0.063868261752555,-0.029793454427112565,-0.012433500750367976,-0.04498868507626774,-0.0344561528931262,-0.035431175166044326,-0.11670095642818978,-0.04290367539927242,-0.044648565506536286,-0.029447671225854677,-0.026567180820917358,-0.05190028276762604,-0.02613178698832641,-0.05085228868091818,-0.036021716528322756,-0.04738566791069765,-0.04041709426491735,-0.061027352474935626,-0.04808138877254997,-0.08204422606373463,-0.03342048869106762,-0.016465290245200492,-0.03161825222517045,-0.03641244426676238,-0.052309340186235787,-0.05349568123704884
H2A.H4R3me2_H3K4me1,0.025919635631083793,-0.06913688422939757,-0.13377495050232469,0.025919635631083793,-0.1351281412732508,-0.1442098253770734,-0.10098199788630247,-0.04256820140817652,-0.02101423546882586,-0.055774578618500215,-0.029726591579407824,-0.032055599403340906,-0.03531430201320873,-0.07563903901286473,-0.03189866469833369,-0.014035668348123309,-0.046524699924759716,-0.046441246415541926,-0.04072721366089205,-0.14995908565864724,-0.04296836859106534,-0.0747644625921211,-0.0601536215517573,-0.028097506169920905,-0.0950330375100954,-0.030468693292688087,-0.09997491179870721,-0.06838225326105096,-0.07673643223711224,-0.06832096476436789,-0.09766796265989797,-0.05373043674119593,-0.11922335653761351,-0.03732336411089143,-0.024246157289834258,-0.06431342887529112,-0.06441883390969849,-0.08970310044288254,-0.09147376822325981
H2A.H4R3me2_H3K4me2,0.019312306179019245,-0.07778455837138942,-0.11135167301277704,-0.13512814127324368,0.019312306179019245,-0.14959267796870357,-0.07303053635304302,-0.03289006198553324,-0.008344224226132013,-0.055530269941577615,-0.024907741417765195,-0.02938699442430348,-0.03568594109208689,-0.06014415506302839,-0.026767152664604055,-0.012063282323678592,-0.03471214179138116,-0.039748625396722304,-0.030216274498870987,-0.11951542311223307,-0.02175036187134971,-0.06600974415063199,-0.0779356872922019,-0.026491238875363976,-0.08549383214958617,-0.02846665387454017,-0.09562918757642436,-0.06910064332902444,-0.06999301807176472,-0.06435599366182565,-0.08459448838805272,-0.0490703286638432,-0.10652847752802685,-0.03583089082539814,-0.025797299950991004,-0.06583530049105413,-0.05943745681026691,-0.07653933307314631,-0.08353621347651341
H2A.H4R3me2_H3K4me3,0.0535141989359218,-0.0665030963144595,-0.08123194351795604,-0.14420982537710358,-0.14959267796874798,0.0535141989359218,-0.10717394563687677,-0.037753616804254264,-0.022908253037291715,-0.048509325404221926,-0.020408063371505136,-0.034196381414021815,-0.03752075900938934,-0.04733547398998539,-0.03082201028547793,-0.013300066779612152,-0.05566286424818223,-0.0345825642352775,-0.0310572208968658,-0.11302879353516637,-0.041694750966017935,-0.0586561969843693,-0.038332888284735134,-0.032104616875633596,-0.07780159354550698,-0.0409649902287903,-0.08448013349670269,-0.061092627899324015,-0.07853335622848157,-0.06738737551807006,-0.08767858716481847,-0.05132618811242473,-0.11080834619939495,-0.036779863929190526,-0.020593192507028846,-0.050567367500216065,-0.05892888740543789,-0.0763188493825222,-0.0788708494197472
H2A.H4R3me2_H3K9me1,0.018534565786218593,-0.054211086468448855,-0.09487982525062577,-0.10098199788630247,-0.07303053635304302,-0.10717394563685012,0.01853456578622037,-0.026121906612821988,-0.0045832406560002426,-0.04327231876142612,-0.01988317868836731,-0.02386610919127108,-0.02945267818807551,-0.051741539084927624,-0.0230461183809183,-0.009891907828459168,-0.028500582502200444,-0.03342023033941466,-0.025284655889615593,-0.09752194472725328,-0.01704520911521179,-0.04788247366020215,-0.05403326585214785,-0.020359073961913055,-0.060873174239905126,-0.02152139577192891,-0.06738687521268716,-0.04870396693502066,-0.050937625686959365,-0.04667613097027434,-0.06038731093581795,-0.0368914431611298,-0.07626211340408773,-0.027503639757451737,-0.018828991204570045,-0.04678893602773648,-0.04283756957203444,-0.05553989767797951,-0.05980730045965288
H2A.H4R3me2_H3K9me2,0.025577992081167622,-0.024496440330350033,-0.037248431840501084,-0.04256820140817119,-0.032890061985529684,-0.03775361680424183,-0.02612190661282021,0.025577992081166734,-0.007097285965359745,-0.017762375035896838,-0.0028915161240021803,-0.008239150127738348,-0.008953926652878863,-0.025092212395058766,-0.007840761223683046,-0.0027191029178927906,-0.017508991365529525,-0.012597933386246929,-0.009733042851791218,-0.0359215416245533,-0.01869799311617104,-0.019219056132673273,-0.01889115370212302,-0.009910164996927762,-0.023423888455011976,-0.010234456142073967,-0.021774772017382205,-0.021078274172862344,-0.022981470310334373,-0.021773003468533503,-0.027281683216530794,-0.01768562375458771,-0.02752131902570909,-0.012786617640622389,-0.007579116087931936,-0.015474216955885467,-0.018283203851154894,-0.022315419774438183,-0.021665455294288094
H2A.H4R3me2_H3K9me3,0.03280678474336751,-0.015771942224990454,-0.023531007634427503,-0.021014235468816977,-0.008344224226126684,-0.022908253037285498,-0.004583240655997578,-0.007097285965357081,0.032806784743366624,-0.015822493694666484,-0.004957612650247967,-0.008107289266562567,-0.00955001951174328,-0.025236707440296158,-0.007893742079555288,-0.0029268646883475746,-0.016424057709957474,-0.013054791267007815,-0.005535354221277267,-0.01712784899148012,-0.004370930684280072,-0.0035761543494157166,-0.010623994576628881,-0.009334373272457341,-0.00253352216285041,-0.0046859060191684065,-0.001087306367350216,-0.0076844343166238005,-0.00552810000823456,-0.005856983460382992,-0.008424817626035086,-0.015152898782254454,-0.004983617797484463,-0.005479601207043494,-0.006322584909961293,-0.0021621776097706658,-0.005489724027336607,-0.004023743337318031,-0.0028918819919061534
H2A.H4R3me2_H3K27me1,0.020191098425264897,-0.028676284165017663,-0.04902150690057283,-0.055774578618494886,-0.05553026994157584,-0.04850932540421482,-0.0432723187614279,-0.017762375035898614,-0.015822493694670037,0.020191098425265785,-0.010056461305540942,-0.014275210756059309,-0.012095526765934395,-0.03442266508272418,-0.012210927738973254,-0.006045563133697307,-0.026741994252944323,-0.016914278771048785,-0.01744065517836635,-0.05795005736416314,-0.02888639146304417,-0.025010444950112287,-0.0228563693094479,-0.010916811652121439,-0.032244157638716686,-0.012489968695499343,-0.03278975580381349,-0.02588922085423917,-0.031180127523523282,-0.02860029714514667,-0.03509792669326117,-0.022689273046854197,-0.039225168145163636,-0.013854977207829577,-0.009884584493462079,-0.02003503610331947,-0.0219717890950637,-0.03093077957004553,-0.03020543766666073
H2A.H4R3me2_H3K27me2,0.031471020018113194,-0.01647568053273485,-0.026736265235092205,-0.02972659157940072,-0.024907741417765195,-0.02040806337149803,-0.019883178688363756,-0.002891516124001292,-0.004957612650247967,-0.010056461305539166,0.031471020018112306,-0.003726971564335102,-0.004381038082205357,-0.014648552417123817,-0.0038900690656076264,-0.001131890106439215,-0.012397213960212206,-0.00629023287500452,-0.005913217915487934,-0.026486876804103332,-0.01288199317335259,-0.01034068649818387,-0.009199285356888964,-0.006681355102696074,-0.013768968978549623,-0.008017044742167911,-0.008451618694209628,-0.012699481429982562,-0.01589327502828297,-0.014408590960270473,-0.017186554539142307,-0.012184977852689016,-0.016182634516839656,-0.0086542444412947,-0.004470854226496179,-0.004709248204402883,-0.009671954797821236,-0.013701681512943154,-0.01079133285636047
H2A.H4R3me2_H3K27me3,0.016384151209984932,-0.0207326555320968,-0.0273145946714628,-0.0320555994033338,-0.029386994424299928,-0.03419638141400405,-0.023866109191267526,-0.008239150127736572,-0.008107289266563455,-0.014275210756057533,-0.003726971564335102,0.01638415120998582,-0.007700624399110012,-0.019662887427987386,-0.006369548209941733,-0.002796675804846771,-0.014961750323115197,-0.010183665996803093,-0.008381890424129956,-0.02723252700908496,-0.01628068496966506,-0.012131846459618068,-0.014578941657241273,-0.008175699660387004,-0.017181539580253258,-0.008634893256969534,-0.013047751064778623,-0.015079085788714863,-0.015652323104088595,-0.015347506423053048,-0.018647853034385875,-0.013681328473588827,-0.01839898727159195,-0.009210683759035554,-0.005785207583778984,-0.00869269593071742,-0.01194387325633528,-0.015637232379694943,-0.01514734736174983
H2A.H4R3me2_H3K36me1,0.018216459529119433,-0.021101458354637614,-0.031224393506343873,-0.035314302013201626,-0.03568594109208867,-0.037520759009380455,-0.029452678188068404,-0.008953926652879751,-0.009550019511745944,-0.01209552676592729,-0.004381038082203581,-0.007700624399111788,0.01821645952912121,-0.021447850718852912,-0.00554892142768626,-0.002475181653490033,-0.01696106997248048,-0.008231866369448504,-0.008879781220063165,-0.03459826210659678,-0.019202626621541263,-0.017958888358762692,-0.018896157792909207,-0.007531466458354785,-0.021479762047544426,-0.008990237859521244,-0.02130362240574435,-0.018239028061277196,-0.020783260995537844,-0.018527318034525564,-0.023890541906260054,-0.015329662178028336,-0.02559838076335552,-0.009910644632550536,-0.007331456119396229,-0.01447915052705362,-0.015045612738374459,-0.0205326372118666,-0.02059997426662541
H2A.H4R3me2_H3K36me3,0.03819262965365766,-0.021208400404198358,-0.06386826175254612,-0.07563903901285407,-0.060144155063023064,-0.04733547398996052,-0.05174153908492052,-0.025092212395055213,-0.025236707440297934,-0.0344226650827153,-0.01464855241712204,-0.019662887427986497,-0.021447850718850248,0.03819262965365766,-0.018672012972206886,-0.008160322354403782,-0.03733679295850756,-0.024404560205777415,-0.022853653389027784,-0.07267623091184205,-0.03819988775858629,-0.01960210863191314,-0.0152497587859024,-0.018067218846355537,-0.018604854875784227,-0.018272592069490834,-0.023255160582520418,-0.020008913800550587,-0.029722607913519994,-0.02472278491304003,-0.03446142815551845,-0.029739549997920278,-0.03625072374782867,-0.021972898386738215,-0.010352549323965121,-0.014272472679975223,-0.017212256952849003,-0.025685561605913065,-0.02152332420892833
H2A.H4R3me2_H3K79me1,0.016214036343709992,-0.018368337584399264,-0.029793454427112565,-0.03189866469833191,-0.02676715266460228,-0.030822010285470824,-0.0230461183809183,-0.00784076122368127,-0.0078937420795544,-0.012210927738973254,-0.0038900690656076264,-0.0063695482099426215,-0.005548921427682707,-0.01867201297221044,0.016214036343709104,-0.001705276345772333,-0.014246514304264934,-0.00795475716431504,-0.006115874959804479,-0.02915453059821438,-0.017846112410895287,-0.015370028773986633,-0.01674382809339825,-0.00710168550897361,-0.01837692673140978,-0.0071753895686264,-0.017894897381610875,-0.016544651069118288,-0.01590721543189666,-0.014675946869292744,-0.020979295006988252,-0.013426197124680073,-0.022469841654547906,-0.009117652986363467,-0.006421404178355239,-0.013343552874234277,-0.01373308064910006,-0.017636465131282364,-0.0172638190946639
H2A.H4R3me2_H3K79me2,0.008611158216838444,-0.00846306408905928,-0.012433500750364423,-0.014035668348121533,-0.012063282323674152,-0.013300066779607711,-0.009891907828456503,-0.002719102917894567,-0.0029268646883475746,-0.006045563133696419,-0.0011318901064401032,-0.002796675804847659,-0.0024751816534891447,-0.008160322354403782,-0.0017052763457714448,0.008611158216838444,-0.005786071792486247,-0.003487529865890515,-0.002827953797686966,-0.012198101785753757,-0.006177605350317528,-0.006114267849960164,-0.007058905064594612,-0.002914611261733313,-0.007359880687283216,-0.00401721711707026,-0.007345206463515552,-0.007046644128433144,-0.007426281532424639,-0.0066108425895743395,-0.008847495162443764,-0.0058326462133759804,-0.008404814365986724,-0.004170825188938743,-0.00273421744576563,-0.004749648892658165,-0.00556470899399919,-0.006969698639172961,-0.00684588735804148
H2A.H4R3me2_H3K79me3,0.024811845959271217,-0.031951038855193126,-0.044988685076262414,-0.04652469992475261,-0.03471214179137583,-0.05566286424816447,-0.02850058250219689,-0.01750899136552775,-0.016424057709956585,-0.02674199425293544,-0.012397213960211317,-0.01496175032311342,-0.016961069972476928,-0.037336792958512,-0.014246514304264934,-0.005786071792485359,0.024811845959272105,-0.02205163031668178,-0.016425454902688763,-0.041359896721294476,-0.02532662621786308,-0.02151909775016847,-0.025666508096442442,-0.013877208765519455,-0.026036590121742975,-0.00927547471424095,-0.021822507325298446,-0.022990137250522125,-0.021987281035332984,-0.021041798250179156,-0.029411321274364965,-0.024969887781894684,-0.030952210337028774,-0.013926166536009532,-0.0117234240617492,-0.01690497896190113,-0.01830869820118597,-0.02408206576899552,-0.024351283427243686
H2A.H4R3me2_H3R2me1,0.031099891154955372,-0.019678706875934537,-0.03445615289312087,-0.04644124641553837,-0.03974862539671875,-0.03458256423526507,-0.03342023033941288,-0.01259793338625137,-0.013054791267009591,-0.016914278771048785,-0.006290232875003632,-0.010183665996802205,-0.008231866369447616,-0.024404560205780967,-0.007954757164314152,-0.003487529865890515,-0.02205163031668622,0.031099891154954484,-0.009060797396737819,-0.04130834079882639,-0.023492102600892295,-0.01898591312865605,-0.014026632323952626,-0.01019646077238967,-0.022219932232351525,-0.010616292760468937,-0.018538202584672092,-0.01714126947869765,-0.019686054377864082,-0.019073421524955947,-0.026238769412191942,-0.018956813526191496,-0.02982486058548872,-0.012695757641941086,-0.007191272479613708,-0.01250842031071997,-0.015958008551280045,-0.022004009422984083,-0.020098378223954327
H2A.H4R3me2_H3R2me2,0.03436670778370754,-0.019120357317495618,-0.03543117516604255,-0.04072721366088672,-0.030216274498870987,-0.031057220896855142,-0.025284655889613816,-0.009733042851792106,-0.005535354221280819,-0.017440655178363684,-0.005913217915487934,-0.008381890424130845,-0.008879781220061389,-0.022853653389028672,-0.0061158749598009265,-0.00282795379768519,-0.016425454902692316,-0.00906079739673693,0.03436670778370843,-0.0358637276847702,-0.015695518190853797,-0.01519108190021079,-0.014124513499648828,-0.009317097534380814,-0.017489648723222118,-0.008307492555596596,-0.016041181012919736,-0.01459825351859223,-0.016986717954473818,-0.015332689334967675,-0.021238167704389355,-0.01716506718024391,-0.024516390796193832,-0.011345144610809932,-0.0067241806996518605,-0.011843351907533162,-0.013536014292439447,-0.016933328878881326,-0.01709566660549733
