,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2AZ_H2BK5me1,-0.0263738284337371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K4me1,-0.0691368842294011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K4me2,-0.0777845583714036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K4me3,-0.0665030963144523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K9me1,-0.0542110864684577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K9me2,-0.0244964403303526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K9me3,-0.015771942224994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K27me1,-0.0286762841650212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K27me2,-0.0164756805327392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K27me3,-0.0207326555321012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K36me1,-0.0211014583546402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K36me3,-0.0212084004042019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K79me1,-0.0183683375844054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K79me2,-0.0084630640890601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K79me3,-0.0319510388551984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3R2me1,-0.0196787068759363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3R2me2,-0.0191203573175018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H4K20me1,-0.0307974439358638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H4K20me3,-0.0279830175597268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K4ac,-0.0404530309617285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K9ac,-0.0410325941937355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K14ac,-0.0190930113029264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2AZ_H3K18ac,-0.0517580494639329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
