,H2BK5me1,H3K4me1,H3K4me2,H3K4me3
H3K4me1_H3K4me2,-0.6486602202708625,,,
H3K4me1_H3K4me3,-0.522422617872131,,,
H3K4me1_H4K20me1,-0.6388595315412786,,,
H3K4me1_H4K91ac,-0.5388607751074801,,,
H3K4me2_H3K4me3,-0.5662777505191681,-0.9174412333604512,,
H3K4me2_H4K20me1,-0.5547015527184858,-0.7745314830689214,,
H3K4me2_H3K18ac,,-0.5971349646653099,,
H3K4me2_H3K27ac,,-0.6494488749625766,,
H3K4me2_H4K12ac,,-0.5872526836445289,,
H3K4me2_H4K91ac,,-0.7319725140173823,,
H3K4me2_H2BK20ac,,-0.5433179694564227,,
H3K4me2_H2BK120ac,,-0.5767768400364748,,
H3K4me3_H3K9me1,,-0.7267850511537315,-0.6234410307126552,
H3K4me3_H4K20me1,,-0.7415859061164891,-0.7264203581009774,
H3K4me3_H3K18ac,,-0.6198898223090001,-0.5978369454499699,
H3K4me3_H3K27ac,,-0.6415234105661725,-0.6408621144127284,
H3K4me3_H4K5ac,,-0.5171669716223075,,
H3K4me3_H4K12ac,,-0.6364216535046747,-0.6354278307781911,
H3K4me3_H4K91ac,,-0.7876950716582378,-0.7989695265680155,
H3K4me3_H2BK20ac,,-0.586832287180794,-0.5758153788260714,
H3K4me3_H2BK120ac,,-0.5884608909349218,-0.5993953528170426,
H3K9me1_H4K20me1,,-0.6199303736660013,,-0.6392965262748191
H3K9me1_H3K27ac,,,,-0.5289528185850259
H3K9me1_H4K91ac,,-0.5500099989371492,,-0.6389177509482149
H4K20me1_H4K91ac,,-0.6383064048040143,-0.5656865150091068,-0.5716681661536196
H3K27ac_H4K91ac,,-0.5305496931517588,-0.5868661018069705,
