,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H4K5ac_H4K5ac,4.439632301808151,0.8986992669439404,0.9618282912183815,0.4401595802034315,0.44808691532983147,0.4425695365591178,0.6329655986852565,0.4173440021378507,0.30806888272883626,0.3084744862774311,0.27545634379415596,0.25717295232665194,0.19917835083839108,0.24578129654530656,0.11836002396285217,0.024953715262569176,0.11388066906276606,0.09578212057266455,0.1367157537355279,0.12718805835736013,0.08272102811742243,0.2525767926148479,0.3269395140930875,0.37558180826558285,0.2837072542466217,0.05702674144607833
H4K5ac_H4K12ac,0.8986992669439395,0.8986992669439413,0.6990317240170043,0.24254091460951166,0.2619037272927702,0.2526117275749513,0.4348366091485918,0.18127015618111209,0.12753209836922963,0.1547306675931317,0.1396321116675665,0.032542703103761284,0.021766170036373822,0.10618892901953103,-0.006456844214676849,-0.09809596408792132,-0.06032044258878422,-0.04215857993921013,-0.014777662635870215,-0.05031567815096061,-0.0768820497685816,0.06743144072149221,0.11089443687412093,0.18287179326178382,0.14374705462275195,-0.13880873538263927
H4K5ac_H4K8ac,0.9618282912183833,0.6990317240170061,0.9618282912183869,0.2611214831052262,0.26747939042886415,0.25800186281205484,0.44439564433258916,0.1881822246215723,0.1335493875234004,0.16232394860147714,0.14319894408310319,0.01772558918931111,0.024918984523873533,0.10231256687488255,-0.013237110672813301,-0.1019983304480796,-0.08603648899802785,-0.06685947395068936,-0.022438757735685044,-0.0665675314077987,-0.08160733248982588,0.08453128948177557,0.11550184500370797,0.18159788376703645,0.15148148209956602,-0.1348085753043744
H4K5ac_H3K4ac,0.44015958020343326,0.24254091460951344,0.26112148310522443,0.4401595802034315,0.27698850997675706,0.26323267871762823,0.24574397478469123,0.1873187190790393,0.18062245341178063,0.19509232980993296,0.12405205799335661,-0.061090700484676574,-0.0723937828618837,-0.010373265755795558,-0.09263699377992829,-0.175276647389774,-0.16195486967561123,-0.10389842861910381,-0.11878514537588991,-0.14796070410400297,-0.18121873631892527,-0.05793121054307804,-0.05320978753245775,0.026061391427170122,0.014966229722652713,-0.23188475039433598
H4K5ac_H3K23ac,0.44808691532983325,0.26190372729276845,0.2674793904288677,0.27698850997675706,0.448086915329835,0.2835470439771477,0.28084267442026345,0.21403792481059014,0.15487292705633493,0.17866086975599593,0.13039143491953276,-0.01193154785691064,-0.03483835733125318,-0.003519869262746056,-0.09735499121865843,-0.16448030638537503,-0.15648958126298673,-0.09601002255896063,-0.10589312408208684,-0.11776155596771432,-0.15199188590675305,-0.08006643563778937,-0.06399874019420082,0.022191463120382338,0.006770007384968579,-0.22385088609782322
H4K5ac_H3K14ac,0.4425695365591178,0.2526117275749513,0.25800186281205306,0.2632326787176318,0.2835470439771477,0.4425695365591178,0.2528662652439877,0.2309427869588614,0.11574265807309736,0.16157903897087245,0.09788909100855925,-0.005039786298146609,-0.05420620666600762,-0.010720988654801644,-0.10154233851610073,-0.17939227490560228,-0.1710114017169584,-0.11166270237913523,-0.11825297304551796,-0.13732642456587385,-0.17077574687533215,-0.09359507224062824,-0.09078988797342902,0.014189998817107252,0.008890145131537963,-0.24055798649503757
H4K5ac_H2AK5ac,0.6329655986852547,0.4348366091485918,0.4443956443325874,0.24574397478469479,0.2808426744202617,0.2528662652439895,0.6329655986852529,0.18130560856003441,0.11716854747961136,0.14637444617593864,0.12162859151385774,0.006947314524540005,-0.013755941385131365,0.08421124007570135,-0.06119973924830546,-0.13363366767186413,-0.11687206105814596,-0.06670172972066801,-0.08305837237245761,-0.09030705350886592,-0.12606531656931175,0.011595130174585577,0.04927526670024207,0.15231303098659943,0.11129391672334066,-0.19115069366152326
H4K5ac_H3K18ac,0.41734400213784895,0.18127015618111741,0.18818222462156875,0.18731871907904107,0.21403792481059192,0.23094278695886317,0.1813056085600273,0.41734400213784895,0.09559260231830713,0.1259255305159499,0.044729323619487005,-0.06777997539593272,-0.09660803811897622,-0.08145010400387243,-0.17888686497218487,-0.2230060007524859,-0.2151542427396933,-0.13729697858042123,-0.19841336803327003,-0.2029222629499241,-0.22367462121350812,-0.14777239047872115,-0.18047182470717082,-0.03107729666473702,-0.03532490107838271,-0.3088231880524255
H4K5ac_H3K9ac,0.30806888272883626,0.12753209836922608,0.13354938752339862,0.1806224534117824,0.15487292705633493,0.11574265807309558,0.11716854747960959,0.09559260231830358,0.30806888272883626,0.18950780451935856,0.0985099527087705,-0.12230508312291732,-0.1316451156684586,-0.06534907408185653,-0.12096724151518501,-0.17075005271859922,-0.16194510895887326,-0.10076819359163736,-0.143879955101875,-0.17348757944328952,-0.16533699507862565,-0.08818333162369996,-0.11243895309865515,-0.030593016034544007,-0.0422374900051139,-0.2302166472981071
H4K5ac_H3K56ac,0.30847448627742935,0.1547306675931317,0.16232394860147537,0.1950923298099312,0.17866086975599238,0.16157903897087245,0.14637444617593864,0.12592553051594813,0.18950780451935856,0.3084744862774276,0.12610618001296459,-0.05670758230807671,-0.060627240371848856,-0.01982540852628567,-0.07628380673899038,-0.13912680917056974,-0.1315166214984771,-0.08464223734264564,-0.09737596913676505,-0.12833244959950107,-0.14502800478491729,-0.04392368369019728,-0.058009307063761284,-0.0006985021580376838,-0.011444050937177153,-0.19088267321685493
