,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H4K5ac,4.439632301808151,0.8986992669439404,0.9618282912183851,0.4401595802034315,0.44808691532983325,0.4425695365591178,0.6329655986852547,0.41734400213784895,0.30806888272883626,0.30847448627742935,0.27545634379415773,0.2571729523266484,0.19917835083839108,0.2457812965453101,0.11836002396284862,0.024953715262569176,0.11388066906276606,0.0957821205726681,0.1367157537355279,0.12718805835736013,0.08272102811741888,0.25257679261484967,0.32693951409308575,0.3755818082655864,0.2837072542466217,0.05702674144607833
H4K12ac,0.8986992669439413,4.259419448432492,0.9915994046613266,0.4291147428485633,0.4337575125004527,0.44347742542164426,0.6128828143009137,0.39660927091574294,0.2819458484053303,0.2951951689391823,0.26920688755446065,0.24412362275177912,0.18877513694582504,0.24774995101960506,0.13338479531804204,0.020377737044194433,0.08971140601533456,0.06917433081231472,0.12201429146081111,0.11004779287312871,0.05229492462423124,0.24144453640747976,0.3143061945863419,0.33549023006988676,0.26037088169312295,0.037396088890634616
H4K8ac,0.9618282912183851,0.9915994046613266,4.502621631227152,0.48946498659875814,0.45368057623615066,0.4718331736578989,0.64838745796553,0.44335827971817743,0.3225605978054489,0.33887029113155265,0.2864247421655346,0.2596982311468601,0.23604464480841258,0.2569097351695806,0.17995843711494786,0.0253763413255772,0.08240195750535229,0.05913860413892991,0.1383760806465908,0.12903893998604765,0.06778204369872398,0.2972825255727649,0.34939649335516876,0.3543065200710629,0.2804045011062861,0.052600616862134686
H3K4ac,0.4401595802034315,0.4291147428485651,0.48946498659875814,4.73111437708322,1.322689999380577,1.3179118186104173,0.7899751682596925,1.2702623472801449,1.4043893565460799,1.4601677282604966,0.6785439946279368,0.53714239627549,0.2919026974730592,0.24195208637454257,0.1786295793263335,0.05095016187778256,0.16449517828902493,0.17223258664901842,0.15124936735807637,0.22062810127265564,0.10327436338677387,0.2668742411444107,0.350449378034531,0.38570287896142474,0.20536749140117116,0.13527201109260467
H3K23ac,0.448086915329835,0.4337575125004527,0.45368057623615066,1.322689999380577,4.589844880684226,1.4545198897337173,0.8181216162412248,1.3275583891010427,0.9571714655501786,0.9718895929190969,0.695127617427767,0.6590190017899236,0.3913648764206652,0.2156554595074045,0.12306452437345605,0.056876382096817224,0.19388106738466426,0.19081145411938039,0.1392261602545588,0.2594843754073306,0.0945654060664598,0.18931734195989236,0.2921590918886565,0.33224058334655204,0.1772820222552287,0.1114062863422216
H3K14ac,0.442569536559116,0.44347742542164426,0.4718331736578971,1.317911818610419,1.4545198897337173,4.8519028197250345,0.8549766083199035,1.4616436626626967,0.7980250282366654,0.8888760288369006,0.519957620972944,1.0173105004444487,0.53607560867861,0.2410943840026203,0.1444298519181082,0.06406964152285965,0.2646484480475877,0.21628282770978302,0.13560720210807098,0.31345369763441333,0.07132686202079697,0.19548755048933586,0.3042961313718777,0.3446085451421119,0.19643281095034126,0.159889719542873
H2AK5ac,0.6329655986852547,0.6128828143009137,0.64838745796553,0.7899751682596925,0.818121616241223,0.8549766083199035,4.46178297618704,0.8307066303801385,0.541801587674426,0.5692900489795392,0.4183179322739603,0.5173014602644379,0.31303941374923383,0.32831589695163643,0.11465156827292589,0.03331256859549825,0.17283173176906708,0.19484785210172184,0.13436957370613456,0.21841149854412834,0.06099690090004728,0.24672130010408466,0.3725826428656305,0.47820836923591514,0.28373330613915293,0.06441251525811786
H3K18ac,0.41734400213784895,0.3966092709157447,0.4433582797181792,1.2702623472801449,1.3275583891010427,1.4616436626626967,0.8307066303801367,5.183619298385241,1.0156656208793784,0.9980003021714374,0.5618075965466165,0.9288308017159359,0.5204613124101449,0.22302376975276061,0.1138862609541853,0.06631698805654906,0.3064167913510598,0.2923632603808244,0.14533322941066196,0.2807914281346182,0.08237776811289876,0.23097160616557844,0.2884310410903552,0.42780414753311646,0.21010755384547686,0.19919517849840673
H3K9ac,0.30806888272883626,0.28194584840532855,0.32256059780545066,1.4043893565460799,0.9571714655501786,0.7980250282366654,0.5418015876744242,1.0156656208793784,4.532755864909092,1.454505170131986,0.654510705575162,0.3678917896064533,0.1703389203960075,0.17171408236088226,0.13683086070561146,0.03449992739937002,0.16441751696415174,0.1807738561184351,0.133292219371409,0.16111412080103804,0.14655515598249025,0.25019007065329113,0.2860870949825518,0.33431886774500086,0.14599935251704466,0.1394790016639469
H3K56ac,0.30847448627742935,0.2951951689391823,0.3388702911315544,1.4601677282604957,0.971889592919096,0.8888760288368989,0.5692900489795392,0.9980003021714392,1.454505170131985,4.097408305838867,0.6988684339426836,0.37465058796873585,0.22330566251656236,0.19539854172304771,0.17022711228250031,0.05193938448770474,0.137107861301887,0.15266103533610398,0.14580603462370334,0.180669319707631,0.1343978155279153,0.25740000978784217,0.2855752971079646,0.33037348678124623,0.14765702640815448,0.13021035497972022
H3K27ac,0.27545634379415596,0.26920688755446065,0.2864247421655346,0.6785439946279332,0.695127617427767,0.5199576209729422,0.4183179322739603,0.5618075965466183,0.6545107055751611,0.6988684339426836,3.9505962240515795,0.2320703324846889,0.18296876615231916,0.16395366932264022,0.16440281893249598,0.04314801856949391,0.07520841369306908,0.09421988813316418,0.13672283538656593,0.16120173608950594,0.16068883602018058,0.1540095230030598,0.17150863803238714,0.17813571001139294,0.07772765641003332,0.0544625760230808
H3K4me3,0.2571729523266484,0.24412362275177912,0.25969823114686186,0.5371423962754882,0.6590190017899236,1.0173105004444487,0.5173014602644379,0.9288308017159341,0.3678917896064551,0.3746505879687376,0.23207033248469244,5.303348430572366,0.8625512443359415,0.12173106822513802,0.08116800774308253,0.058906200197538894,0.5093901415286215,0.28131608856586077,0.09822889993845862,0.2937888849635364,0.05604500058846007,0.14883036230940405,0.18826184803617174,0.22109263666459178,0.12147277641228627,0.25288521909620876
H3K4me2,0.1991783508383893,0.18877513694582504,0.23604464480841258,0.2919026974730574,0.3913648764206652,0.53607560867861,0.31303941374923383,0.5204613124101467,0.1703389203960075,0.2233056625165606,0.18296876615231739,0.8625512443359415,4.834478373954531,0.0926661382097329,0.07257984530802375,0.0879678392135066,0.34770137293073944,0.15604336618232217,0.09480717598489719,0.4195664617149806,0.10975390421610243,0.08551747878689753,0.11696082527411633,0.10623910284293459,0.07333660641725714,0.12148557732817444
Htz1,0.2457812965453101,0.2477499510196033,0.2569097351695806,0.24195208637454257,0.2156554595074045,0.2410943840026203,0.32831589695163643,0.22302376975276061,0.17171408236088048,0.19539854172304594,0.16395366932263933,0.12173106822513624,0.09266613820973468,4.182344625589242,0.1560192589310141,0.02271576542085718,0.09589470958176527,0.10303298408478767,0.1588558454677802,0.15393840219471322,0.047754457400987604,0.27336919761223477,0.42242713169728674,0.2806963824368651,0.20035883885356043,0.04632105319616642
H3K79me,0.11836002396284684,0.13338479531803848,0.17995843711494786,0.17862957932633172,0.12306452437345605,0.14442985191810642,0.11465156827292766,0.11388626095418886,0.1368308607056079,0.17022711228250031,0.16440281893249598,0.0811680077430843,0.07257984530802197,0.1560192589310141,4.179652495888023,0.029728924596945205,0.07473706270652336,0.05734133465171709,0.25232442109806996,0.08784058012579266,0.06561869745461024,0.3568628534591163,0.3064120121436318,0.09132786564307693,0.07141612113189666,0.10180735118040651
H3S10ph,0.024953715262570952,0.020377737044192656,0.0253763413255772,0.05095016187778256,0.056876382096817224,0.06406964152285965,0.03331256859549647,0.06631698805654729,0.034499927399368246,0.05193938448770652,0.04314801856949391,0.05890620019754067,0.0879678392135066,0.02271576542085718,0.029728924596944317,3.7730724532401108,0.036827087147878856,0.026487332273407382,0.024344714561395087,0.0413447208045028,0.047409907559544884,0.026589974114434867,0.03691902586292706,0.029013777948197372,0.01697908887213373,0.03065139809473827
