,H4K5ac,H3K4ac,H3K23ac,H3K14ac,H3K18ac,H3K9ac
H4K12ac_H4K8ac,0.6990317240170043,,,,,
H3K23ac_H2AK5ac,,0.6356657827909835,,,,
H3K23ac_H3K9ac,,0.869715998362409,,,,
H3K23ac_H3K56ac,,0.8987982027950494,,,,
H3K23ac_H3K27ac,,0.5365690920532913,,,,
H3K14ac_H2AK5ac,,0.6266040368014636,0.6671792429656058,,,
H3K14ac_H3K9ac,,0.6684437165101187,0.6828294437708742,,,
H3K14ac_H3K56ac,,0.7989311520717592,0.7773478832832534,,,
H2AK5ac_H3K18ac,,0.5690444662222962,0.6149339996787582,0.6397008664638903,,
H3K18ac_H3K9ac,,0.8365858787500695,0.7164416304991601,0.6438600253144493,,
H3K18ac_H3K56ac,,0.8934079112433224,0.7609717673743148,0.733217202373833,,
H3K18ac_H3K4me3,,,,0.6680520002878154,,
H3K9ac_H3K56ac,,,0.8167861031691963,0.6787571384468052,0.8191539842437905,
H3K9ac_H3K27ac,,0.5331375774856113,,,,
H3K56ac_H3K27ac,,0.5715656577336841,0.5138483955254465,,,0.5728080078964695
