,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K4me3,Htz1,H3K79me,H3K4me,H4K20me,H3K36me,H3K79me3,H3K36me3
H4K12ac_H3K4ac,0.2425409146095098,,,,,,,,,,,,,,,,,
H4K12ac_H3K23ac,0.2619037272927684,,,,,,,,,,,,,,,,,
H4K12ac_H3K14ac,0.2526117275749477,,,,,,,,,,,,,,,,,
H4K12ac_H2AK5ac,0.43483660914859,,,,,,,,,,,,,,,,,
H4K12ac_H3K18ac,0.1812701561811103,,,,,,,,,,,,,,,,,
H4K12ac_H3K9ac,0.127532098369226,,,,,,,,,,,,,,,,,
H4K12ac_H3K56ac,0.1547306675931281,,,,,,,,,,,,,,,,,
H4K12ac_H3K27ac,0.1396321116675665,,,,,,,,,,,,,,,,,
H4K12ac_H3K4me3,0.0325427031037559,,,,,,,,,,,,,,,,,
H4K12ac_H3K4me2,0.0217661700363684,,,,,,,,,,,,,,,,,
H4K12ac_Htz1,0.1061889290195328,,,,,,,,,,,,,,,,,
H4K12ac_H3K79me3,0.0674314407214815,,,,,,,,,,,,,,,,,
H4K12ac_H3K36me3,0.1108944368741227,,,,,,,,,,,,,,,,,
H4K12ac_H4R3me2s,0.1828717932617856,,,,,,,,,,,,,,,,,
H4K12ac_H4R3me,0.1437470546227519,,,,,,,,,,,,,,,,,
H4K8ac_H3K4ac,0.2611214831052173,0.2736701076967236,,,,,,,,,,,,,,,,
H4K8ac_H3K23ac,0.2674793904288695,0.2767914594328964,,,,,,,,,,,,,,,,
H4K8ac_H3K14ac,0.2580018628120601,0.2772707094495512,,,,,,,,,,,,,,,,
H4K8ac_H2AK5ac,0.4443956443325874,0.4590362260680507,,,,,,,,,,,,,,,,
H4K8ac_H3K18ac,0.1881822246215669,0.2019041974791005,,,,,,,,,,,,,,,,
H4K8ac_H3K9ac,0.133549387523395,0.1378757764518763,,,,,,,,,,,,,,,,
H4K8ac_H3K56ac,0.1623239486014718,0.1733303647871373,,,,,,,,,,,,,,,,
H4K8ac_H3K27ac,0.1431989440831031,0.1552059611655067,,,,,,,,,,,,,,,,
H4K8ac_H3K4me3,0.0177255891893128,0.0310507759307014,,,,,,,,,,,,,,,,
H4K8ac_H3K4me2,0.0249189845238788,0.0431941744752872,,,,,,,,,,,,,,,,
H4K8ac_Htz1,0.1023125668748861,0.1250508704456781,,,,,,,,,,,,,,,,
H4K8ac_H3K79me,,0.0212823346236064,,,,,,,,,,,,,,,,
H4K8ac_H3K79me3,0.0845312894817773,0.0969383182072807,,,,,,,,,,,,,,,,
H4K8ac_H3K36me3,0.1155018450037115,0.1324191533427789,,,,,,,,,,,,,,,,
H4K8ac_H4R3me2s,0.1815978837670382,0.190592254357945,,,,,,,,,,,,,,,,
H4K8ac_H4R3me,0.1514814820995642,0.1537294127810238,,,,,,,,,,,,,,,,
H3K4ac_H3K23ac,0.2769885099767624,0.2791622250371475,0.3009229398547521,,,,,,,,,,,,,,,
H3K4ac_H3K14ac,0.2632326787176353,0.2731943844645279,0.2837884331444371,,,,,,,,,,,,,,,
H3K4ac_H2AK5ac,0.2457439747846965,0.2563295465822701,0.2815357318185114,,,,,,,,,,,,,,,
H3K4ac_H3K18ac,0.187318719079041,0.1931120999330051,0.2052354957350299,,,,,,,,,,,,,,,
H3K4ac_H3K9ac,0.180622453411777,0.1655000009745162,0.1946119445908571,,,,,,,,,,,,,,,
H3K4ac_H3K56ac,0.1950923298099329,0.1976528507814077,0.2319269686716882,,,,,,,,,,,,,,,
H3K4ac_H3K27ac,0.124052057993353,0.1362432427259534,0.1444884827195753,,,,,,,,,,,,,,,
H3K4ac_Htz1,,0.0105538657803521,0.0012308237885942,,,,,,,,,,,,,,,
H3K4ac_H4R3me2s,0.0260613914271754,0.0348182589249361,0.0180007772602976,,,,,,,,,,,,,,,
