,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me2,Htz1,H3K4me,H4K20me,H3K36me2,H4K16ac
H4K12ac_H3K4me3,0.0325427031037559,,,,,,,,,,,,,,,,
H4K12ac_H3K4me2,0.0217661700363684,,,,,,,,,,,,,,,,
H4K12ac_H3K79me,-0.0064568442146839,,,,,,,,,,,,,,,,
H4K12ac_H4K20me,-0.0421585799392065,,,,,,,,,,,,,,,,
H4K12ac_H3K36me,-0.0147776626358737,,,,,,,,,,,,,,,,
H4K8ac_H3K4me3,0.0177255891893128,0.0310507759307014,,,,,,,,,,,,,,,
H4K8ac_H3K4me2,0.0249189845238788,0.0431941744752872,,,,,,,,,,,,,,,
H4K8ac_H3K79me,-0.013237110672815,0.0212823346236064,,,,,,,,,,,,,,,
H4K8ac_H3K36me,-0.0224387577356903,-0.0041486586640608,,,,,,,,,,,,,,,
H4K8ac_H3K36me2,,-0.0482171483859019,,,,,,,,,,,,,,,
H3K4ac_H3K4me3,,-0.0383646157830064,,,,,,,,,,,,,,,
H3K4ac_H3K4me2,,,-0.0475256803559318,,,,,,,,,,,,,,
H3K4ac_Htz1,-0.0103732657557955,0.0105538657803521,0.0012308237885942,,,,,,,,,,,,,,
H3K4ac_H3K79me3,,-0.0412135469585184,-0.0364596083083572,,,,,,,,,,,,,,
H3K4ac_H3K36me3,,-0.0325751625007519,-0.0403449401565794,,,,,,,,,,,,,,
H3K4ac_H4R3me2s,0.0260613914271754,0.0348182589249361,0.0180007772602976,,,,,,,,,,,,,,
H3K4ac_H4R3me,0.014966229722658,0.0227324819315555,0.0126599782980338,,,,,,,,,,,,,,
H3K23ac_H3K4me3,-0.011931547856907,0.0036084227393491,-0.0336321895488236,,,,,,,,,,,,,,
H3K23ac_H3K4me2,-0.0348383573312531,-0.0249482534470324,-0.0141169434573384,,,,,,,,,,,,,,
H3K23ac_Htz1,-0.0035198692627425,0.0090360683472408,-0.0046404591341371,,,,,,,,,,,,,,
H3K23ac_H3K79me,,,,-0.0198207320428558,,,,,,,,,,,,,
H3K23ac_H3K4me,,,,-0.0270788929811338,,,,,,,,,,,,,
H3K23ac_H4K20me,,,,0.0306678840780563,,,,,,,,,,,,,
H3K23ac_H3K36me,,,,-0.0083905974881623,,,,,,,,,,,,,
H3K23ac_H3K36me2,,,,0.0413848353755668,,,,,,,,,,,,,
H3K23ac_H4K16ac,,,,-0.0484637546011104,,,,,,,,,,,,,
H3K23ac_H3K79me3,,,,-0.0087568187268107,,,,,,,,,,,,,
H3K23ac_H3K36me3,,-0.0467021931965661,,,,,,,,,,,,,,,
H3K23ac_H4R3me2s,0.0221914631203858,0.0285775048859342,0.003611177718886,,,,,,,,,,,,,,
H3K23ac_H4R3me,0.0067700073849703,0.0156155905819517,-7.03086986035828e-05,,,,,,,,,,,,,,
H3K14ac_H3K4me3,-0.0050397862981466,0.0089027237359005,-0.0339726733524621,,,,,,,,,,,,,,
H3K14ac_H3K4me2,,-0.0333471933479643,-0.0274652479550514,,,,,,,,,,,,,,
H3K14ac_Htz1,-0.0107209886547963,0.0171116093937033,0.0032938657358343,,,,,,,,,,,,,,
H3K14ac_H3K79me,,,,-0.0399100598035726,-0.0213922043643037,,,,,,,,,,,,
H3K14ac_H3K4me,,,,,0.0176300796810124,,,,,,,,,,,,
H3K14ac_H4K20me,,,,0.0213015560818607,,,,,,,,,,,,,
H3K14ac_H3K36me,,,,-0.0194395662651807,-0.0161014571326028,,,,,,,,,,,,
H3K14ac_H3K36me2,,,,0.0198287866232362,,,,,,,,,,,,,
H3K14ac_H3K79me3,,,,,-0.0222147300838013,,,,,,,,,,,,
H3K14ac_H3K36me3,,,,0.0467037707330924,,,,,,,,,,,,,
H3K14ac_H4R3me2s,0.0141899988171072,0.0268494120928064,0.0061460528134738,,,,,,,,,,,,,,
H3K14ac_H4R3me,0.0088901451315397,0.0219381604404365,0.0089161985679773,,,,,,,,,,,,,,
H2AK5ac_H3K4me3,0.0069473145245346,0.0206404547554743,-0.0212908997269121,,,,,,,,,,,,,,
H2AK5ac_H3K4me2,-0.0137559413851295,0.0001065069072545,0.0041490372597206,0.0427842355260246,,,,,,,,,,,,,
H2AK5ac_H3K79me,,-0.0436539581806041,-0.0444773562442648,,,,,,,,,,,,,,
H2AK5ac_H3K4me,,,,,,-0.0453389409977837,,,,,,,,,,,
H2AK5ac_H4K20me,,,,-0.0030962486471679,0.0030058947390205,0.0077863658946135,,,,,,,,,,,
H2AK5ac_H3K36me2,,,,-0.042769237141913,-0.0171312857801204,-0.0106196327992762,,,,,,,,,,,
H2AK5ac_H3K79me3,0.0115951301745838,0.0218706168043318,0.0268863004309594,0.0245315865543549,-0.0199742335155352,-0.0288214827424102,,,,,,,,,,,
H2AK5ac_H3K36me3,0.0492752667002385,,0.0491476083827553,,0.0443829064397292,0.0354021643934654,,,,,,,,,,,
H2AK5ac_H4R3me,,,,,0.0488641227678989,,,,,,,,,,,,
H3K18ac_H3K27ac,0.044729323619487,,,,,,,,,,,,,,,,
H3K18ac_H3K4me2,,,,0.0351140337134214,,,,,,,,,,,,,
H3K18ac_Htz1,,,,0.0191475868721706,0.0193935147978976,0.0298193012416838,0.0071550660911814,,,,,,,,,,
H3K18ac_H3K4me,,,,,-0.0370882373783416,,,,,,,,,,,,
H3K18ac_H4K20me,,,,-0.017837331321818,0.002511839589367,,0.0048934529710873,,,,,,,,,,
H3K18ac_H3K36me2,,,,-0.0354831525362726,0.0046218810928717,0.019390356024326,,,,,,,,,,,
H3K18ac_H3K79me3,,,,-0.0096733325382043,-0.035027507658043,-0.0489244707581573,,,,,,,,,,,
H3K18ac_H3K36me3,,,,-0.0306506380853157,-0.0077788017419919,-0.0044192546977122,-0.0445563500987056,,,,,,,,,,
H3K18ac_H4R3me2s,-0.0310772966647316,-0.018798186863,-0.0380068127215373,,,,,,,,,,,,,,
H3K18ac_H4R3me,-0.0353249010783773,-0.0238734858029872,-0.0397902753615433,0.034598954623803,0.0271789631892858,0.0499843361381149,0.0339493051932677,,,,,,,,,,
H3K9ac_H3K4me3,,,,,,0.0370312405466624,,0.0021650565785247,,,,,,,,,
H3K9ac_H3K4me2,,,,-0.0487426082458455,,,,,,,,,,,,,
H3K9ac_Htz1,,-0.0493166349087399,,0.0242445015903527,0.0127103466089391,-0.0264040127340017,-0.0047718887372845,-0.0293190450095011,,,,,,,,,
H3K9ac_H3K79me,,,,-0.010511434847821,-0.0372710625799257,,,,,,,,,,,,
H3K9ac_H3K4me,,,,-0.0143890995803381,,,,,,,,,,,,,
H3K9ac_H4K20me,,,,0.0485343318276019,0.0088338809204735,-0.0109865015319723,-0.0113281743454773,-0.0057071549127236,,,,,,,,,
H3K9ac_H3K36me,,,,-0.0220761349873015,-0.0435293307570088,,,,,,,,,,,,
H3K9ac_H3K36me2,,,,-0.0418484359393218,-0.0494335213421006,,,,,,,,,,,,
H3K9ac_H4K16ac,,,,-0.049569360362069,,,,,,,,,,,,,
H3K9ac_H3K79me3,,,,,0.0073398247326643,,-0.0184964394452951,-0.0285463159680254,,,,,,,,,
H3K9ac_H3K36me3,,,,,0.013398533208619,,-0.0263364822894978,,,,,,,,,,
H3K9ac_H4R3me2s,-0.0305930160345422,-0.0184850146208468,-0.0436630819009415,,,,,,,,,,,,,,
H3K9ac_H4R3me,-0.0422374900051156,-0.0246212997951165,-0.0493208688794304,0.0331463524641755,0.0230583438538918,-0.0071320062612283,0.0039932445980355,-0.0183642245290958,,,,,,,,,
H3K9ac_H2AS129ph,,,,-0.0430398362288286,,,,,,,,,,,,,
H3K56ac_H3K4me3,,-0.0412628732733768,,,,,,0.047206209730934,,,,,,,,,
H3K56ac_H3K4me2,,-0.047548347976285,-0.041816295760432,,,-0.0060549726294425,0.0131475107866894,-0.0259697961369269,0.0238658249356173,,,,,,,,
H3K56ac_Htz1,-0.0198254085262785,-0.001067549515044,-0.0124796882559135,,,0.0375612509874621,,0.0192555097620665,,,,,,,,,
H3K56ac_H3K79me,,,-0.0459120087867859,0.0447935370121577,-0.0121609541803842,,-0.043357125101215,,0.005199811072817,,,,,,,,
H3K56ac_H3S10ph,,,,-0.0469039293768762,,,,,,,,,,,,,
H3K56ac_H3K4me,,,,-0.0126526422438093,-0.028295751541437,,,,0.0045310593735123,,,,,,,,
H3K56ac_H4K20me,,,,0.0463321661931974,0.0350230934854742,0.0044162317458162,-0.0080166612737642,-0.0367769734197747,0.0445030733479505,,,,,,,,
H3K56ac_H3K36me,,,,0.0250282554366005,-0.0081936257577712,-0.0371065550885347,,,0.0063206602104131,,,,,,,,
H3K56ac_H3K36me2,,,,0.0424785592922418,0.0128293483671555,-0.0342106367196493,,,0.0129649943660492,,,,,,,,
H3K56ac_H4K16ac,,,,-0.0176510478495828,-0.0480514569534022,,,,0.0182926723225111,,,,,,,,
H3K56ac_H3K79me3,-0.0439236836901955,-0.0353858731495364,-0.0338640089267361,,0.0263247182251777,,0.025042739691985,0.0050316031019495,,,,,,,,,
H3K56ac_H3K36me3,,-0.0430064865285828,,,,0.0136648808275623,0.0359808385974673,-0.0148826525244842,,,,,,,,,
H3K56ac_H4R3me2s,-0.0006985021580323,0.0110876959652692,-0.0107818094324159,,,,,,,,,,,,,,
