,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2,1.0000053621890597,-0.04451991355836568,0.13225433948295526,0.041954718754786284,-0.04233086290118954,-0.1600992340699103,-0.04359384662309121,0.3509851018334922,0.44924335395358395,0.1306431411025235,0.3908291850147684,0.2868167575495554,0.229001882960874,0.1597222497720168,0.2992263708604752,0.21556596879505044,0.25062848606809573,0.2826613100319128,0.38706800226193794,0.07092326378119362,0.34156854001377884,-0.08828697996242038,-0.0914888329005112,0.09921643281659372,-0.0996968916873489,0.005933790737141049,-0.1018496623652259,-0.06963634841451466,-0.05382995510659008,-0.05962683848702507,-0.07873910604568335,0.05185098771747907,-0.10038380155224008,0.031771965857983774,-0.018775468031578382,-0.08257164916419078,-0.06129362306746544,-0.08370175387758856,-0.09065605260659143
H2AZ,-0.04451991355836568,1.000005362189059,-0.2644391546110451,-0.17128208416935045,0.31090110453083736,0.5405767552494581,0.1747111817142191,0.02854374361747077,0.04047637838935485,-0.05353466250470846,0.01844366746964252,0.07469669060634075,0.05207799726984089,-0.13846971987397733,0.03936541934541167,0.02872398477061062,0.054140266171638474,-0.07782382891919301,-0.011875814273620292,-0.3032168896572158,-0.013990089661863353,0.32477113462937995,0.4942855619277712,0.07258059887300418,0.4980572366863355,0.12807740773891216,0.5301168785956304,0.39828815227656783,0.46769567472154555,0.5745638670921375,0.349506479488411,0.2702507971881696,0.28814314731471974,-0.12167777027928856,0.17296816882633342,0.4279312978423069,0.2957564125161025,0.3302886007311551,0.40924079730488194
H2BK5me1,0.13225433948295526,-0.2644391546110451,1.0000053621890603,0.334429634067748,-0.043027629299684185,-0.3640284489831064,0.17020756874640505,-0.014520980273554265,-0.05725238621371148,0.23554090166146954,0.022542582183885128,-0.04066366829620857,0.17246083466665327,0.06044085778041765,0.1550681919272625,0.0029738951540198206,-0.04439202178261713,0.31275449649799497,0.16713260596553275,0.7039550611746784,-0.055975582159956114,-0.19636325444703392,-0.23926813194821003,-0.03217104276016175,-0.25009267417883824,-0.1087707692840186,-0.266624383320076,-0.23109383233708758,-0.23586272965323438,-0.2267622995986081,-0.22707726934091682,-0.025100191817110297,-0.2003808113965706,-0.008723961558389236,-0.12721118292738398,-0.21595296072534725,-0.21740836321756923,-0.2258880451112234,-0.23301686953920514
H3K4me1,0.041954718754786284,-0.17128208416935045,0.334429634067748,1.0000053621890588,0.2268720198014601,-0.35996242107144255,0.3990321592057107,0.046068000132019817,-0.08490941087650018,0.37847891550053353,0.08076784039373376,0.00567663200700234,0.24046614910306746,-0.048314962647737845,0.06361418582449929,0.026451852417893454,-0.0857326965780544,0.19301684089472876,0.057506389069103415,0.17382552092503037,-0.10602608457123598,-0.03931138802092558,-0.2344234944175975,0.17729531660696207,-0.046319357513115,0.1599558996611055,-0.10528056868665595,-0.1177020369015764,6.371122554502825e-05,-0.03436037104531419,-0.0014914661240058337,-0.017982250173470448,-0.06063053727783905,0.25724186597977733,-0.09647469601618013,-0.10718391760059426,-0.03687492581185488,-0.006016447258842197,-0.07388045932557921
H3K4me2,-0.04233086290118954,0.31090110453083736,-0.043027629299684185,0.2268720198014601,1.000005362189061,0.304296333290268,0.6201281205831212,0.006056127494784415,-0.08239801991706489,0.17953085175596858,0.030578091342004447,0.042190210323098956,0.19014831629137172,-0.11773340425537382,0.02393814420620949,0.0337716312275009,-0.07353400677605253,-0.013946602565311442,-0.038786235793397156,-0.09298063630005685,-0.12887485632665543,0.08348234513346711,0.14378819270847315,0.16028867460504534,0.17857616781400387,0.3429705019988981,0.23960819329128655,0.11749532007978788,0.2582867803218795,0.242408961430695,0.11451398136996428,0.04945101012358021,0.04123563033604045,0.02922459689614351,0.044778774846377364,0.14505731238858524,0.11494217828879266,0.10365614374146102,0.14290178114747687
H3K4me3,-0.1600992340699103,0.5405767552494581,-0.3640284489831064,-0.35996242107144255,0.304296333290268,1.0000053621890608,0.13640638173288674,-0.0955904651724331,-0.036581306346845435,-0.2680422185536274,-0.13385949355689888,0.005044102438108129,-0.048708413533215485,-0.19028125449840794,-0.009459349463200907,-0.032173759688871484,0.06113598229802168,-0.171258812394465,-0.09583950981551319,-0.2822934646565272,-0.0737832748899506,0.38352050219146155,0.6099362904099693,-0.025744871854519482,0.47935019695145786,0.057133413730419996,0.5380485864839958,0.3950424785436102,0.28640632402123917,0.3271132719368909,0.3175105780496293,0.2508419977196724,0.4187187593801705,-0.19293476296543624,0.3240415671942686,0.4366326742934947,0.26519523479383583,0.31875306457608177,0.43072463667277006
H3K9me1,-0.04359384662309121,0.1747111817142191,0.17020756874640505,0.3990321592057107,0.6201281205831212,0.13640638173288674,1.0000053621890608,0.013202018948914481,-0.10111297950193723,0.3402949367809131,0.03713370293645222,0.03662059627577662,0.22980742044741795,-0.0915067098122648,0.07780164135392889,0.02839058380846006,-0.08742395261852197,0.07143566061173905,-0.007074628822075419,0.07288561732116888,-0.15375884014669566,0.005621413398993485,0.016805682681609372,0.13017863582186406,0.07591392919151695,0.2440931720713217,0.08408580365111568,-0.0010242850371135898,0.09492017353022143,0.11495582760132134,0.022034835513358147,0.0009637053172478558,-0.035146190649299774,0.0025885550294323643,-0.009465658329498739,0.022321903544186828,-0.020160096867607884,0.008175155597907232,0.013941160730114676
H3K9me2,0.3509851018334922,0.02854374361747077,-0.014520980273554265,0.046068000132019817,0.006056127494784415,-0.0955904651724331,0.013202018948914481,1.0000053621890603,0.28849008755569366,0.14811528248662106,0.34832619003251336,0.25573753887442824,0.1968737554023977,0.10664430206121275,0.22251761971398581,0.18268065459401842,0.18773467154087653,0.19284129816940904,0.224769327209796,-0.09627462301816499,0.1876495250205405,-0.01044788676220288,-0.04375696631805851,0.1350670629738589,-0.004157910647177239,0.054877773873324945,-0.022490758693273685,0.012986907236877206,0.055171623854320014,0.047705089882050765,0.01769362159606296,0.049448174381457335,-0.02976122770523486,0.07233572657897445,0.007775886436404914,-0.020418708477076452,0.024377087862911512,0.0060047711907267685,-0.008930757276691325
H3K9me3,0.44924335395358395,0.04047637838935485,-0.05725238621371148,-0.08490941087650018,-0.08239801991706489,-0.036581306346845435,-0.10111297950193723,0.28849008755569366,1.0000053621890608,0.026488117803677623,0.3166793006148376,0.26177994729359755,0.11951210349881437,0.30622285274975003,0.21405942690861934,0.20109737959675683,0.36306926014278434,0.13641856731150848,0.27663118407720516,-0.06978248277264223,0.5705799104665545,-0.049505402604154744,-0.020355255779434846,0.05472541781629103,-0.05481693306956873,-0.036321143862763756,-0.050961400248198487,-0.026427113448914376,-0.048230097207258404,-0.040644001492564724,-0.04949911739745481,0.0253311805549008,-0.0602319841497441,-0.047562276548311265,0.02489616148780793,-0.03695621559868201,-0.03562867608532981,-0.052099672085777884,-0.048978914738249536
H3K27me1,0.1306431411025235,-0.05353466250470846,0.23554090166146954,0.37847891550053353,0.17953085175596858,-0.2680422185536274,0.3402949367809131,0.14811528248662106,0.026488117803677623,1.0000053621890594,0.23537122538954114,0.07508320406409914,0.2397182739645344,0.09914995645973061,0.12539766436733782,0.105171411485636,-0.03955517564719683,0.1771683020460726,0.08338415721303341,0.04157342938088805,-0.04593880514525974,-0.09731061430086077,-0.15735101485742775,0.18487471023411747,-0.09469891833277513,0.19652551694727272,-0.1259307895441211,-0.10886656124394814,0.016208750582833747,0.0234589113290555,-0.05899238638642717,-0.0012856750281301146,-0.1303377864139031,0.1373804124974449,-0.08410703516896768,-0.13931833202281826,-0.09521392888658912,-0.07988468160034773,-0.11430478115601411
