,H2A.H4R3me2,H2AZ,H2BK5me1,H3K4me1,H3K4me2,H3K4me3,H3K9me1,H3K9me2,H3K9me3,H3K27me1,H3K27me2,H3K27me3,H3K36me1,H3K36me3,H3K79me1,H3K79me2,H3K79me3,H3R2me1,H3R2me2,H4K20me1,H4K20me3,H3K4ac,H3K9ac,H3K14ac,H3K18ac,H3K23ac,H3K27ac,H3K36ac,H4K5ac,H4K8ac,H4K12ac,H4K16ac,H4K91ac,H2AK5ac,H2AK9ac,H2BK5ac,H2BK12ac,H2BK20ac,H2BK120ac
H2A.H4R3me2,1.8847711615009988,0.022731013701497105,0.03796805888630761,0.02597849902716831,0.01939071150337135,0.053572419270136784,0.018585697886190466,0.025613120499493824,0.03281598997541213,0.020250513810395887,0.03150614843643984,0.016419279628312022,0.01825255747679755,0.03829061118786026,0.016221296260582108,0.008631514486751701,0.024902734090272993,0.031163441114287593,0.03440183620203552,0.0218820697818094,0.039427311594292025,0.020630926237060088,0.03186012394633053,0.006620488775051392,0.025526366939204514,0.007226849757326903,0.0314602028362021,0.018203724957925438,0.01285554184512705,0.014339785433833185,0.021669771442968333,0.008340422812443293,0.0240782866705187,0.01164059091650227,0.00988125413018981,0.021693191650743238,0.013675264752016858,0.021430548126812,0.025067242795978828
H2AZ,0.022731013701497105,3.376387373773069,0.21980401847071818,0.07202560251463375,0.10232803134612745,0.4246645968311782,0.04346806071710141,0.0105668806475947,0.021464095767177227,0.030501962910655323,0.010448445985171695,0.014062639750539674,0.009264576968385008,0.10331708112162374,0.008488099493195733,0.0034617643148315835,0.02838696969525234,0.025862226234169228,0.014505860683413196,0.2694170570319727,0.015061122004461858,0.1422489007497374,0.3088622587465153,0.008280139429633238,0.3089897484485373,0.018911418407941305,0.30232521060333806,0.20963128164698297,0.21373639707127978,0.3031920234452592,0.15922558061483105,0.06135102491197397,0.1313255457904301,0.02946388921604548,0.05456495757076141,0.19487680609309166,0.13360154538441726,0.16671765599928268,0.22097239456557194
H2BK5me1,0.03796805888630761,0.21980401847071818,4.790547147573575,0.20173441120043023,0.04378490549355085,0.26412956079011174,0.05739751218328948,0.011434855559828705,0.0171521682492779,0.11481718609026537,0.012848344205243833,0.010781028292245587,0.037307408315172985,0.07697047517846389,0.02682956784560009,0.003473970597934084,0.022019973655389435,0.09334648025819892,0.03310492904873463,0.522677821430074,0.024172847615887783,0.08093494610401564,0.17528709683478105,0.008283364127560588,0.14611645066846357,0.01891435036730371,0.16917767316550858,0.13888230978357186,0.10362041754311946,0.09716469119084259,0.10094993827848775,0.02031268473691661,0.08357613377248185,0.022152871497025828,0.03134360374868628,0.11897000948700409,0.10491382231612079,0.10644502960471414,0.127499281677677
H3K4me1,0.02597849902716831,0.07202560251463375,0.20173441120043023,5.637331828338662,0.12743821505275044,0.25849878728305775,0.17067536727992305,0.015516298249326432,0.03565673292848004,0.1623006282607662,0.029027929644976247,0.010948789813054915,0.05860334630143704,0.05529592216375967,0.011796989695984195,0.004389832291278317,0.03377981061828805,0.04906811511175668,0.014649174799191478,0.08384702095997021,0.04110775861717997,0.05125849960555051,0.13250599048513578,0.03746929948041622,0.06451591278438329,0.04017512517216382,0.07848126444603842,0.05350651170666332,0.04482010286634086,0.029027817710804982,0.04870975500903896,0.02461325692850025,0.08016569645425164,0.09727108004661034,0.025803145353819446,0.053821871659971876,0.028701552810781905,0.045293970615000845,0.05987887495059496
H3K4me2,0.01939071150337135,0.10232803134612745,0.04378490549355085,0.12743821505275044,5.4688457423290995,0.2109977207486189,0.4341707586259478,0.012336883509188823,0.03775004350446043,0.05403700355815921,0.013212080241666868,0.011107724150594578,0.04112088435278949,0.039138503056427965,0.007823508352787556,0.004417117613461308,0.03349915050632557,0.010636912936000442,0.012372509646297658,0.0521829696045959,0.055506841179509436,0.04526165650417546,0.09817003655927259,0.029620725599196263,0.08175854767497981,0.09892252340406493,0.09903952362446056,0.05359181859751416,0.08826496933914108,0.07259360086295708,0.058174038026303165,0.020992729986526015,0.054792541562333597,0.01929612514611634,0.014122694853329065,0.05310093248144376,0.04027078448099175,0.05370670677008249,0.0619397627553262
H3K4me3,0.053572419270136784,0.4246645968311782,0.26412956079011174,0.25849878728305775,0.2109977207486189,5.379436769089271,0.07188171437041824,0.02780609123305222,0.019593040137108275,0.09883942609789464,0.040140552355024006,0.018766269994755724,0.02061723052709219,0.12194204246072538,0.01318173670166356,0.00679138474032559,0.050840054752745445,0.04852831672767266,0.0277329911503843,0.16034982685380328,0.026507741187904443,0.17568982197588667,0.5633490818941524,0.015890717780573382,0.29317385546257313,0.03377473126702757,0.3849234990576065,0.2131438600306037,0.139819690698463,0.1601299615974714,0.15000262169228407,0.06517854177679183,0.18689959280634127,0.0641964108758728,0.10183006983644916,0.25145401937265177,0.13239612598454542,0.163759847076955,0.2458119757412618
H3K9me1,0.018585697886190466,0.04346806071710141,0.05739751218328948,0.17067536727992305,0.4341707586259478,0.07188171437041824,4.9741762385761685,0.01127402257243304,0.0444231550876113,0.10221542094402025,0.012213301486267092,0.009059048006226256,0.05145215493579336,0.033834633844785245,0.012667234614665013,0.0035785270296297966,0.035505021052654406,0.015998898066684752,0.011874203080244783,0.060177133432027574,0.06247753739236206,0.028829579168906605,0.03156995674349794,0.02206361096185372,0.04006690613137742,0.060662913207981894,0.04050435188477586,0.025613412296038973,0.04151851425903885,0.0365095546333567,0.0411196783768677,0.015833018813392385,0.03829788460591743,0.016875312373195506,0.008462271963280088,0.020996324378890208,0.020468362435439147,0.03400241670443549,0.03133441373845258
H3K9me2,0.025613120499493824,0.0105668806475947,0.011434855559828705,0.015516298249326432,0.012336883509188823,0.02780609123305222,0.01127402257243304,2.2540679694409125,0.021048257799614944,0.017500991318189385,0.03027320399889577,0.017007927935048794,0.014905656007867307,0.018467937229271314,0.013729841919456476,0.008367430927614716,0.018799038588777073,0.014666257687461659,0.014840343171628412,0.020024270868201022,0.023025091991157876,0.0075381329910158,0.012952143824353612,0.010977426558278935,0.008901133837747821,0.007039726670853064,0.010104582131038597,0.008254268860225622,0.012606031754098801,0.009846098104277168,0.009876142828377787,0.008500071859383063,0.011373510158725786,0.01035164987544146,0.005520279831255692,0.007762755817397604,0.00733008409880842,0.00897765500667358,0.009550827810149265
H3K9me3,0.03281598997541213,0.021464095767177227,0.0171521682492779,0.03565673292848004,0.03775004350446043,0.019593040137108275,0.0444231550876113,0.021048257799614944,0.8283536358441467,0.00991359019701843,0.016722318234619227,0.013947695947100325,0.009197400363311736,0.05425576202401139,0.011344066760352156,0.006317733877889475,0.06758955290946966,0.009115454341383167,0.018057978439014466,0.02240368116768643,0.09945894847805414,0.023747462246765494,0.014024725468834376,0.006297031870065695,0.02817420370866497,0.009698427463450177,0.030357360711951387,0.016308170372318465,0.02323472213598521,0.019294171512959757,0.02799101240176416,0.012711742114670521,0.03155397480397859,0.009133189368978112,0.004659251060038727,0.017986503413858657,0.013729977237303181,0.02651419214002182,0.028045985648634364
H3K27me1,0.020250513810395887,0.030501962910655323,0.11481718609026537,0.1623006282607662,0.05403700355815921,0.09883942609789464,0.10221542094402025,0.017500991318189385,0.00991359019701843,3.7627663287612956,0.0423223535920787,0.010670930493061448,0.04120895685597059,0.04757534860058765,0.010703002574103948,0.0063347806497633385,0.017320590176375994,0.026599737216172592,0.009297857299338297,0.042537509965244524,0.01251250592396147,0.01952730078399867,0.049420706420014504,0.028596259698514537,0.020615812539865885,0.03887296867600476,0.032289500416817773,0.02348430687875247,0.01790590394676439,0.012647887270007985,0.017853469561842417,0.010067342473297103,0.027991760709232594,0.03389128114858497,0.015643878454929094,0.031977918123560656,0.01754484314592375,0.01575272788756088,0.024614031075307352
