,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H4K5ac,1.0000150695459549,0.8367457773747722,0.8561026846916592,0.6366702907120373,0.6591670792048393,0.6451232920836456,0.7497446757321061,0.5913185489602919,0.5529249802456545,0.5393087812534589,0.5395256850943931,0.49292822820030757,0.4184944975241806,0.4952055536530728,0.3464600940532107,0.0769729992808349,-0.16421763415547602,-0.22650433155636712,0.18097898408222407,0.11541117649704082,0.10565021998811985,-0.34258610219575947,-0.4342565926476568,-0.5675469696274683,-0.5439002721369769,-0.10698290798402071
H4K12ac,0.8367457773747722,1.0000150695459533,0.8632171089010643,0.6329629326002977,0.65442424912857,0.6520480479800949,0.7498892479035287,0.587397062464406,0.5339655230571004,0.5311014349346472,0.5394427461629319,0.491818251047549,0.41636835926672683,0.5137306998350682,0.3793832778147424,0.07739558502942238,-0.20095419731038572,-0.22561685760719127,0.17760804375216227,0.09353005876444999,0.08500985275020279,-0.3923614816605325,-0.48696914405742686,-0.5676032798501944,-0.5264123812625697,-0.04187014857188635
H4K8ac,0.8561026846916592,0.8632171089010643,1.0000150695459542,0.6562958126311593,0.6611665189928634,0.6577538172303913,0.762040365232024,0.5932558970526829,0.5567533157121303,0.5534216894320529,0.547601560946442,0.4761978813427602,0.4671684085041666,0.5184060385024958,0.4383720949975051,0.08180968598177946,-0.13092338239580711,-0.18241341427037225,0.22602815624823583,0.17252463056073758,0.14656260428346293,-0.4011188289313002,-0.47699157304049916,-0.5794903757307848,-0.5463443022826666,-0.08770393414005441
H3K4ac,0.6366702907120373,0.6329629326002977,0.6562958126311593,1.0000150695459544,0.9174693724227382,0.908915007588205,0.8093698075288301,0.9083307102306026,0.9191245287627139,0.9257416907708448,0.7792569105759057,0.703317785890206,0.46969658092232214,0.4884728756860497,0.3849507172763546,0.15814628231264619,-0.2911986780915304,-0.3410308076043985,-0.00289818312551597,0.044238071588140304,0.1518785475747793,-0.39102131281864444,-0.47618074666285554,-0.5945553826963295,-0.4603033420934627,-0.2750243534182049
H3K23ac,0.6591670792048393,0.65442424912857,0.6611665189928634,0.9174693724227382,1.0000150695459542,0.9290187231034278,0.8205199331872702,0.9132130664188902,0.8514004606928446,0.8575963967852261,0.7824818550967805,0.7575141544833164,0.5434689303820974,0.4633266107753675,0.31856569942486274,0.17622004099161293,-0.23823828391999216,-0.2872339377164094,0.018114622492103143,0.07480540915167778,0.16673667403165393,-0.2889277765017032,-0.4161665058728771,-0.5405213061486176,-0.4226546718529317,-0.27267363811354545
H3K14ac,0.6451232920836456,0.6520480479800949,0.6577538172303913,0.908915007588205,0.9290187231034278,1.0000150695459546,0.8301458175932485,0.9210161523866092,0.7895386567884276,0.8214430882933778,0.6997858816605868,0.8603014237501929,0.6261673791594551,0.4949704907948804,0.3301979115984669,0.20554768393487458,-0.30177741538572084,-0.31454559889839656,0.015790706559401704,0.0941932530202833,0.09034044039261091,-0.32766799784095313,-0.4558748470086948,-0.5739283031847768,-0.45919973336308534,-0.31583087502903945
H2AK5ac,0.7497446757321061,0.7498892479035287,0.762040365232024,0.8093698075288301,0.8205199331872702,0.8301458175932485,1.0000150695459549,0.8128341503361284,0.7137349790775609,0.7226932868387038,0.6505181914940835,0.7018895492361713,0.4879365050297752,0.5844363232953635,0.3185512957799012,0.11057884397634467,-0.3102939851694377,-0.37493845680944016,0.002984521309034489,0.007450563849905945,0.004166603816672303,-0.3975665196662238,-0.5119116619657027,-0.666163552931258,-0.5413914722295227,-0.19774969982679685
H3K18ac,0.5913185489602919,0.587397062464406,0.5932558970526829,0.9083307102306026,0.9132130664188902,0.9210161523866092,0.8128341503361284,1.0000150695459546,0.8516336922684123,0.861221996119209,0.7164007129985549,0.8373616785892661,0.4973668136375676,0.4529423924094153,0.24166051186934265,0.14393623477970482,-0.3820519324122002,-0.4407059398946964,-0.11638489187249382,-0.022425802079776833,-0.03792510617517166,-0.3486586931594854,-0.41966242778916085,-0.6419411847467197,-0.4640168263981436,-0.39254388111525085
H3K9ac,0.5529249802456545,0.5339655230571004,0.5567533157121303,0.9191245287627139,0.8514004606928446,0.7895386567884276,0.7137349790775609,0.8516336922684123,1.000015069545955,0.9283974981692207,0.7704130848120219,0.5899615539350646,0.3231843398595776,0.3946240120148253,0.3008658349043412,0.08162917683866397,-0.26924716269829746,-0.34721965803134963,-0.04581177099320183,0.009100614491501837,0.16991989935414148,-0.30438119227537197,-0.3551345446305575,-0.5313497277333602,-0.375615966875471,-0.29896168952225116
H3K56ac,0.5393087812534589,0.5311014349346472,0.5534216894320529,0.9257416907708448,0.8575963967852261,0.8214430882933778,0.7226932868387038,0.861221996119209,0.9283974981692207,1.0000150695459553,0.7899044743289776,0.5976037449849362,0.3948577298177586,0.4190945272643306,0.3677543419656537,0.14286115990875276,-0.22626182634152364,-0.2918620945099474,-0.017840739627500546,0.022831982017314113,0.16537428138878418,-0.3539423701132103,-0.4036347501455006,-0.5251446958818874,-0.37486102471127847,-0.31920974866757
