,H4K5ac,H4K12ac,H4K8ac,H3K4ac,H3K23ac,H3K14ac,H2AK5ac,H3K18ac,H3K9ac,H3K56ac,H3K27ac,H3K4me3,H3K4me2,Htz1,H3K79me,H3S10ph,H3K4me,H4K20me,H3K36me,H3K36me2,H4K16ac,H3K79me3,H3K36me3,H4R3me2s,H4R3me,H2AS129ph
H4K5ac,4.352148779567258,0.8975373811042777,0.958980602511029,0.4377957509787791,0.445550938019192,0.44081574274599333,0.631432356282005,0.4143702979272508,0.3054669889632269,0.3067905192799074,0.2736701398735555,0.2557619311601762,0.1975236258933286,0.2440266957496977,0.11759307184614443,0.023202998174458145,0.11113079075524546,0.09437904825500709,0.13489421555886416,0.1266586574731523,0.0817831086468459,0.2505703495838283,0.32548276474287263,0.37428939871755595,0.2829524879762051,0.05474228857725727
H4K12ac,0.8975373811042777,4.171416377128983,0.987476760134224,0.426941575546941,0.43183426976028194,0.44212431865567936,0.6115635414646459,0.39559362065998016,0.27988946780603285,0.2936115302711375,0.2665131361541846,0.24334766029365795,0.1868282538028989,0.24485743781458424,0.13216537848183663,0.019571240202690632,0.08793154792612334,0.06804167922811288,0.12079349943754991,0.10728505224404294,0.05086479634575447,0.23914788308972135,0.3124218063792874,0.3338179549791285,0.2589178635024094,0.035212096037831486
H4K8ac,0.958980602511029,0.987476760134224,4.415225417357347,0.485768978255674,0.4501208712559581,0.46934798074252804,0.6458602696695674,0.4408459558447664,0.32076820150202323,0.3368495103620024,0.28449465224314174,0.25720916959673445,0.23441457856048764,0.254232908908957,0.17945988975894167,0.023661676424289624,0.080330855608576,0.05764525450021196,0.13700597043686003,0.12685002959519132,0.0666596071591421,0.2947742664108528,0.3466039803286858,0.3526621988878862,0.27891007978954896,0.04948234447245348
H3K4ac,0.4377957509787791,0.426941575546941,0.485768978255674,4.644639752518235,1.3212706690190696,1.3137998446426362,0.7880604698904108,1.2681673122980825,1.4011389729190071,1.4536278019504092,0.676457250654682,0.5345013096715441,0.2898824934031481,0.23993732798134637,0.17634526481462842,0.050028665511437254,0.16226290901701113,0.1715147254710594,0.14997878023577016,0.21816194753958307,0.10238187265240128,0.2644423590663063,0.34784719499541694,0.38343563238882616,0.20297548199530802,0.13359298555386445
H3K23ac,0.445550938019192,0.43183426976028194,0.4501208712559581,1.3212706690190696,4.50295246531531,1.4486113507256597,0.8165705127553835,1.3242877511644195,0.9547004925375546,0.9717630818322007,0.6933609400984642,0.657689093902782,0.3907277308418138,0.2135065066964188,0.12156157932570011,0.054152111716815554,0.19156214669854776,0.1894855551723058,0.13671498563671314,0.25649585199276004,0.09279983437966166,0.1856876716396414,0.29018851384333466,0.32940871872049016,0.17511511499068177,0.10877816697203002
H3K14ac,0.44081574274599333,0.44212431865567936,0.46934798074252804,1.3137998446426362,1.4486113507256597,4.766763558119822,0.8522711566505148,1.4585360778658671,0.7956403813788295,0.8861748845825694,0.5182401567079928,1.0153964815459702,0.5345006128599401,0.23929942773290946,0.142162199084229,0.06270683452060055,0.2640064629116292,0.21565220276838204,0.1339322368780227,0.3112384329075688,0.06981078742904501,0.1929489723969926,0.3022229119719455,0.3436766187770868,0.19442054087888394,0.15706609922890813
H2AK5ac,0.631432356282005,0.6115635414646459,0.6458602696695674,0.7880604698904108,0.8165705127553835,0.8522711566505148,4.373701906114882,0.8287264140429258,0.5398060176541151,0.5676724361057772,0.41668535728181055,0.5161573812750149,0.3111355772515445,0.32576894964063285,0.11302712560654982,0.03155033112956751,0.17138249689223706,0.19417603478428624,0.1344864669038799,0.21661441817069083,0.058964764957654126,0.24461573468491693,0.3701454995186353,0.4766409327513177,0.28150057664612493,0.06255691805641561
H3K18ac,0.4143702979272508,0.39559362065998016,0.4408459558447664,1.2681673122980825,1.3242877511644195,1.4585360778658671,0.8287264140429258,5.097428266416619,1.013692068690391,0.9946841329707592,0.5594502599730671,0.9255693256403124,0.5190192594462442,0.22083347593412483,0.11209610738951348,0.06388442361548918,0.30426611600078957,0.291029414146859,0.14420942440547968,0.27897613749244066,0.08083676874031553,0.22822633009566928,0.28584586641737175,0.4255042134099387,0.20728731094488673,0.19638826794109043
H3K9ac,0.3054669889632269,0.27988946780603285,0.32076820150202323,1.4011389729190071,0.9547004925375546,0.7956403813788295,0.5398060176541151,1.013692068690391,4.446448801832893,1.4466100039391323,0.6513287644942016,0.36546165024319244,0.16840092090459358,0.16935407146896253,0.13492942507505035,0.03290450886318652,0.16292487022736069,0.18023068455854663,0.1309653301500351,0.1587967368253942,0.14552702664894568,0.24770159678808135,0.28337493735017283,0.3306525184874456,0.1443188990258868,0.1385526590109798
H3K56ac,0.3067905192799074,0.2936115302711375,0.3368495103620024,1.4536278019504092,0.9717630818322007,0.8861748845825694,0.5676724361057772,0.9946841329707592,1.4466100039391323,4.012896531975816,0.6951156469638411,0.3726702725225639,0.2217855488226288,0.1938556199912549,0.16950385763468567,0.05025578210350101,0.1352587020289988,0.15221242786662614,0.14371820982651862,0.18035166038003858,0.13257586424295287,0.2551328656478322,0.28425794162708584,0.3286788804046008,0.14610650710954687,0.12810434053248265
