feature,importance,target,method,rank
H3K4me3,0.12533139,H2A.H4R3me2,mean_abs,1
H4K20me3,0.07260388,H2A.H4R3me2,mean_abs,2
H2BK5me1,0.057828862,H2A.H4R3me2,mean_abs,3
H3K36me3,0.049507644,H2A.H4R3me2,mean_abs,4
H3R2me2,0.038669743,H2A.H4R3me2,mean_abs,5
H3K27me2,0.03854119,H2A.H4R3me2,mean_abs,6
H3K9me2,0.030915687,H2A.H4R3me2,mean_abs,7
H3K4me1,0.03044035,H2A.H4R3me2,mean_abs,8
H3K4me2,0.029778322,H2A.H4R3me2,mean_abs,9
H3R2me1,0.027180841,H2A.H4R3me2,mean_abs,10
H3K9me3,0.015902488,H2A.H4R3me2,mean_abs,11
H3K9me1,0.015338885,H2A.H4R3me2,mean_abs,12
H3K23ac,0.013975986,H2A.H4R3me2,mean_abs,13
H3K79me3,0.012758026,H2A.H4R3me2,mean_abs,14
H2AK5ac,0.00960635,H2A.H4R3me2,mean_abs,15
H3K36me1,0.008177527,H2A.H4R3me2,mean_abs,16
H4K16ac,0.005621828,H2A.H4R3me2,mean_abs,17
H3K27me3,0.0036964994,H2A.H4R3me2,mean_abs,18
H3K27me1,0.0035119334,H2A.H4R3me2,mean_abs,19
H3K18ac,0.003134618,H2A.H4R3me2,mean_abs,20
H4K12ac,0.0031337594,H2A.H4R3me2,mean_abs,21
H3K79me2,0.0031162887,H2A.H4R3me2,mean_abs,22
H3K14ac,0.0027932327,H2A.H4R3me2,mean_abs,23
H4K20me1,0.0027116707,H2A.H4R3me2,mean_abs,24
H4K91ac,0.0024723923,H2A.H4R3me2,mean_abs,25
H3K79me1,0.0022198232,H2A.H4R3me2,mean_abs,26
H2AZ,0.0019330323,H2A.H4R3me2,mean_abs,27
H3K27ac,0.0017887362,H2A.H4R3me2,mean_abs,28
H2BK20ac,0.0017591978,H2A.H4R3me2,mean_abs,29
H3K9ac,0.0017044586,H2A.H4R3me2,mean_abs,30
H4K5ac,0.0016336138,H2A.H4R3me2,mean_abs,31
H3K4ac,0.0013876908,H2A.H4R3me2,mean_abs,32
H2BK120ac,0.0012047971,H2A.H4R3me2,mean_abs,33
H4K8ac,0.0011747949,H2A.H4R3me2,mean_abs,34
H3K36ac,0.0011460197,H2A.H4R3me2,mean_abs,35
H2BK12ac,0.0010100917,H2A.H4R3me2,mean_abs,36
H2AK9ac,0.0007889395,H2A.H4R3me2,mean_abs,37
H2BK5ac,0.0007518334,H2A.H4R3me2,mean_abs,38
