feature,importance,target,method,rank
H4K91ac,0.22096382,H2AK9ac,mean_abs,1
H3K9ac,0.17186278,H2AK9ac,mean_abs,2
H3K4ac,0.08526617,H2AK9ac,mean_abs,3
H3K4me3,0.07027423,H2AK9ac,mean_abs,4
H4K20me1,0.037947793,H2AK9ac,mean_abs,5
H2AZ,0.034207687,H2AK9ac,mean_abs,6
H2BK120ac,0.033208802,H2AK9ac,mean_abs,7
H4K16ac,0.022314355,H2AK9ac,mean_abs,8
H2AK5ac,0.018218532,H2AK9ac,mean_abs,9
H3K27ac,0.013334719,H2AK9ac,mean_abs,10
H3K18ac,0.0131331775,H2AK9ac,mean_abs,11
H4K12ac,0.0111496635,H2AK9ac,mean_abs,12
H2BK20ac,0.010924321,H2AK9ac,mean_abs,13
H2BK5ac,0.010474791,H2AK9ac,mean_abs,14
H3K4me1,0.009362121,H2AK9ac,mean_abs,15
H2BK12ac,0.0081477575,H2AK9ac,mean_abs,16
H3K36ac,0.006991394,H2AK9ac,mean_abs,17
H4K8ac,0.0056262147,H2AK9ac,mean_abs,18
H2BK5me1,0.004449317,H2AK9ac,mean_abs,19
H4K5ac,0.0044120625,H2AK9ac,mean_abs,20
H3K4me2,0.0038784503,H2AK9ac,mean_abs,21
H3K9me1,0.0034277067,H2AK9ac,mean_abs,22
H3K27me1,0.0026338717,H2AK9ac,mean_abs,23
H2A.H4R3me2,0.0024728398,H2AK9ac,mean_abs,24
H3K9me3,0.0022245704,H2AK9ac,mean_abs,25
H3K36me3,0.0020652243,H2AK9ac,mean_abs,26
H3K14ac,0.0018421927,H2AK9ac,mean_abs,27
H3K79me3,0.0018046955,H2AK9ac,mean_abs,28
H3K36me1,0.0017725782,H2AK9ac,mean_abs,29
H3K9me2,0.0016671395,H2AK9ac,mean_abs,30
H3K79me1,0.0016357788,H2AK9ac,mean_abs,31
H3R2me2,0.0015145321,H2AK9ac,mean_abs,32
H3R2me1,0.0014523664,H2AK9ac,mean_abs,33
H3K27me2,0.0014057694,H2AK9ac,mean_abs,34
H3K27me3,0.0010762371,H2AK9ac,mean_abs,35
H3K23ac,0.0010289511,H2AK9ac,mean_abs,36
H4K20me3,0.0009400004,H2AK9ac,mean_abs,37
H3K79me2,0.0006389604,H2AK9ac,mean_abs,38
