feature,importance,target,method,rank
H3K4me3,1.6395288,H2AZ,mean_abs,1
H4K8ac,1.3878081,H2AZ,mean_abs,2
H4K20me1,0.7832684,H2AZ,mean_abs,3
H3K9me1,0.24355106,H2AZ,mean_abs,4
H4K91ac,0.22357762,H2AZ,mean_abs,5
H3K9ac,0.15246843,H2AZ,mean_abs,6
H2AK5ac,0.15115121,H2AZ,mean_abs,7
H3K27ac,0.11712929,H2AZ,mean_abs,8
H3K18ac,0.10703984,H2AZ,mean_abs,9
H3K4me2,0.07883726,H2AZ,mean_abs,10
H4K5ac,0.049744204,H2AZ,mean_abs,11
H3K36me3,0.046087187,H2AZ,mean_abs,12
H3K27me1,0.046036944,H2AZ,mean_abs,13
H2AK9ac,0.036306713,H2AZ,mean_abs,14
H3K9me3,0.032113157,H2AZ,mean_abs,15
H3K4ac,0.028201152,H2AZ,mean_abs,16
H2BK5me1,0.023565842,H2AZ,mean_abs,17
H3K36me1,0.023458444,H2AZ,mean_abs,18
H3K36ac,0.019155724,H2AZ,mean_abs,19
H3K4me1,0.013871507,H2AZ,mean_abs,20
H3K27me2,0.012795119,H2AZ,mean_abs,21
H3K27me3,0.012275363,H2AZ,mean_abs,22
H2A.H4R3me2,0.011185744,H2AZ,mean_abs,23
H3R2me1,0.0107776895,H2AZ,mean_abs,24
H3K79me3,0.009726089,H2AZ,mean_abs,25
H3R2me2,0.009142316,H2AZ,mean_abs,26
H3K79me1,0.008650008,H2AZ,mean_abs,27
H2BK5ac,0.008612559,H2AZ,mean_abs,28
H4K20me3,0.008552306,H2AZ,mean_abs,29
H2BK20ac,0.008408818,H2AZ,mean_abs,30
H4K16ac,0.008323303,H2AZ,mean_abs,31
H3K9me2,0.007914402,H2AZ,mean_abs,32
H2BK120ac,0.0074931136,H2AZ,mean_abs,33
H2BK12ac,0.006020356,H2AZ,mean_abs,34
H4K12ac,0.005730675,H2AZ,mean_abs,35
H3K23ac,0.0053611845,H2AZ,mean_abs,36
H3K79me2,0.004047294,H2AZ,mean_abs,37
H3K14ac,0.0029118608,H2AZ,mean_abs,38
