feature,importance,target,method,rank
H4K12ac,3.061257,H2BK20ac,mean_abs,1
H2BK120ac,0.3477033,H2BK20ac,mean_abs,2
H4K91ac,0.197429,H2BK20ac,mean_abs,3
H3K18ac,0.11173605,H2BK20ac,mean_abs,4
H4K8ac,0.05499732,H2BK20ac,mean_abs,5
H2BK12ac,0.03346727,H2BK20ac,mean_abs,6
H3K4ac,0.028669998,H2BK20ac,mean_abs,7
H3K4me3,0.024695028,H2BK20ac,mean_abs,8
H2AZ,0.017902095,H2BK20ac,mean_abs,9
H2AK5ac,0.015554462,H2BK20ac,mean_abs,10
H3K36me3,0.012792465,H2BK20ac,mean_abs,11
H3K23ac,0.012380996,H2BK20ac,mean_abs,12
H4K5ac,0.008576744,H2BK20ac,mean_abs,13
H4K20me1,0.008124851,H2BK20ac,mean_abs,14
H4K16ac,0.0076798773,H2BK20ac,mean_abs,15
H2BK5me1,0.007425246,H2BK20ac,mean_abs,16
H3K4me1,0.0065488513,H2BK20ac,mean_abs,17
H3K14ac,0.006213197,H2BK20ac,mean_abs,18
H3K36ac,0.0057839975,H2BK20ac,mean_abs,19
H3K27ac,0.005351221,H2BK20ac,mean_abs,20
H3K27me1,0.005139782,H2BK20ac,mean_abs,21
H3K9ac,0.003626532,H2BK20ac,mean_abs,22
H2BK5ac,0.0024119515,H2BK20ac,mean_abs,23
H2A.H4R3me2,0.0022199582,H2BK20ac,mean_abs,24
H3K9me1,0.002024442,H2BK20ac,mean_abs,25
H3K79me3,0.0018362086,H2BK20ac,mean_abs,26
H3R2me2,0.0018289165,H2BK20ac,mean_abs,27
H2AK9ac,0.0017816885,H2BK20ac,mean_abs,28
H3K4me2,0.0014865766,H2BK20ac,mean_abs,29
H3K9me3,0.0012533123,H2BK20ac,mean_abs,30
H3K36me1,0.001229407,H2BK20ac,mean_abs,31
H4K20me3,0.0011326673,H2BK20ac,mean_abs,32
H3K9me2,0.0011225616,H2BK20ac,mean_abs,33
H3K79me1,0.0009337633,H2BK20ac,mean_abs,34
H3R2me1,0.00087934115,H2BK20ac,mean_abs,35
H3K27me3,0.0008617688,H2BK20ac,mean_abs,36
H3K79me2,0.0005912249,H2BK20ac,mean_abs,37
H3K27me2,0.0005450727,H2BK20ac,mean_abs,38
