feature,importance,target,method,rank
H4K20me1,3.5336926,H2BK5me1,mean_abs,1
H3K4me3,1.2774637,H2BK5me1,mean_abs,2
H3K4me1,0.6793953,H2BK5me1,mean_abs,3
H3K27me1,0.53950137,H2BK5me1,mean_abs,4
H3R2me1,0.5181132,H2BK5me1,mean_abs,5
H2AZ,0.31329048,H2BK5me1,mean_abs,6
H3K9me1,0.14484073,H2BK5me1,mean_abs,7
H4K16ac,0.07818519,H2BK5me1,mean_abs,8
H4K12ac,0.06854801,H2BK5me1,mean_abs,9
H3K79me3,0.05568799,H2BK5me1,mean_abs,10
H4K20me3,0.054071136,H2BK5me1,mean_abs,11
H3K36me1,0.05004023,H2BK5me1,mean_abs,12
H3K36me3,0.044566795,H2BK5me1,mean_abs,13
H2A.H4R3me2,0.044130534,H2BK5me1,mean_abs,14
H3R2me2,0.033947796,H2BK5me1,mean_abs,15
H3K79me1,0.031588152,H2BK5me1,mean_abs,16
H3K23ac,0.030240951,H2BK5me1,mean_abs,17
H3K9ac,0.025512366,H2BK5me1,mean_abs,18
H3K27ac,0.024745066,H2BK5me1,mean_abs,19
H3K36ac,0.022121735,H2BK5me1,mean_abs,20
H4K5ac,0.021911258,H2BK5me1,mean_abs,21
H3K4me2,0.02159791,H2BK5me1,mean_abs,22
H2BK5ac,0.019411903,H2BK5me1,mean_abs,23
H2BK20ac,0.015356224,H2BK5me1,mean_abs,24
H4K8ac,0.012250962,H2BK5me1,mean_abs,25
H3K18ac,0.008846829,H2BK5me1,mean_abs,26
H2BK12ac,0.008583612,H2BK5me1,mean_abs,27
H2AK9ac,0.008497677,H2BK5me1,mean_abs,28
H4K91ac,0.008069092,H2BK5me1,mean_abs,29
H3K27me2,0.008065444,H2BK5me1,mean_abs,30
H3K9me3,0.0074894116,H2BK5me1,mean_abs,31
H2BK120ac,0.0063439594,H2BK5me1,mean_abs,32
H2AK5ac,0.005289519,H2BK5me1,mean_abs,33
H3K9me2,0.0052561294,H2BK5me1,mean_abs,34
H3K4ac,0.0051206895,H2BK5me1,mean_abs,35
H3K27me3,0.0030423389,H2BK5me1,mean_abs,36
H3K14ac,0.0030183345,H2BK5me1,mean_abs,37
H3K79me2,0.0029011543,H2BK5me1,mean_abs,38
