feature,importance,target,method,rank
H3K9me1,3.5967596,H3K4me2,mean_abs,1
H3K4me3,2.5811052,H3K4me2,mean_abs,2
H3K23ac,1.0298519,H3K4me2,mean_abs,3
H3K4me1,0.8727642,H3K4me2,mean_abs,4
H4K5ac,0.18911062,H3K4me2,mean_abs,5
H3K9ac,0.17836626,H3K4me2,mean_abs,6
H2AK5ac,0.15833375,H3K4me2,mean_abs,7
H3K27me1,0.14829595,H3K4me2,mean_abs,8
H2AZ,0.13904993,H3K4me2,mean_abs,9
H4K91ac,0.12757999,H3K4me2,mean_abs,10
H4K20me1,0.10749051,H3K4me2,mean_abs,11
H3K27me2,0.09187832,H3K4me2,mean_abs,12
H2A.H4R3me2,0.0583643,H3K4me2,mean_abs,13
H3K27ac,0.05339744,H3K4me2,mean_abs,14
H3K14ac,0.048275884,H3K4me2,mean_abs,15
H2BK5me1,0.04678678,H3K4me2,mean_abs,16
H4K20me3,0.044063788,H3K4me2,mean_abs,17
H3K36me1,0.040958688,H3K4me2,mean_abs,18
H3K4ac,0.02257462,H3K4me2,mean_abs,19
H3K36me3,0.01864403,H3K4me2,mean_abs,20
H4K16ac,0.017990598,H3K4me2,mean_abs,21
H4K8ac,0.017092906,H3K4me2,mean_abs,22
H2BK120ac,0.013753897,H3K4me2,mean_abs,23
H3K79me3,0.013341312,H3K4me2,mean_abs,24
H3K18ac,0.013070424,H3K4me2,mean_abs,25
H4K12ac,0.012716957,H3K4me2,mean_abs,26
H3K36ac,0.011792861,H3K4me2,mean_abs,27
H3K9me2,0.010955514,H3K4me2,mean_abs,28
H2BK20ac,0.010817161,H3K4me2,mean_abs,29
H2BK5ac,0.010689459,H3K4me2,mean_abs,30
H3R2me1,0.010077615,H3K4me2,mean_abs,31
H2AK9ac,0.009175457,H3K4me2,mean_abs,32
H3K27me3,0.008770417,H3K4me2,mean_abs,33
H3K79me2,0.008278849,H3K4me2,mean_abs,34
H2BK12ac,0.007921602,H3K4me2,mean_abs,35
H3R2me2,0.0065452787,H3K4me2,mean_abs,36
H3K79me1,0.006054301,H3K4me2,mean_abs,37
H3K9me3,0.0027108316,H3K4me2,mean_abs,38
