feature,importance,target,method,rank
H3K27ac,1.6227673,H3K9ac,mean_abs,1
H3K4me3,1.5983601,H3K9ac,mean_abs,2
H2BK5ac,0.46595275,H3K9ac,mean_abs,3
H2BK120ac,0.33336908,H3K9ac,mean_abs,4
H3K4me1,0.21430412,H3K9ac,mean_abs,5
H4K91ac,0.10682996,H3K9ac,mean_abs,6
H3K4ac,0.06945564,H3K9ac,mean_abs,7
H4K16ac,0.06525485,H3K9ac,mean_abs,8
H3K9me1,0.060074084,H3K9ac,mean_abs,9
H4K5ac,0.043184333,H3K9ac,mean_abs,10
H3K36ac,0.0431204,H3K9ac,mean_abs,11
H3K18ac,0.042633597,H3K9ac,mean_abs,12
H4K8ac,0.033294726,H3K9ac,mean_abs,13
H2AZ,0.026718345,H3K9ac,mean_abs,14
H2AK9ac,0.023135984,H3K9ac,mean_abs,15
H2BK12ac,0.0190948,H3K9ac,mean_abs,16
H3K4me2,0.015253191,H3K9ac,mean_abs,17
H4K12ac,0.011596688,H3K9ac,mean_abs,18
H2BK5me1,0.010709923,H3K9ac,mean_abs,19
H3K23ac,0.009768983,H3K9ac,mean_abs,20
H3K36me3,0.008791753,H3K9ac,mean_abs,21
H2AK5ac,0.0069069616,H3K9ac,mean_abs,22
H3R2me1,0.005774466,H3K9ac,mean_abs,23
H2BK20ac,0.0049995496,H3K9ac,mean_abs,24
H3K14ac,0.004819012,H3K9ac,mean_abs,25
H3K79me3,0.0042766947,H3K9ac,mean_abs,26
H3K27me1,0.0042423466,H3K9ac,mean_abs,27
H3K36me1,0.0039014167,H3K9ac,mean_abs,28
H2A.H4R3me2,0.0035680488,H3K9ac,mean_abs,29
H3K9me2,0.00326413,H3K9ac,mean_abs,30
H4K20me1,0.0022974738,H3K9ac,mean_abs,31
H3K9me3,0.0021462424,H3K9ac,mean_abs,32
H3K79me1,0.0021100896,H3K9ac,mean_abs,33
H4K20me3,0.0018421662,H3K9ac,mean_abs,34
H3K27me2,0.0017447537,H3K9ac,mean_abs,35
H3R2me2,0.0017416443,H3K9ac,mean_abs,36
H3K27me3,0.001269955,H3K9ac,mean_abs,37
H3K79me2,0.00064152037,H3K9ac,mean_abs,38
