feature,importance,target,method,rank
H3R2me1,0.10163194,H3R2me2,mean_abs,1
H2BK5me1,0.10155641,H3R2me2,mean_abs,2
H2A.H4R3me2,0.06606815,H3R2me2,mean_abs,3
H4K20me3,0.030763213,H3R2me2,mean_abs,4
H4K20me1,0.02737801,H3R2me2,mean_abs,5
H3K9me1,0.021931255,H3R2me2,mean_abs,6
H3K4me1,0.015811723,H3R2me2,mean_abs,7
H3K79me3,0.013249095,H3R2me2,mean_abs,8
H3K4me3,0.010584149,H3R2me2,mean_abs,9
H4K12ac,0.005440948,H3R2me2,mean_abs,10
H3K79me1,0.004902482,H3R2me2,mean_abs,11
H3K18ac,0.004255845,H3R2me2,mean_abs,12
H4K16ac,0.004154264,H3R2me2,mean_abs,13
H3K9me3,0.0040997667,H3R2me2,mean_abs,14
H2AZ,0.0039201495,H3R2me2,mean_abs,15
H2AK9ac,0.003307104,H3R2me2,mean_abs,16
H3K27me3,0.0032343487,H3R2me2,mean_abs,17
H3K4me2,0.0032202508,H3R2me2,mean_abs,18
H3K36me3,0.003080045,H3R2me2,mean_abs,19
H3K9me2,0.0030745878,H3R2me2,mean_abs,20
H2AK5ac,0.0029688927,H3R2me2,mean_abs,21
H3K36me1,0.0024675392,H3R2me2,mean_abs,22
H2BK5ac,0.002319155,H3R2me2,mean_abs,23
H3K79me2,0.002196867,H3R2me2,mean_abs,24
H2BK120ac,0.001836438,H3R2me2,mean_abs,25
H2BK12ac,0.0017424949,H3R2me2,mean_abs,26
H3K36ac,0.0015081813,H3R2me2,mean_abs,27
H3K9ac,0.0014846897,H3R2me2,mean_abs,28
H4K8ac,0.0013260866,H3R2me2,mean_abs,29
H3K27me1,0.0012211003,H3R2me2,mean_abs,30
H3K27ac,0.0011457467,H3R2me2,mean_abs,31
H2BK20ac,0.0011316442,H3R2me2,mean_abs,32
H4K91ac,0.0010801314,H3R2me2,mean_abs,33
H3K27me2,0.0009922746,H3R2me2,mean_abs,34
H4K5ac,0.00090693624,H3R2me2,mean_abs,35
H3K14ac,0.0008696032,H3R2me2,mean_abs,36
H3K4ac,0.0007730487,H3R2me2,mean_abs,37
H3K23ac,0.00070638675,H3R2me2,mean_abs,38
