feature,mean_importance,std_importance,min_importance,max_importance,n_targets
H3K4me3,0.38694882,0.7656136,0.002365577,3.5243168,38
H3K9ac,0.3608695,1.8051242,0.00024110821,11.146777,38
H2BK5me1,0.307263,1.0476813,0.00021714694,6.075146,38
H2AZ,0.2908543,0.9953829,0.001164667,5.9239635,38
H2BK120ac,0.28380883,0.5735217,0.00038440138,2.606794,38
H3K4me1,0.27540293,0.96227914,0.0003424276,5.8941264,38
H3K9me1,0.2511992,0.72820127,0.00046188402,3.5967596,38
H3K18ac,0.19802614,0.36360788,0.00016684766,1.3931684,38
H2BK20ac,0.19424014,0.6044287,0.0002512546,3.525493,38
H3K4me2,0.19165988,0.5622536,0.0009184327,2.476678,38
H3K27ac,0.189229,0.4147879,0.000368769,1.6668562,38
H4K20me1,0.18886045,0.59034365,0.0017871775,3.5336926,38
H4K91ac,0.1438982,0.3097043,0.0010801314,1.4465898,38
H4K12ac,0.13428792,0.49671084,0.00016270825,3.061257,38
H3K4ac,0.121544786,0.49011028,0.00012311328,3.0309474,38
H4K8ac,0.11269091,0.3052633,0.00034123342,1.3878081,38
H3K27me1,0.11268722,0.23456866,0.0005601711,1.1062821,38
H2BK5ac,0.11118691,0.46994564,0.00045165225,2.8877046,38
H4K5ac,0.10807444,0.24415408,0.00065906456,1.2751004,38
H2AK5ac,0.06626778,0.19481069,0.00051060173,1.1881723,38
H3K23ac,0.06435776,0.17291503,0.0004910805,1.0298519,38
H3K79me3,0.060302928,0.15822671,0.00051388703,0.6636164,38
H2BK12ac,0.05066528,0.11066068,0.00033006963,0.49484414,38
H3K36ac,0.04046247,0.0936191,0.0003784536,0.4186624,38
H3R2me1,0.035013925,0.08679918,0.00048085736,0.5181132,38
H4K20me3,0.029664272,0.06043202,0.0006887855,0.34107852,38
H3K27me2,0.029068347,0.061941545,0.0005450727,0.3575313,38
H3K36me3,0.02774721,0.044143464,0.0013154269,0.195737,38
H4K16ac,0.025903285,0.075688414,0.00031788443,0.4662088,38
H3K9me3,0.02497904,0.08822683,0.0006555217,0.5285412,38
H2A.H4R3me2,0.015680967,0.018904291,0.001660224,0.074342825,38
H3K9me2,0.011508071,0.027941814,0.0010868844,0.17256019,38
H2AK9ac,0.011297573,0.024793398,0.0005652042,0.14442003,38
H3K14ac,0.011262095,0.019497609,0.0004125733,0.10683462,38
H3K36me1,0.010571323,0.017108837,0.0010328258,0.09187596,38
H3R2me2,0.008234485,0.013998238,0.00053115963,0.05958666,38
H3K27me3,0.008081516,0.012318907,0.00081533997,0.0571697,38
H3K79me1,0.0077504986,0.020322045,0.000625039,0.12530108,38
H3K79me2,0.001832707,0.0014576063,0.0003004427,0.008278849,38
