feature,importance,target,method,rank
H3K14ac,0.22976348,H2AK5ac,mean_abs,1
H4K8ac,0.06599348,H2AK5ac,mean_abs,2
H4K5ac,0.06339858,H2AK5ac,mean_abs,3
H3K23ac,0.062207136,H2AK5ac,mean_abs,4
H3K18ac,0.061650224,H2AK5ac,mean_abs,5
H4R3me2s,0.042314023,H2AK5ac,mean_abs,6
H4K12ac,0.021685252,H2AK5ac,mean_abs,7
Htz1,0.019292928,H2AK5ac,mean_abs,8
H3K4ac,0.013240856,H2AK5ac,mean_abs,9
H3K4me3,0.007864646,H2AK5ac,mean_abs,10
H4K20me,0.0078057996,H2AK5ac,mean_abs,11
H3K36me3,0.003823619,H2AK5ac,mean_abs,12
H3K4me,0.0033560528,H2AK5ac,mean_abs,13
H3K4me2,0.0030271315,H2AK5ac,mean_abs,14
H2AS129ph,0.0029907962,H2AK5ac,mean_abs,15
H3K36me2,0.0025190157,H2AK5ac,mean_abs,16
H3K9ac,0.0024916448,H2AK5ac,mean_abs,17
H3K27ac,0.0024168964,H2AK5ac,mean_abs,18
H4R3me,0.0017007468,H2AK5ac,mean_abs,19
H3K36me,0.0012994588,H2AK5ac,mean_abs,20
H3S10ph,0.0011954793,H2AK5ac,mean_abs,21
H3K56ac,0.0011498593,H2AK5ac,mean_abs,22
H4K16ac,0.0010790618,H2AK5ac,mean_abs,23
H3K79me3,0.0010337367,H2AK5ac,mean_abs,24
H3K79me,0.00068277435,H2AK5ac,mean_abs,25
