feature,importance,target,method,rank
H3K4me3,0.19941483,H2AS129ph,mean_abs,1
H3K36me3,0.09948523,H2AS129ph,mean_abs,2
H4R3me2s,0.075526096,H2AS129ph,mean_abs,3
H3K79me,0.050358694,H2AS129ph,mean_abs,4
H3K18ac,0.044304766,H2AS129ph,mean_abs,5
H3K4me,0.038052596,H2AS129ph,mean_abs,6
Htz1,0.03691386,H2AS129ph,mean_abs,7
H3K4me2,0.036484234,H2AS129ph,mean_abs,8
H3K79me3,0.028196756,H2AS129ph,mean_abs,9
H3K36me,0.021238737,H2AS129ph,mean_abs,10
H3K56ac,0.018729009,H2AS129ph,mean_abs,11
H3K27ac,0.017099015,H2AS129ph,mean_abs,12
H4K12ac,0.015437397,H2AS129ph,mean_abs,13
H3K36me2,0.014776463,H2AS129ph,mean_abs,14
H3K23ac,0.0118011385,H2AS129ph,mean_abs,15
H2AK5ac,0.0076746275,H2AS129ph,mean_abs,16
H4R3me,0.0056428495,H2AS129ph,mean_abs,17
H4K16ac,0.00520551,H2AS129ph,mean_abs,18
H4K5ac,0.0050718887,H2AS129ph,mean_abs,19
H3S10ph,0.00494531,H2AS129ph,mean_abs,20
H4K8ac,0.004858951,H2AS129ph,mean_abs,21
H3K9ac,0.004723093,H2AS129ph,mean_abs,22
H3K14ac,0.0027499273,H2AS129ph,mean_abs,23
H4K20me,0.0020392565,H2AS129ph,mean_abs,24
H3K4ac,0.0013991966,H2AS129ph,mean_abs,25
