feature,importance,target,method,rank
H3K14ac,0.4756748,H3K18ac,mean_abs,1
H3K9ac,0.17076437,H3K18ac,mean_abs,2
H3K23ac,0.118315026,H3K18ac,mean_abs,3
H3K4me3,0.089484744,H3K18ac,mean_abs,4
H3K4ac,0.04334922,H3K18ac,mean_abs,5
H4R3me2s,0.027588822,H3K18ac,mean_abs,6
H3K4me,0.025621828,H3K18ac,mean_abs,7
H3K56ac,0.018335285,H3K18ac,mean_abs,8
H2AS129ph,0.014077243,H3K18ac,mean_abs,9
H4K20me,0.013332571,H3K18ac,mean_abs,10
H3K4me2,0.010848414,H3K18ac,mean_abs,11
H4K16ac,0.009223097,H3K18ac,mean_abs,12
H3K27ac,0.004818325,H3K18ac,mean_abs,13
H3K79me3,0.004121268,H3K18ac,mean_abs,14
H4K8ac,0.0037223028,H3K18ac,mean_abs,15
H3K36me,0.003696512,H3K18ac,mean_abs,16
H3K36me3,0.0030235334,H3K18ac,mean_abs,17
H2AK5ac,0.0024772696,H3K18ac,mean_abs,18
Htz1,0.002135819,H3K18ac,mean_abs,19
H4K5ac,0.0011621314,H3K18ac,mean_abs,20
H3K36me2,0.0010968035,H3K18ac,mean_abs,21
H4K12ac,0.00092018576,H3K18ac,mean_abs,22
H4R3me,0.00073442364,H3K18ac,mean_abs,23
H3S10ph,0.0005426026,H3K18ac,mean_abs,24
H3K79me,0.0005031634,H3K18ac,mean_abs,25
