feature,importance,target,method,rank
H3K36me,0.22235745,H3K36me2,mean_abs,1
H3K4me2,0.20332913,H3K36me2,mean_abs,2
H3K36me3,0.17553423,H3K36me2,mean_abs,3
H4K20me,0.03411114,H3K36me2,mean_abs,4
H3K4me3,0.025604974,H3K36me2,mean_abs,5
H3K79me,0.017085595,H3K36me2,mean_abs,6
H3K14ac,0.016369812,H3K36me2,mean_abs,7
H3K4me,0.013115864,H3K36me2,mean_abs,8
H4K16ac,0.010936864,H3K36me2,mean_abs,9
H3K79me3,0.01004985,H3K36me2,mean_abs,10
H3K4ac,0.0048733344,H3K36me2,mean_abs,11
H4R3me2s,0.0047090924,H3K36me2,mean_abs,12
Htz1,0.003746442,H3K36me2,mean_abs,13
H2AS129ph,0.003635263,H3K36me2,mean_abs,14
H4K8ac,0.0033599199,H3K36me2,mean_abs,15
H2AK5ac,0.0031424852,H3K36me2,mean_abs,16
H3K18ac,0.0028222604,H3K36me2,mean_abs,17
H3K23ac,0.002771802,H3K36me2,mean_abs,18
H4K5ac,0.0010919585,H3K36me2,mean_abs,19
H3K9ac,0.00094392186,H3K36me2,mean_abs,20
H4K12ac,0.0008751596,H3K36me2,mean_abs,21
H3K56ac,0.0008497284,H3K36me2,mean_abs,22
H3K27ac,0.0007150741,H3K36me2,mean_abs,23
H4R3me,0.000599346,H3K36me2,mean_abs,24
H3S10ph,0.00050906,H3K36me2,mean_abs,25
