feature,importance,target,method,rank
H3K79me3,0.21505107,H3K79me,mean_abs,1
H3K36me,0.11481886,H3K79me,mean_abs,2
H4K16ac,0.05414907,H3K79me,mean_abs,3
H3K56ac,0.036321126,H3K79me,mean_abs,4
H3K36me3,0.0317793,H3K79me,mean_abs,5
H3K4me,0.022914646,H3K79me,mean_abs,6
H4K20me,0.0212257,H3K79me,mean_abs,7
H3K36me2,0.019752994,H3K79me,mean_abs,8
H3K27ac,0.009566878,H3K79me,mean_abs,9
H4R3me,0.009472755,H3K79me,mean_abs,10
H3K4ac,0.0094532035,H3K79me,mean_abs,11
Htz1,0.008719183,H3K79me,mean_abs,12
H2AS129ph,0.008190547,H3K79me,mean_abs,13
H4R3me2s,0.0063639795,H3K79me,mean_abs,14
H3K4me3,0.0043979213,H3K79me,mean_abs,15
H3K9ac,0.004187407,H3K79me,mean_abs,16
H3K4me2,0.0041641006,H3K79me,mean_abs,17
H3K14ac,0.002981139,H3K79me,mean_abs,18
H4K5ac,0.0018664863,H3K79me,mean_abs,19
H4K8ac,0.0015311339,H3K79me,mean_abs,20
H3S10ph,0.0012683241,H3K79me,mean_abs,21
H4K12ac,0.0010389816,H3K79me,mean_abs,22
H3K23ac,0.0010147992,H3K79me,mean_abs,23
H3K18ac,0.0007929434,H3K79me,mean_abs,24
H2AK5ac,0.00078851567,H3K79me,mean_abs,25
