feature,importance,target,method,rank
H3K4me2,0.068358704,H3S10ph,mean_abs,1
H3K4me3,0.027784424,H3S10ph,mean_abs,2
H3K36me3,0.02600203,H3S10ph,mean_abs,3
H2AS129ph,0.0132761095,H3S10ph,mean_abs,4
H3K4me,0.013167342,H3S10ph,mean_abs,5
H4K8ac,0.0120519465,H3S10ph,mean_abs,6
H3K14ac,0.011318556,H3S10ph,mean_abs,7
H3K79me,0.010943359,H3S10ph,mean_abs,8
H3K56ac,0.009683912,H3S10ph,mean_abs,9
H3K18ac,0.006779677,H3S10ph,mean_abs,10
H4K16ac,0.006484988,H3S10ph,mean_abs,11
H3K79me3,0.005288236,H3S10ph,mean_abs,12
H4K5ac,0.0051930095,H3S10ph,mean_abs,13
H3K9ac,0.0048627085,H3S10ph,mean_abs,14
H4K20me,0.0039347676,H3S10ph,mean_abs,15
H3K36me,0.0039031138,H3S10ph,mean_abs,16
H3K27ac,0.0035460254,H3S10ph,mean_abs,17
H4R3me2s,0.003289661,H3S10ph,mean_abs,18
H4K12ac,0.0030908461,H3S10ph,mean_abs,19
H3K23ac,0.0029172332,H3S10ph,mean_abs,20
H3K36me2,0.0028546029,H3S10ph,mean_abs,21
H2AK5ac,0.0019668327,H3S10ph,mean_abs,22
Htz1,0.0019621216,H3S10ph,mean_abs,23
H4R3me,0.0015994143,H3S10ph,mean_abs,24
H3K4ac,0.0015554706,H3S10ph,mean_abs,25
