feature,importance,target,method,rank
H3K36me3,0.18775687,H4R3me2s,mean_abs,1
H3K79me3,0.11117132,H4R3me2s,mean_abs,2
H4K16ac,0.10673798,H4R3me2s,mean_abs,3
H2AK5ac,0.08656046,H4R3me2s,mean_abs,4
H4R3me,0.06335277,H4R3me2s,mean_abs,5
H4K20me,0.04349536,H4R3me2s,mean_abs,6
H3K18ac,0.0358221,H4R3me2s,mean_abs,7
H4K8ac,0.023041362,H4R3me2s,mean_abs,8
H2AS129ph,0.018350761,H4R3me2s,mean_abs,9
H4K5ac,0.014660882,H4R3me2s,mean_abs,10
H3K9ac,0.010861103,H4R3me2s,mean_abs,11
H3K36me,0.008477007,H4R3me2s,mean_abs,12
H3K4ac,0.007214546,H4R3me2s,mean_abs,13
H4K12ac,0.0066109165,H4R3me2s,mean_abs,14
H3K56ac,0.0033955711,H4R3me2s,mean_abs,15
H3K4me3,0.0027094723,H4R3me2s,mean_abs,16
H3K14ac,0.0026156732,H4R3me2s,mean_abs,17
H3K36me2,0.0019766341,H4R3me2s,mean_abs,18
H3K4me2,0.0019120906,H4R3me2s,mean_abs,19
H3K27ac,0.0017396392,H4R3me2s,mean_abs,20
H3K4me,0.0011256225,H4R3me2s,mean_abs,21
H3S10ph,0.0008798275,H4R3me2s,mean_abs,22
Htz1,0.00081142463,H4R3me2s,mean_abs,23
H3K23ac,0.0007749611,H4R3me2s,mean_abs,24
H3K79me,0.00057071145,H4R3me2s,mean_abs,25
