feature,importance,target,method,rank
H4R3me2s,0.18032697,H4R3me,mean_abs,1
H3K36me3,0.062605314,H4R3me,mean_abs,2
H3K79me3,0.0343519,H4R3me,mean_abs,3
H4K5ac,0.014174852,H4R3me,mean_abs,4
H4K16ac,0.0104387365,H4R3me,mean_abs,5
H3K79me,0.010082027,H4R3me,mean_abs,6
H4K8ac,0.009598321,H4R3me,mean_abs,7
H4K20me,0.0042263814,H4R3me,mean_abs,8
H3K4me3,0.0039314963,H4R3me,mean_abs,9
H4K12ac,0.0037195738,H4R3me,mean_abs,10
H3K36me,0.0036202297,H4R3me,mean_abs,11
H3K56ac,0.0033182544,H4R3me,mean_abs,12
H2AK5ac,0.003061874,H4R3me,mean_abs,13
H3K4me,0.002724051,H4R3me,mean_abs,14
H2AS129ph,0.0026655567,H4R3me,mean_abs,15
H3K18ac,0.002595619,H4R3me,mean_abs,16
H3K4me2,0.0024446147,H4R3me,mean_abs,17
H3K14ac,0.0024236739,H4R3me,mean_abs,18
H3K36me2,0.0021587836,H4R3me,mean_abs,19
H3K9ac,0.0018416371,H4R3me,mean_abs,20
H3K27ac,0.001604764,H4R3me,mean_abs,21
Htz1,0.0011726733,H4R3me,mean_abs,22
H3S10ph,0.0010372793,H4R3me,mean_abs,23
H3K4ac,0.0008882207,H4R3me,mean_abs,24
H3K23ac,0.00061602326,H4R3me,mean_abs,25
