feature,importance,target,method,rank
H3K36me3,0.18970664,Htz1,mean_abs,1
H2AK5ac,0.10437339,Htz1,mean_abs,2
H3K36me,0.028869534,Htz1,mean_abs,3
H3K79me,0.025982365,Htz1,mean_abs,4
H2AS129ph,0.02171006,Htz1,mean_abs,5
H4K8ac,0.019164389,Htz1,mean_abs,6
H3K36me2,0.013825421,Htz1,mean_abs,7
H3K14ac,0.012111557,Htz1,mean_abs,8
H4K5ac,0.011461779,Htz1,mean_abs,9
H3K4me,0.006100417,Htz1,mean_abs,10
H4R3me2s,0.005715973,Htz1,mean_abs,11
H4K12ac,0.005438912,Htz1,mean_abs,12
H3K4me2,0.0052979877,Htz1,mean_abs,13
H3K79me3,0.0050519984,Htz1,mean_abs,14
H3K4me3,0.0048196046,Htz1,mean_abs,15
H3K23ac,0.004005843,Htz1,mean_abs,16
H3K9ac,0.0037923593,Htz1,mean_abs,17
H3K27ac,0.003248523,Htz1,mean_abs,18
H3K18ac,0.0031064348,Htz1,mean_abs,19
H3K56ac,0.0027190917,Htz1,mean_abs,20
H4K20me,0.002393312,Htz1,mean_abs,21
H4K16ac,0.0018752475,Htz1,mean_abs,22
H3K4ac,0.0013930214,Htz1,mean_abs,23
H3S10ph,0.0010661134,Htz1,mean_abs,24
H4R3me,0.0008133407,Htz1,mean_abs,25
