triplet_name,feature1,feature2,feature3,bin_10,bin_50,bin_100,bin_200,bin_300,bin_400,bin_500
triplet_1_H2AK5ac_vs_H2BK12ac_vs_H3K4me2,H2AK5ac,H2BK12ac,H3K4me2,4.4066221274421356,9.415100342460052,11.814955281307352,13.658061147124227,14.594026699598784,15.006874292149222,15.319546019310726
triplet_2_H2A.H4R3me2_vs_H4K5ac_vs_H3K14ac,H2A.H4R3me2,H4K5ac,H3K14ac,2.429212477108437,6.507187925894687,8.811008399756508,10.947621126290054,11.930190740178746,12.545838964200135,13.010918347772813
triplet_3_H3K4me1_vs_H2AZ_vs_H3K4me2,H3K4me1,H2AZ,H3K4me2,6.157035853602894,11.963886515244832,13.999946300133065,15.506737395841764,16.068137731673495,16.405209145594654,16.59727840648388
triplet_4_H3R2me1_vs_H3R2me2_vs_H2AZ,H3R2me1,H3R2me2,H2AZ,2.249480854116203,7.187503970935475,9.254400623495846,10.998768829066336,11.815419302580763,12.430061789489915,12.791715531007917
triplet_5_H3K14ac_vs_H2BK12ac_vs_H3K36me3,H3K14ac,H2BK12ac,H3K36me3,1.9492720419355154,7.685758108203647,9.845794179650543,11.582404104650724,12.676076850301653,13.154938020231862,13.490071608070465
triplet_6_H3K9me3_vs_H2BK5ac_vs_H3K79me2,H3K9me3,H2BK5ac,H3K79me2,1.2544406395560532,4.475161583386283,5.461557566329422,6.3456034105761,6.861463012501465,7.1995958338618085,7.491905408462385
triplet_7_H3K36me3_vs_H3K4me2_vs_H4K8ac,H3K36me3,H3K4me2,H4K8ac,4.517214034444283,10.325879378869391,12.695603427860815,14.63248453488865,15.490800992181349,15.972975780512755,16.219347017600633
triplet_8_H3K27me1_vs_H4K20me3_vs_H3K36me1,H3K27me1,H4K20me3,H3K36me1,1.6480102355667854,6.799574801771022,8.597600125513306,10.615862543685383,11.648109636680092,12.200298646002917,12.663188073400276
triplet_9_H3K36ac_vs_H3K27me1_vs_H2AK9ac,H3K36ac,H3K27me1,H2AK9ac,2.6162467037517754,7.732120849897932,9.870794493774206,11.783682653488333,12.795166465411562,13.362177605269821,13.762618004810006
triplet_10_H3K27me3_vs_H3K4me1_vs_H3K9me1,H3K27me3,H3K4me1,H3K9me1,4.480698644287175,9.864059854947431,12.225744987134386,14.184650855013544,15.070932760678856,15.595786658044695,15.937632513104493
triplet_11_H2BK5me1_vs_H4K5ac_vs_H3K23ac,H2BK5me1,H4K5ac,H3K23ac,3.742877645679953,9.494256939512331,11.783530932431969,13.783468109271146,14.632187960363998,15.232373202106956,15.544034375776658
triplet_12_H4K91ac_vs_H3K18ac_vs_H2AK5ac,H4K91ac,H3K18ac,H2AK5ac,4.615397199302423,9.48326062041059,11.810364213658032,13.613457560732021,14.44364041493734,14.757342511282982,15.045008211092677
triplet_13_H3K9me3_vs_H3K79me1_vs_H3K27me2,H3K9me3,H3K79me1,H3K27me2,0.287398716826185,3.996700973776881,5.406052052780511,6.874725415866005,7.543782076356988,8.094096410777293,8.43114017691711
triplet_14_H3K4ac_vs_H3K4me3_vs_H3K27ac,H3K4ac,H3K4me3,H3K27ac,4.289162876095897,9.487222709624563,12.048587583403638,13.978703139325424,14.837790221218619,15.236096974732702,15.567878822944525
triplet_15_H3K27me2_vs_H3K27me1_vs_H2A.H4R3me2,H3K27me2,H3K27me1,H2A.H4R3me2,1.43902840872844,6.062665470285565,8.264491650768306,10.032009691508733,10.820598967676139,11.474675251695704,11.803315165964182
