original_triplet                     , mmi_value          , total_correlation_value
"('H3K4me3', 'H3K18ac', 'H3K4me1')"  , -0.6198898223090001,                1.23443
"('H3K9me1', 'H4K20me1', 'H3K4me1')" , -0.6199303736660013,                0.933221
"('H3K4me3', 'H3K9me1', 'H3K4me2')"  , -0.6234410307126552,                1.339134
"('H3K4me3', 'H4K12ac', 'H3K4me2')"  , -0.6354278307781911,                1.052735
"('H3K4me3', 'H4K12ac', 'H3K4me1')"  , -0.6364216535046747,                1.092083
"('H4K20me1', 'H4K91ac', 'H3K4me1')" , -0.6383064048040143,                0.901991
"('H3K4me1', 'H4K20me1', 'H2BK5me1')", -0.6388595315412786,                1.444675
"('H3K9me1', 'H4K91ac', 'H3K4me3')"  , -0.6389177509482149,                0.934406
"('H3K9me1', 'H4K20me1', 'H3K4me3')" , -0.6392965262748191,                0.930611
"('H3K4me3', 'H3K27ac', 'H3K4me2')"  , -0.6408621144127284,                1.333431
"('H3K4me3', 'H3K27ac', 'H3K4me1')"  , -0.6415234105661725,                1.361551
"('H3K4me1', 'H3K4me2', 'H2BK5me1')" , -0.6486602202708625,                1.019931
"('H3K4me2', 'H3K27ac', 'H3K4me1')"  , -0.6494488749625766,                0.952838
"('H3K4me3', 'H4K20me1', 'H3K4me2')" , -0.7264203581009774,                1.1482
"('H3K4me3', 'H3K9me1', 'H3K4me1')"  , -0.7267850511537315,                1.22677
"('H3K4me2', 'H4K91ac', 'H3K4me1')"  , -0.7319725140173823,                0.992577
"('H3K4me3', 'H4K20me1', 'H3K4me1')" , -0.7415859061164891,                1.242353
"('H3K4me2', 'H4K20me1', 'H3K4me1')" , -0.7745314830689214,                1.036154
"('H3K4me3', 'H4K91ac', 'H3K4me1')"  , -0.7876950716582378,                1.31103
"('H3K4me3', 'H4K91ac', 'H3K4me2')"  , -0.7989695265680155,                1.249102
"('H3K4me2', 'H3K4me3', 'H3K4me1')"  , -0.9174412333604512,                1.512552
