sorted_triplet,total_correlation_value,mmi_value
"('H2BK120ac', 'H2BK20ac', 'H4K12ac')",2.700763673201692,0.509561197743901
"('H2BK20ac', 'H3K18ac', 'H4K12ac')",2.639793745947335,0.4320577417932654
"('H2BK20ac', 'H4K12ac', 'H4K91ac')",2.6316283864213634,0.405520284662666
"('H2BK20ac', 'H3K4ac', 'H4K12ac')",2.594623117849016,0.4519446635134674
"('H2BK20ac', 'H3K27ac', 'H4K12ac')",2.5305848039303385,0.290799827597489
"('H2BK20ac', 'H3K36ac', 'H4K12ac')",2.519303439610676,0.365626862632407
"('H2BK12ac', 'H2BK20ac', 'H4K12ac')",2.501241034807718,0.3918892088555559
"('H2BK20ac', 'H2BK5ac', 'H4K12ac')",2.45551832012074,0.2977719389992295
"('H2BK20ac', 'H4K12ac', 'H4K5ac')",2.415972285623365,0.2409043640230699
"('H2BK20ac', 'H3K9ac', 'H4K12ac')",2.327084494525659,0.13697674179536
"('H2BK20ac', 'H4K12ac', 'H4K8ac')",2.319688550495835,0.1449793331802134
"('H2BK20ac', 'H3K4me3', 'H4K12ac')",2.243195496949369,-0.0503289670260045
"('H2AZ', 'H2BK20ac', 'H4K12ac')",2.1898362644653915,0.0157637729892883
"('H2BK20ac', 'H4K12ac', 'H4K16ac')",2.1642999918507986,0.0987117025822055
"('H2BK20ac', 'H4K12ac', 'H4K20me1')",2.145548143100488,0.0234632608624725
"('H2BK20ac', 'H3K4me2', 'H4K12ac')",2.11429246907624,-0.1226890463951981
"('H2BK20ac', 'H3K4me1', 'H4K12ac')",2.0973548841924643,-0.1235615308070965
"('H2BK20ac', 'H2BK5me1', 'H4K12ac')",2.0904423163773806,-0.002857490503656
"('H2AK9ac', 'H2BK20ac', 'H4K12ac')",2.060632941052287,0.0618493608552341
"('H2AK5ac', 'H2BK20ac', 'H4K12ac')",2.0546053412390126,0.0411649941897902
"('H2BK20ac', 'H3K9me1', 'H4K12ac')",2.048342174324583,-0.0931256073139241
"('H2BK20ac', 'H3K36me3', 'H4K12ac')",2.0095341051320137,0.0014539908278479
