sorted_triplet                     , total_correlation_value, mmi_value
"('H3K14ac', 'H3K18ac', 'H3K23ac')",3.124948961,1.118772981
"('H3K4ac', 'H3K56ac', 'H3K9ac')  ",3.119902312,1.199159943
"('H3K14ac', 'H3K18ac', 'H3K4ac') ",3.03813325,1.011684579
"('H3K14ac', 'H3K23ac', 'H3K4ac') ",2.999464271,1.095657436
"('H3K18ac', 'H3K23ac', 'H3K4ac') ",2.925829871,0.994680865
"('H3K14ac', 'H3K4ac', 'H3K56ac') ",2.868024424,0.798931152
"('H3K23ac', 'H3K4ac', 'H3K56ac') ",2.855949118,0.898798203
"('H3K18ac', 'H3K4ac', 'H3K9ac')  ",2.853731446,0.836585879
"('H3K14ac', 'H3K4ac', 'H3K9ac')  ",2.851882487,0.668443717
"('H3K18ac', 'H3K4ac', 'H3K56ac') ",2.835022466,0.893407911
"('H3K23ac', 'H3K4ac', 'H3K9ac')  ",2.814534823,0.869715998
"('H3K14ac', 'H3K18ac', 'H3K4me3')",2.739732965,0.668052
"('H3K14ac', 'H3K23ac', 'H3K4me3')",2.678054771,0.452794621
"('H3K18ac', 'H3K56ac', 'H3K9ac') ",2.649017109,0.819153984
"('H3K14ac', 'H3K4ac', 'H3K4me3') ",2.643402084,0.228962632
"('H3K14ac', 'H3K18ac', 'H3K9ac') ",2.631474286,0.643860025
"('H3K14ac', 'H3K18ac', 'H3K56ac')",2.615302791,0.733217202
"('H3K18ac', 'H3K23ac', 'H3K9ac') ",2.583953845,0.71644163
"('H3K23ac', 'H3K56ac', 'H3K9ac') ",2.566780125,0.816786103
"('H3K14ac', 'H3K23ac', 'H3K56ac')",2.537937628,0.777347883
"('H3K18ac', 'H3K23ac', 'H3K56ac')",2.536476517,0.760971767
"('H3K14ac', 'H3K23ac', 'H3K9ac') ",2.52688694,0.682829444
"('H2AK5ac', 'H3K14ac', 'H3K18ac')",2.507626035,0.639700866
