,H3K18ac_H2AS129ph,H3K4me3_H3K79me,H3K4me3_H3K79me3,H3K4me3_H3K36me3,H3K4me3_H2AS129ph,H3K4me2_H3K4me,H3K4me2_H4K20me,H3K4me2_H3K79me3,H3K4me2_H3K36me3,Htz1_H2AS129ph,H3K79me_H3K4me,H3K79me_H3K36me2,H3K79me_H3K36me3,H3K79me_H2AS129ph,H3S10ph_H3K36me3,H3K4me_H4K16ac,H3K4me_H3K79me3,H3K4me_H3K36me3,H3K4me_H4R3me2s,H4K20me_H3K36me3,H3K36me_H3K36me3,H3K36me2_H3K79me3,H3K36me2_H3K36me3,H3K36me2_H4R3me2s,H3K36me2_H2AS129ph,H4K16ac_H3K79me3,H4K16ac_H3K36me3,H4K16ac_H4R3me2s,H3K79me3_H3K36me3,H3K79me3_H4R3me2s,H3K79me3_H2AS129ph,H3K36me3_H2AS129ph,H4R3me2s_H2AS129ph
H4K5ac,-0.308823188052429,,,-0.3239834434930948,-0.3356429140704389,,,,,,,,,,,,,,,,,,,,,,,-0.3043668138484285,,,,-0.3075004686645552,
H4K12ac,-0.3100014500130541,,,,-0.3269566801362167,,,,,,,,,,,,,,,,,,,,,,,-0.3090779966978765,,,,,
H4K8ac,-0.3194722529368743,,,-0.3440573966022278,-0.3369377818705157,,,,,,,,,,,,,,,,,,,,,,,-0.41531987092959,,,,-0.3124770036163227,
H3K4ac,,-0.3510842242715792,-0.3098225739068869,-0.3201234246497133,,-0.373307391971645,,,-0.356874552538903,,,,,,,,,,,,,,,,,,-0.3519698051838276,-0.4821975983680282,,,,-0.3609641782688868,
H3K23ac,,,,,,-0.3056686665246673,,,-0.3061300200979779,,,,,,,,,,,,,,,,,,-0.3125198119941466,-0.3936853561806614,,,,-0.3288882952205085,
H3K14ac,,-0.3723125180155673,,-0.3147582413403516,,-0.431367700081001,,-0.3366465644985048,-0.4100847164344792,,,,,,,-0.3058527036534464,-0.3127637321384995,-0.3284187707990718,,,,,,,,,-0.3368822414068599,-0.4002279679730165,,,,-0.3731342004687228,
H2AK5ac,,,,,,-0.3338104495644796,,,,,,,,,,,,,,,,,,,,,,-0.3102481759563602,,,,-0.3167690415069923,
H3K18ac,,-0.3576079009900006,-0.3861006633109642,-0.3637787386263529,,-0.3873637067703654,,-0.3371237237974007,-0.4075262837956366,-0.3525160317188049,-0.3178186820497863,-0.3181560913204073,-0.3020023955856104,-0.3295401064527041,-0.3330347601781849,,-0.3020172836008417,-0.3439767224057171,,,,-0.3052413066612782,-0.3562106917279983,,-0.3027432450201264,,-0.3741636054996498,-0.3674097816116521,,,-0.3443829734534294,-0.4507704061283135,
H3K9ac,,,,-0.3096053984776414,,,,,-0.3107467168595779,,,,,,,,,,,,,,,,,,-0.30718129868659,-0.3781640532174233,,,,-0.3305629829251089,
H3K56ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3648155040947252,,,,,
H3K4me3,,,,,,-0.3633552404520959,-0.3029038492744025,,-0.3308675349678278,-0.3525107344200506,,-0.3363758435470885,-0.3682436558860367,,-0.3592168432418265,-0.3172994533089124,-0.3406921246579042,-0.3492770215445713,,,-0.3507960521576301,-0.388704815510982,-0.4416278804841393,-0.3608237516342516,,-0.3004435437329267,-0.3924165197805038,-0.3253688254354667,-0.331086008232953,-0.3177253675797615,-0.3203503718178773,-0.4245562657107449,
H3K4me2,,,,,,,,,,,,,,,,,-0.3969513172108581,-0.4049461544781074,-0.3708834176215312,,,,-0.4191790822912953,-0.31492840208732,,,-0.313717666360926,,,,,-0.3668711624091845,
H3K79me,,,,,,,,,,,,,,,,,,-0.3070362238289359,,-0.3169804355876398,,-0.3076668758611127,-0.3179029953246459,,,-0.3808729493403149,-0.3061747255131113,,,,,,
H3K79me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3020879106821645
H3K36me3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3645245062747015
