,H4K12ac_H2AS129ph,H4K8ac_H3S10ph,H4K8ac_H2AS129ph,H3K4ac_H3S10ph,H3K4ac_H3K4me,H3K4ac_H4K20me,H3K4ac_H3K36me,H3K4ac_H3K36me2,H3K4ac_H4K16ac,H3K4ac_H2AS129ph,H3K23ac_H3S10ph,H3K23ac_H3K4me,H3K23ac_H4K20me,H3K23ac_H3K36me,H3K23ac_H3K36me2,H3K23ac_H4K16ac,H3K23ac_H2AS129ph,H3K14ac_H3K79me,H3K14ac_H3S10ph,H3K14ac_H3K4me,H3K14ac_H4K20me,H3K14ac_H3K36me,H3K14ac_H3K36me2,H3K14ac_H4K16ac,H3K14ac_H2AS129ph,H2AK5ac_H3S10ph,H2AK5ac_H3K4me,H2AK5ac_H4K20me,H2AK5ac_H3K36me,H2AK5ac_H3K36me2,H2AK5ac_H4K16ac,H2AK5ac_H2AS129ph,H3K18ac_H3K79me,H3K18ac_H3S10ph,H3K18ac_H3K4me,H3K18ac_H4K20me,H3K18ac_H3K36me,H3K18ac_H3K36me2,H3K18ac_H4K16ac,H3K18ac_H3K79me3,H3K18ac_H3K36me3,H3K18ac_H2AS129ph,H3K9ac_H3K4me3,H3K9ac_H3K4me2,H3K9ac_H3K79me,H3K9ac_H3S10ph,H3K9ac_H3K4me,H3K9ac_H4K20me,H3K9ac_H3K36me,H3K9ac_H3K36me2,H3K9ac_H4K16ac,H3K9ac_H3K79me3,H3K9ac_H3K36me3,H3K9ac_H2AS129ph,H3K56ac_H3K79me,H3K56ac_H3S10ph,H3K56ac_H3K4me,H3K56ac_H4K20me,H3K56ac_H3K36me,H3K56ac_H3K36me2,H3K56ac_H4K16ac,H3K56ac_H2AS129ph,H3K27ac_H3K79me,H3K27ac_H3S10ph,H3K27ac_H3K4me,H3K27ac_H4K20me,H3K27ac_H3K36me,H3K27ac_H3K36me2,H3K27ac_H4K16ac,H3K27ac_H3K79me3,H3K27ac_H3K36me3,H3K27ac_H4R3me2s,H3K27ac_H4R3me,H3K27ac_H2AS129ph,H3K4me3_H3K4me2,H3K4me3_Htz1,H3K4me3_H3K79me,H3K4me3_H3S10ph,H3K4me3_H3K4me,H3K4me3_H4K20me,H3K4me3_H3K36me,H3K4me3_H3K36me2,H3K4me3_H4K16ac,H3K4me3_H3K79me3,H3K4me3_H3K36me3,H3K4me3_H4R3me2s,H3K4me3_H4R3me,H3K4me3_H2AS129ph,H3K4me2_Htz1,H3K4me2_H3K79me,H3K4me2_H3S10ph,H3K4me2_H3K4me,H3K4me2_H4K20me,H3K4me2_H3K36me,H3K4me2_H3K36me2,H3K4me2_H4K16ac,H3K4me2_H3K79me3,H3K4me2_H3K36me3,H3K4me2_H4R3me2s,H3K4me2_H4R3me,H3K4me2_H2AS129ph,Htz1_H3K79me,Htz1_H3S10ph,Htz1_H3K4me,Htz1_H4K20me,Htz1_H3K36me,Htz1_H3K36me2,Htz1_H4K16ac,Htz1_H3K79me3,Htz1_H3K36me3,Htz1_H4R3me2s,Htz1_H4R3me,Htz1_H2AS129ph,H3K79me_H3S10ph,H3K79me_H3K4me,H3K79me_H4K20me,H3K79me_H3K36me,H3K79me_H3K36me2,H3K79me_H4K16ac,H3K79me_H3K79me3,H3K79me_H3K36me3,H3K79me_H4R3me2s,H3K79me_H4R3me,H3K79me_H2AS129ph,H3S10ph_H3K4me,H3S10ph_H4K20me,H3S10ph_H3K36me,H3S10ph_H3K36me2,H3S10ph_H4K16ac,H3S10ph_H3K79me3,H3S10ph_H3K36me3,H3S10ph_H4R3me2s,H3S10ph_H4R3me,H3S10ph_H2AS129ph,H3K4me_H4K20me,H3K4me_H3K36me,H3K4me_H3K36me2,H3K4me_H4K16ac,H3K4me_H3K79me3,H3K4me_H3K36me3,H3K4me_H4R3me2s,H3K4me_H4R3me,H3K4me_H2AS129ph,H4K20me_H3K36me,H4K20me_H3K36me2,H4K20me_H4K16ac,H4K20me_H3K79me3,H4K20me_H3K36me3,H4K20me_H4R3me2s,H4K20me_H4R3me,H4K20me_H2AS129ph,H3K36me_H3K36me2,H3K36me_H4K16ac,H3K36me_H3K79me3,H3K36me_H3K36me3,H3K36me_H4R3me2s,H3K36me_H4R3me,H3K36me_H2AS129ph,H3K36me2_H4K16ac,H3K36me2_H3K79me3,H3K36me2_H3K36me3,H3K36me2_H4R3me2s,H3K36me2_H4R3me,H3K36me2_H2AS129ph,H4K16ac_H3K79me3,H4K16ac_H3K36me3,H4K16ac_H4R3me2s,H4K16ac_H4R3me,H4K16ac_H2AS129ph,H3K79me3_H3K36me3,H3K79me3_H4R3me2s,H3K79me3_H4R3me,H3K79me3_H2AS129ph,H3K36me3_H4R3me2s,H3K36me3_H4R3me,H3K36me3_H2AS129ph,H4R3me2s_H4R3me,H4R3me2s_H2AS129ph,H4R3me_H2AS129ph
H4K5ac,-0.1388087353826428,-0.1019983304480813,-0.1348085753043761,-0.1752766473897793,-0.1619548696756005,-0.103898428619102,-0.1187851453758863,-0.1479607041039958,-0.1812187363189199,-0.2318847503943359,-0.1644803063853768,-0.1564895812629902,,-0.1058931240820868,-0.1177615559677089,-0.1519918859067495,-0.2238508860978267,-0.1015423385161025,-0.1793922749056076,-0.171011401716953,-0.1116627023791334,-0.1182529730455179,-0.137326424565872,-0.170775746875325,-0.2405579864950411,-0.1336336676718676,-0.1168720610581459,,,,-0.1260653165693082,-0.1911506936615232,-0.1788868649721813,-0.2230060007524805,-0.2151542427396897,-0.1372969785804123,-0.1984133680332682,-0.2029222629499152,-0.2236746212135028,-0.1477723904787087,-0.1804718247071655,,-0.1223050831229173,-0.131645115668455,-0.120967241515185,-0.1707500527186027,-0.1619451089588786,-0.100768193591632,-0.1438799551018714,-0.1734875794432859,-0.1653369950786256,,-0.1124389530986533,-0.2302166472981106,,-0.1391268091705644,-0.1315166214984735,,,-0.1283324495994957,-0.1450280047849066,-0.1908826732168567,,-0.1242679826791253,-0.1545559962828626,-0.1142426370628797,,-0.1122992679939383,-0.133089569413606,,,,,-0.1791374309006652,,-0.1777791668621375,-0.275693356764771,-0.2495833205620634,-0.2609627287803455,-0.1914651803318321,-0.2534261959458384,-0.2628563731550581,-0.2577766972692252,-0.272488996028466,,-0.1525913818708826,-0.124476345017495,,-0.1417193061294792,-0.1848125326863972,-0.1816781347311611,-0.2842600673142375,-0.2127912913138274,-0.1771023219613035,-0.1980715281345091,-0.2005581800456468,-0.2255325225483702,-0.2776675503217269,-0.1724051330227531,-0.1219351564431328,-0.284543422878265,,-0.1507408839255397,-0.146687805526442,-0.1006539801227539,-0.1201884051605475,-0.1752464563310116,-0.1588174155327948,,,,,-0.2271607545598222,-0.1537768202282219,-0.2090616273316445,-0.1673734933866288,-0.1017772185423879,-0.1969367093323928,-0.1640140489153871,,-0.1378084026896875,-0.1235387694433161,,-0.229058873064071,-0.1928702790967129,-0.1512686695868375,-0.156211997701277,-0.196810087906492,-0.1551640527195612,-0.1884346446075113,-0.2285082086020153,-0.1750822060457491,-0.1307148907819382,-0.2047366897665483,,-0.1809346594543335,-0.2221713037015025,-0.1781507130630153,-0.1746918415954752,-0.2113223998007427,-0.1428569072108061,-0.1016442549703153,-0.2683275345785016,-0.1679336336052923,-0.1743878166901513,-0.1523375581259269,-0.1047002958927709,-0.1469725672955988,-0.1133546645827596,,-0.2191917261468958,-0.1008861116483341,-0.1407175101513349,-0.1421435901478673,-0.1538180487876452,-0.1997030211602073,-0.1361490150367927,-0.2243281813765172,-0.1700916244782959,-0.2002013040828814,-0.2349588090439152,-0.2319886764567975,-0.1647884251005233,-0.2637881635508599,-0.1993166413648897,-0.2389546437734679,,-0.1614319618955662,-0.2141426060607045,,,,-0.2490037777239102,,,,,-0.2390030702745456,-0.1869914525800116
H4K12ac,,,-0.1354827407057968,-0.1590433307132546,-0.1558481120035679,-0.1042305462430555,-0.1129060485180204,-0.136924601544921,-0.1734408838445666,-0.2333974760854555,-0.146192614575666,-0.1478351789520253,,-0.103903724470765,-0.1126590726816125,-0.1504204978903178,-0.225292639891018,,-0.1586646955469959,-0.1602131874967938,-0.1092975631328592,-0.1125493699371968,-0.1161114040067268,-0.1639096664636294,-0.2391745384641233,-0.1165929102542477,-0.1039056670264173,,,,-0.1266090445895002,-0.1868458240930923,-0.1607003346808362,-0.2029285639535381,-0.2019487529961168,-0.1340866895719266,-0.1924480572377653,-0.1867362415318183,-0.2181458056702379,-0.1355528125325698,-0.163922083981264,,-0.1073597217997797,-0.117453925521147,-0.1021078233459515,-0.154011483824993,-0.1534788330180418,,-0.1396354329135025,-0.1666636892193089,-0.1603707878262401,,,-0.2296618123084481,,-0.1253742996256974,-0.1246095913737921,,,-0.1233843163308279,-0.1420488271414566,-0.1926606586492791,,-0.1128679639692116,-0.1488491185984575,-0.1116874000849321,,-0.1076874338271718,-0.1363758369011769,,,,,-0.1686764382473331,,-0.1482263820863565,-0.2601383330227662,-0.2237977379198845,-0.2351892571131841,-0.1777686600263486,-0.2424516868658717,-0.237624544124154,-0.2454873033558016,-0.2488485968501503,-0.2891720233100727,-0.1324689919546386,-0.105016001998301,,-0.117101603275195,-0.1651165828893841,-0.1643233557154246,-0.2696729829889825,-0.2007396767243729,-0.1645560445327589,-0.1827106036900261,-0.1864380076871548,-0.2112307892132712,-0.2587303953403026,-0.1568941776718233,-0.1059360156674085,-0.2740511234352176,,-0.1293855226182909,-0.1249949140695037,,-0.1061814138209449,-0.1581992958638203,-0.1500200398008075,,,,,-0.1997723227924304,-0.1305795903779714,-0.1937325866615964,-0.1577901693180248,,-0.1714425825223848,-0.1526374366160539,,,-0.1030699648032662,,-0.2103130437823051,-0.1771734375237237,-0.1404783753978762,-0.1444388149166471,-0.1784479639413163,-0.1440826754742712,-0.1735706381821593,-0.2038456603427292,-0.1574361982433565,-0.1141981472097874,-0.1918773817873251,,-0.1813394601558524,-0.218423084827652,-0.1809265999040619,-0.1655853614609768,-0.1977881079467334,-0.1275607105799068,,-0.256347038792887,-0.1700005332142549,-0.1755841155124091,-0.1532813454703543,-0.1101710695282296,-0.144508532532118,-0.1177483618755257,,-0.2112129125245019,-0.1028971559527782,-0.1408259740495854,-0.1368682323296504,-0.1394050375947912,-0.1958993503664441,-0.1210712808095202,-0.2122334908398766,-0.1747848464411792,-0.1962608379666868,-0.2352161429804162,-0.2267772539184829,-0.1496512809508079,-0.2461190376907325,-0.2062864943515485,-0.2414739809741135,,-0.1556899434616401,-0.2106037508096729,,,,-0.2308194522312519,,,-0.2809141523223832,,-0.2238824210997609,-0.1734566465294538
H4K8ac,,,,-0.1716698402105816,-0.1917308840117275,-0.1331141402234283,-0.1283125473678463,-0.1392602564132889,-0.1774778745880763,-0.2420956099267588,-0.1639789913427236,-0.18804553500844,-0.1321249130101716,-0.1207760756622242,-0.1219707981639484,-0.1496917470317385,-0.2351179254557003,,-0.176761127059418,-0.2072716808074322,-0.1401653826104212,-0.1217653877769535,-0.120998534493907,-0.1718244347860817,-0.2504642918718307,-0.1271325594136438,-0.1632799018351676,-0.1181525000179295,-0.1071816881577429,-0.1071211124774222,-0.1423771876118031,-0.1967561394766743,-0.1615902820791603,-0.2226380197395681,-0.2437271154416826,-0.1651260231274509,-0.2155433079587929,-0.1947792853869003,-0.2318256261299698,-0.1451390496210383,-0.1919950481197467,,-0.1375032550514401,-0.1213049030469068,-0.1018340752935387,-0.1714108280982973,-0.1869714678966403,-0.1268667398231056,-0.1587023165614347,-0.1809205673334943,-0.1656259504252091,,-0.1103566586793665,-0.2411293543057588,,-0.1364172278913233,-0.1529062028640968,-0.1070792039841723,-0.1056676577205095,-0.1288104357788757,-0.1463775459077911,-0.2026362340238545,,-0.1238719780752912,-0.1707367033057298,-0.1295731011454215,,-0.1170694605392519,-0.1312799242102169,-0.1001727213029983,-0.111320658361377,-0.1108405938025356,,-0.1910883543737345,,-0.1793512680860587,-0.2771145203065739,-0.2467234533798201,-0.2816367027208564,-0.2150610558019021,-0.2701376658804157,-0.2630769476771899,-0.2667615561874736,-0.2753340486321942,,-0.1699205233827694,-0.1317150989478861,,-0.1347083907279067,-0.1745134302627846,-0.181690878173562,-0.2859128668122608,-0.2139413404597885,-0.1735791972074825,-0.1873133666794864,-0.1940667001168883,-0.2332657131870004,-0.2935042134680721,-0.1818097481089129,-0.1273530746727278,-0.2759424228557741,,-0.1463689668962846,-0.1583457402328196,-0.1143340010824367,-0.1310300983068124,-0.1937727773096984,-0.1729120037983431,,,,,-0.2302738163210804,-0.1450293237569972,-0.2119253341837321,-0.1691778046556624,,-0.177676397339308,-0.1598414396157697,,,-0.1144420535380916,,-0.2333557411977143,-0.1963026236020297,-0.1550710289948274,-0.1570081596614194,-0.1942063564946377,-0.1566216329222136,-0.1887172912387775,-0.2236164505863147,-0.1775853487790488,-0.1278440592419318,-0.2053898418598052,-0.1047052774602974,-0.1967964174010852,-0.2458187740613056,-0.2055221669898586,-0.1966380860128449,-0.257957944675768,-0.195816443560199,-0.1192882013640286,-0.2729074759902712,-0.1863262673891412,-0.2075636188209824,-0.1777557412701291,-0.1353610226520274,-0.1870810553032207,-0.1882971049159731,,-0.2289658110013981,-0.1041535433498221,-0.1416023354292939,-0.1558332844291143,-0.1597227553378584,-0.2427893309598872,-0.1512755504823761,-0.2304097856182387,-0.1797776394861543,-0.2250840093887625,-0.2811151968820677,-0.294033979790731,-0.1908716636405536,-0.2616295492445939,-0.2483934278269348,-0.2743689574652102,,-0.2055107600231416,-0.2197187263346567,,,,-0.2530476416050717,,,,,-0.2512836280374362,-0.1946977053856624
H3K4ac,,,,,,,,,,,,,,,,,,,,,,,,-0.1134959121086076,,-0.133049372471758,,,,,-0.1634120123738522,-0.1513590179284563,-0.1355231799453022,-0.1321549391732368,-0.1071432871612216,,,,-0.225687257232984,,,-0.1536924504043071,,,,-0.1015668318116045,,,,,,,,,,,,,,,,,,,-0.1713958869026566,-0.1164542193560791,,,,,,,,-0.170131398411895,,-0.1761580986183233,,-0.2338251022318545,-0.1734043815051809,-0.1130442960051212,-0.2439175477939592,-0.2171383492320018,-0.2887658195132463,,,-0.1007518733016326,-0.123624467481747,-0.245560015332849,-0.1785713079381707,-0.2519167544917646,-0.1914975554610389,,-0.2728039774750375,-0.2278920153263719,-0.2163027086053759,-0.2533127485716004,-0.2833505324611671,,-0.2029188681204541,-0.1593348336425997,-0.2794727442727378,-0.1210486991898953,-0.1708117603495473,-0.1859178147272224,-0.113004119601527,-0.1402942850430086,-0.2066578482138172,-0.2110494058032372,-0.1037157733246427,,,,-0.2792339301054909,-0.1652670223138344,-0.2825453543324503,-0.2228189536050688,-0.1602789256021477,-0.2500291548976534,-0.1825289768156004,-0.1176393316282649,-0.1720265779456085,-0.1466193898605876,-0.1191988135814714,-0.2849013187312064,-0.2255563496941821,-0.1739808277338426,-0.1821072547402469,-0.2101710833180838,-0.1800530783383411,-0.2309400300547537,-0.2684720747719211,-0.2042834558289676,-0.1584322490372116,-0.2218278511169806,,-0.1938248514740603,-0.2427444390081579,-0.2580290117217831,-0.2312990994126593,-0.2780882062232255,-0.1279343176291831,-0.1266506164052483,-0.2666625436611376,-0.1270603482145738,-0.1767466400908901,-0.2393053448065263,-0.125132528918952,-0.1733731263621347,,,-0.200308080867483,,-0.1557415670267907,-0.1649669848588253,-0.1901512832022529,-0.1540245099423476,-0.1339046464438684,-0.2420494722921233,-0.1959833386300857,-0.2409725122118224,-0.2708529098801531,-0.2383508047835612,-0.1901540541990662,-0.2719225487417809,-0.2906761154355468,,,-0.2433923381779799,-0.226584672071338,,,,-0.2775393411687332,,,,,-0.2154627410900591,-0.2066029532202371
H3K23ac,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1189474066615972,,,,,-0.1510205638098636,-0.1446077391622662,,-0.109826229163108,,,-0.1048150902614928,,-0.2350414488474186,,,-0.172030872317201,,,,-0.1140983850656844,,,,,,,,,,,,,,,,,,,-0.1465337748238369,,,,,,,,,-0.1651373901658992,,-0.1498029920197723,-0.2968812584427347,-0.1942566109435972,,,-0.2320614109732304,-0.143030883607846,-0.272927357686985,-0.2587969785754076,-0.2605913418975589,,,-0.2405632505296537,-0.1516248031750748,-0.2163483868115818,-0.1577832423271363,,-0.2219181143266659,-0.2082669776382033,-0.1505883239626353,-0.2340406915801907,-0.2401776713558163,,-0.1679879234788934,-0.1336194765541147,-0.2649095440319602,-0.1260198099672607,-0.1606361032105372,-0.1718492063284813,-0.1043861351818016,-0.1376745678760702,-0.1874645028820403,-0.1940174643903578,-0.1186688031268907,,,,-0.2615427243284163,-0.1540396876085914,-0.258988892768043,-0.1880187667517656,-0.1446853372376786,-0.2290787009761103,-0.160928012564895,-0.1393665677750828,-0.1918369887151527,-0.1439237402652082,-0.1122282964851901,-0.2604927092693412,-0.199664079135406,-0.1570196596121906,-0.1693640619059664,-0.1866339443848481,-0.1567861859092403,-0.2090993745850973,-0.2461492018090751,-0.1923532809302042,-0.1467130190587138,-0.2074856090271879,,-0.1783457548719624,-0.2023867301702502,-0.2405322888433243,-0.2173890663493001,-0.2540100331625581,-0.1137655795994376,-0.1158306543069365,-0.2546814129740724,-0.1068400387659291,-0.1402374140566742,-0.2187164479492551,-0.1185698759591655,-0.153746594342877,,,-0.1849805417395735,,-0.1399569215524696,-0.1648826922144302,-0.185338843780336,-0.1406954518379759,-0.1206911493383735,-0.2354903935575585,-0.1764771056233751,-0.2238681056471243,-0.2557941347712518,-0.2131045430223093,-0.1722417345654836,-0.2500368865584761,-0.2347725980086661,,,-0.2027446219044062,-0.2078353463333684,,,,-0.2543635996062363,,,,,-0.199419353820895,-0.1875340814354551
H3K14ac,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1389052717810717,,,,,-0.153110310265415,-0.163757932889645,,-0.1282936113765096,,,,,-0.1819140105620906,,,,,-0.1232651182173132,,-0.1473272736360957,-0.1070260182163096,,,-0.1064036352760275,-0.1450068730807245,-0.1019993854249783,,-0.1076101889004377,,,,,,,-0.1123434012536375,,,-0.1119049492395838,-0.1763187419471918,,,,-0.1388803264134974,-0.1129216768330394,,,,-0.1846090952838697,,-0.1575065508906803,,-0.1712039764221131,,,-0.2350153386045423,,-0.2514081264422234,-0.2937410343840483,,,,-0.1769073180774398,-0.187517028473156,-0.2817939117814099,-0.1645624864961732,,-0.2817926739339089,-0.2369923605551491,-0.1389814085473766,-0.2802808266911647,,,-0.2133127120908469,-0.1631378226675366,-0.2695847858856659,-0.1166530007999124,-0.1690737507729682,-0.1912990754474925,-0.1158399800276157,-0.1377119189717746,-0.2068014382871297,-0.2042518066295766,-0.1280387032819767,,,,-0.2845336229172925,-0.1622158070107442,-0.297650757206636,-0.1971837346393492,-0.1355597640128216,-0.244587125954677,-0.1873357644817908,-0.132576674368714,-0.1983282036181783,-0.1499964666032394,-0.1166153841124568,-0.2721039823839462,-0.2217796939912855,-0.1742560518756608,-0.1811306848784681,-0.1993196531040073,-0.1832901719235344,-0.2366577939342189,-0.2695183683155626,-0.2202836142911763,-0.1600484645280193,-0.2166718854063525,,-0.2033600624042151,-0.2465566159641294,,,,-0.1393576281940802,-0.1374929703719214,-0.2662510069645485,-0.1252477067662116,-0.1743355497164298,-0.2609559003090709,-0.1786571480440546,-0.1871633825609908,,,-0.1887006994769304,-0.1297557987531874,-0.1771965978432579,-0.1817877416763007,-0.2059288103237513,-0.1633823487861541,-0.1298054772828205,-0.2479749909053996,-0.2376391997017926,-0.2873280137074552,-0.2983716134488112,-0.2492713941110302,-0.1889357421005968,-0.2636788723657037,-0.261236135199475,,,-0.2083758083750631,-0.2364748297793379,-0.153822645779778,,,-0.2798671537137611,,,,,-0.2116284884533072,-0.1999058038686811
H2AK5ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1233103977867351,-0.1665314590982625,,,-0.134033668261253,,-0.1776512810101511,,,-0.2359860366054071,,,,-0.1418641399973754,,,,,-0.1494372680782554,,,-0.1635356599172972,,-0.1060813481626663,,,,,-0.1410413041981844,-0.1233924302700302,,-0.1093878406439223,-0.1558070366208692,,,,-0.1513226076886571,,,,,-0.1578369139344229,,-0.1399284894884775,-0.276137004183699,-0.2110354221846737,-0.1393067373823004,,-0.2316664016132072,-0.1737591732495946,-0.2370780537159742,-0.2755138054852537,-0.2616722626376138,,,-0.2776959960923761,-0.130185145593666,-0.2057652316833067,-0.1655668430297829,,-0.2411759120355867,-0.1966367761622738,-0.1687930492396923,-0.2173516600525609,-0.2466625829012301,-0.2902778455680543,-0.151151807181078,-0.1192684811595388,-0.2733906205906109,,-0.1369644193220427,-0.1287415958828859,,,-0.1374525075300674,-0.1512733109626953,,,,,-0.2441525826278621,-0.1442260616079416,-0.2383791688183532,-0.1834914992910832,-0.1266313298040877,-0.2147773174764768,-0.166502020673354,-0.106794951071782,-0.1485379078273681,-0.1030406100876124,,-0.2412116253792611,-0.1923389884934909,-0.142715484327752,-0.1563421436436982,-0.1820550664720439,-0.1573007964847423,-0.1888849171681084,-0.2210191817484936,-0.161762835434402,-0.1233366992829516,-0.2014129826781854,,-0.1791075911709221,-0.1971455782151885,-0.1895334460580766,-0.1906529805569103,-0.1907096141914905,,,-0.2735645953033874,-0.1303874126511051,-0.1343498054913627,-0.1520862046070785,,,,,-0.2020951981688536,,-0.1383551705860828,-0.1374588191704191,-0.1442824455024443,-0.1290367914890335,,-0.2364302732423002,-0.1622153854359762,-0.2022487237584407,-0.2066690795415056,-0.172162308610412,-0.1296860804360147,-0.2531474577885255,-0.1929182426119613,-0.2340274494716201,,-0.1490447949832667,-0.2174700563272331,,,,-0.2511101631470716,,,,,-0.1871383996204763,-0.1724461622970103
H3K18ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1132937341322311,-0.1148917745887239,-0.1396498476623975,-0.149341908551321,,,,-0.1712748033474351,,,-0.1301689632037366,-0.1181359030206401,-0.1016400609942671,-0.1590482437991518,,,,-0.1783093227916339,,-0.1323854931453425,-0.1378240554718566,-0.2688075923113366,-0.1721329445443888,-0.1485761443808151,-0.1373575775098956,-0.2174453461000336,-0.1372536025539688,-0.1662294906039836,,-0.1047627318928228,-0.2563208043946297,,-0.2138134408936878,,-0.2512573501736472,,,-0.2501075820289173,-0.1722117179289668,-0.2832606948992513,,,-0.1194443021614493,-0.1408495729760144,-0.1795975891863825,-0.2095082819710345,-0.2829102766951301,-0.2083584019721449,,-0.2903109532872712,-0.2423974099711756,-0.177864575285076,-0.284583822901217,,,-0.2328614974504113,-0.1902293266490975,-0.2572868273737434,-0.197747917490485,-0.2151093084255482,-0.2236618442582418,-0.1396837865720961,-0.1999669721515289,-0.2581669108101856,-0.2477862393313135,-0.1873512206426237,-0.1765104364133751,,,,-0.2156234035827751,,-0.2236798693371646,-0.2201095008469487,,-0.2365024579456118,-0.2080211547797823,,-0.1937365346244668,-0.1629231418463099,,-0.2537340497045282,-0.1977898716378945,-0.2264795737778389,-0.2510250451337228,-0.2256023224140761,-0.2761938211877019,,-0.2477342713851946,-0.1927686536096757,-0.2502313420195978,,-0.20901805882926,-0.2490306381136058,-0.2633732570063785,,,-0.153631222679186,-0.161640661306011,-0.2724148246274662,-0.1141389980211098,-0.1738496621372931,-0.2100897471995235,-0.1530884198516648,-0.2006554893017966,,,-0.1936058342821294,-0.1588545000770054,-0.1895713538415862,-0.2276277066571239,-0.2892641652598477,-0.1766727029149652,-0.1692836452864465,-0.2902953694691241,-0.2364719896805063,,,-0.2676008442582933,-0.2265551128107326,,-0.2792541150484613,,,-0.2250204086702538,-0.2640977367213519,-0.173619583594581,,,,-0.1202723721082232,-0.1187227289996837,,,-0.2429484967791602,-0.2417311449892754
H3K9ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1575241554992104,-0.116246179936553,,-0.1012285008151394,,,,,,-0.170658479570763,-0.1214488089331933,-0.1959805787517812,-0.2868679017435589,-0.2516366224144875,-0.1746507806180979,-0.115480513082506,-0.2356204675474487,-0.2508636631397198,-0.25987829748777,-0.2871396777529007,,-0.1379519115071392,-0.1523091860933512,-0.2284151321943923,-0.1927497645209595,-0.2340977823192602,-0.1965929073674654,-0.2924570052374307,-0.2247145141937867,-0.2161399324036992,-0.2361848044527903,-0.2169022168842467,-0.2563777468499495,,-0.2073923597742446,-0.168530609922767,-0.2554772926591582,-0.151556434968981,-0.1742885802891134,-0.1777736305248964,-0.1071216637744338,-0.1511478093966118,-0.1958701789405417,-0.1938653913947554,-0.1246582926830051,-0.1147995891243649,,,-0.2717189794405232,-0.1681607815673746,-0.2485140944281987,-0.2029023635677589,-0.1801920895792044,-0.2552387968569221,-0.1716356537561587,-0.1411700666981801,-0.1968074662303962,-0.1554795997550382,-0.1307434868893153,-0.2707725762504012,-0.2107515321108746,-0.1574101389574753,-0.1779508912548202,-0.2070982137161223,-0.1640775671218453,-0.2116409702818114,-0.2534647550892757,-0.1877132110013644,-0.1502403126093838,-0.2141932401260042,,-0.1658598814697782,-0.2071428322518169,-0.2197562396616561,-0.1853288456560839,-0.230396165298595,-0.1174781169355903,-0.1228967589912031,-0.2324330302886004,,-0.1501442071171173,-0.2188129710171171,,-0.1425764889917093,,,-0.1813436743156664,,-0.127170211867309,-0.1545278069874598,-0.1901020642827902,-0.136932564440837,-0.1342581780519776,-0.2230210598319377,-0.1443177535744588,-0.1898010992159378,-0.2215218960711169,-0.1948822583307503,-0.1719847640243017,-0.2430771601093262,-0.2639077398823453,,,-0.2100768938724488,-0.2008000959238298,,,,-0.2612090184127957,,,,,-0.2126347376410127,-0.2079793760717443
H3K56ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1450768758174359,,-0.1372770564606202,-0.2709513454109693,-0.1867441407616024,-0.1439595138445906,,-0.193003733212036,-0.1936456541883124,-0.2324242720084068,-0.2234828126775987,-0.232101905724992,,,-0.1707060985192328,-0.1298239899123849,-0.1837416100321718,-0.1387235959769626,-0.2544816538137695,-0.1862238392960264,-0.1692673931524329,-0.1710460628058712,-0.1792507003913002,-0.1917875251887117,-0.2419686662063345,-0.1457006272683187,-0.1134503580588699,-0.1909491273990387,,-0.1337098937064436,-0.1410884539643024,,-0.1089906220295962,-0.1633288103145762,-0.1691804056063919,,,,,-0.2295550312731133,-0.1269659176858208,-0.2314413988954697,-0.1904066829640172,-0.1435672899255902,-0.2094088980428861,-0.1430463111450013,,-0.1335163291970609,-0.1163964314891394,,-0.2537492188620582,-0.1670960441412763,-0.1277238394433038,-0.141775773302605,-0.1614241616300038,-0.1283603935787134,-0.1689902881470857,-0.2070086992973738,-0.152379763189721,-0.122103230056819,-0.1656517563019015,,-0.1410787279181562,-0.1692934644104831,-0.1795440133341959,-0.15891914254642,-0.2051522024634628,,,-0.1907914240722359,,-0.1170441392037204,-0.1641937266517938,,-0.1253373961099395,,,-0.1433445712433751,,,-0.1088220005626716,-0.1322925415867981,-0.1039169359325473,-0.1016087580548212,-0.1933601791247365,-0.1164864416683091,-0.1567902364421165,-0.1837205247330029,-0.1681830190518223,-0.1475481383517891,-0.1950981229721016,-0.2249229222611379,-0.2649738353332207,,-0.1895341542401141,-0.1646526045734617,,,,-0.2132453282150521,,,-0.2812457691303915,,-0.1586815833007921,-0.1586168297798824
