,H4K12ac_H3K79me,H4K12ac_H3S10ph,H4K12ac_H3K4me,H4K12ac_H4K20me,H4K12ac_H3K36me,H4K12ac_H3K36me2,H4K12ac_H4K16ac,H4K8ac_H3K79me,H4K8ac_H3S10ph,H4K8ac_H3K4me,H4K8ac_H4K20me,H4K8ac_H3K36me,H4K8ac_H3K36me2,H4K8ac_H4K16ac,H3K4ac_H3K4me3,H3K4ac_H3K4me2,H3K4ac_Htz1,H3K4ac_H3K79me,H3K4ac_H3K79me3,H3K4ac_H3K36me3,H3K23ac_H3K4me3,H3K23ac_H3K4me2,H3K23ac_Htz1,H3K23ac_H3K79me,H3K23ac_H3S10ph,H3K23ac_H3K4me,H3K23ac_H4K20me,H3K23ac_H3K36me,H3K23ac_H4K16ac,H3K23ac_H3K79me3,H3K23ac_H3K36me3,H3K23ac_H4R3me,H3K23ac_H2AS129ph,H3K14ac_H3K4me3,H3K14ac_H3K4me2,H3K14ac_Htz1,H3K14ac_H3K79me,H3K14ac_H3S10ph,H3K14ac_H3K4me,H3K14ac_H3K36me,H3K14ac_H4K16ac,H3K14ac_H3K79me3,H3K14ac_H3K36me3,H3K14ac_H2AS129ph,H2AK5ac_H3K4me3,H2AK5ac_H3K4me2,H2AK5ac_H3K79me,H2AK5ac_H3K4me,H2AK5ac_H4K20me,H2AK5ac_H3K36me,H2AK5ac_H3K36me2,H2AK5ac_H3K79me3,H3K18ac_H3K4me3,H3K18ac_H3K4me2,H3K18ac_Htz1,H3K18ac_H3K79me,H3K18ac_H3K4me,H3K18ac_H4K20me,H3K18ac_H3K36me,H3K18ac_H3K36me2,H3K18ac_H3K79me3,H3K18ac_H3K36me3,H3K18ac_H4R3me2s,H3K18ac_H4R3me,H3K18ac_H2AS129ph,H3K9ac_H3K4me2,H3K9ac_Htz1,H3K9ac_H3K79me,H3K9ac_H3K4me,H3K9ac_H4K20me,H3K9ac_H3K36me,H3K9ac_H3K36me2,H3K9ac_H4K16ac,H3K9ac_H3K79me3,H3K9ac_H3K36me3,H3K9ac_H4R3me2s,H3K9ac_H4R3me,H3K9ac_H2AS129ph,H3K56ac_H3K4me3,H3K56ac_H3K4me2,H3K56ac_Htz1,H3K56ac_H3K79me,H3K56ac_H3S10ph,H3K56ac_H3K4me,H3K56ac_H4K20me,H3K56ac_H3K36me,H3K56ac_H3K36me2,H3K56ac_H4K16ac,H3K56ac_H3K79me3,H3K56ac_H3K36me3,H3K56ac_H4R3me2s,H3K56ac_H4R3me,H3K56ac_H2AS129ph,H3K27ac_H3K4me3,H3K27ac_H3K4me2,H3K27ac_Htz1,H3K27ac_H3K79me,H3K27ac_H3S10ph,H3K27ac_H3K4me,H3K27ac_H4K20me,H3K27ac_H3K36me,H3K27ac_H3K36me2,H3K27ac_H4K16ac,H3K27ac_H3K79me3,H3K27ac_H3K36me3,H3K27ac_H4R3me2s,H3K27ac_H4R3me,H3K4me3_H3K4me2,H3K4me3_H3K4me,H3K4me3_H4K20me,H3K4me3_H3K36me2,H3K4me3_H4R3me2s,H3K4me3_H4R3me,H3K4me2_H3K36me2,Htz1_H3K79me,Htz1_H4K20me,Htz1_H3K36me,Htz1_H3K79me3,Htz1_H3K36me3,Htz1_H4R3me2s,Htz1_H4R3me,H3K79me_H3K36me,H3K79me_H3K79me3,H3K79me_H3K36me3,H3K79me_H4R3me,H3K4me_H4K20me,H3K4me_H4R3me2s,H3K4me_H4R3me,H4K20me_H3K36me,H4K20me_H3K36me2,H4K20me_H3K79me3,H4K20me_H3K36me3,H4K20me_H4R3me2s,H4K20me_H4R3me,H3K36me_H3K36me2,H3K36me_H4K16ac,H3K36me_H3K79me3,H3K36me_H3K36me3,H3K36me_H4R3me2s,H3K36me_H4R3me,H3K36me2_H4K16ac,H3K36me2_H3K79me3,H3K36me2_H3K36me3,H3K36me2_H4R3me2s,H3K36me2_H4R3me,H4K16ac_H3K79me3,H4K16ac_H4R3me2s,H4K16ac_H4R3me,H3K79me3_H3K36me3,H3K79me3_H4R3me2s,H3K79me3_H4R3me,H3K36me3_H4R3me2s,H3K36me3_H4R3me,H4R3me2s_H4R3me
H4K5ac,-0.0064568442146839,-0.0980959640879231,-0.0603204425887842,-0.0421585799392065,-0.0147776626358737,-0.0503156781509588,-0.0768820497685887,-0.013237110672815,,-0.0860364889980278,-0.0668594739506858,-0.0224387577356903,-0.0665675314077951,-0.0816073324898258,-0.061090700484673,-0.0723937828618819,-0.0103732657557955,-0.09263699377993,-0.0579312105430727,-0.0532097875324613,-0.011931547856907,-0.0348383573312531,-0.0035198692627425,-0.0973549912186619,,,-0.0960100225589535,,,-0.0800664356377964,-0.0639987401942079,,,-0.0050397862981466,-0.0542062066660076,-0.0107209886547963,,,,,,-0.0935950722406193,-0.090789887973429,,,-0.0137559413851295,-0.061199739248309,,-0.0667017297206644,-0.0830583723724522,-0.0903070535088605,,-0.0677799753959274,-0.0966080381189726,-0.0814501040038706,,,,,,,,-0.0310772966647316,-0.0353249010783773,,,-0.0653490740818565,,,,,,,-0.0881833316236981,,-0.0305930160345422,-0.0422374900051156,,-0.0567075823080784,-0.0606272403718488,-0.0198254085262785,-0.0762838067389886,,,-0.0846422373426403,-0.0973759691367597,,,-0.0439236836901955,-0.0580093070637595,-0.0006985021580323,-0.0114440509371771,,-0.0916065922108355,-0.0710673152111205,-0.0173241924253808,-0.0558937715696981,,,,-0.0702015084615013,,,-0.0881355371858916,-0.0945326947658529,-0.0809311474819765,-0.0625776268184736,-0.0985591126174583,,,,,,,-0.0931903736978583,,,-0.0681348509163761,-0.0368719685655527,,,,-0.0993015540967334,,-0.0844464936892066,-0.0707347363457469,,,,,,,,-0.0666485667272187,,,,,,,,,,,,,,,,,,,,
H4K12ac,,,,,,,,,-0.0883724397824572,-0.0733365677232882,-0.0540677156434448,-0.0041486586640608,-0.0482171483859019,-0.0767860485729041,-0.0383646157830064,-0.0559765385200137,,-0.0677954017825932,-0.0412135469585184,-0.0325751625007519,,-0.0249482534470324,,-0.0799066133580499,,,-0.0983396657605588,,,-0.072394465942958,-0.0467021931965661,,,,-0.0333471933479643,,-0.0799358953994797,,,,,-0.0739905043777326,-0.0642309806324537,,,,-0.0436539581806041,,-0.0739362926449516,-0.0805080980307959,-0.0797648472516598,,-0.0548581789340243,-0.0768700605552137,-0.0605746634284649,,,,,,,,-0.018798186863,-0.0238734858029872,,,-0.0493166349087399,,,-0.0961849332373514,,,,-0.0787918287204636,-0.0978773854032617,-0.0184850146208468,-0.0246212997951165,,-0.0412628732733768,-0.047548347976285,-0.001067549515044,-0.055077997509926,,,-0.082454462462282,-0.0919081661439573,,,-0.0353858731495364,-0.0430064865285828,,,,-0.0759345945189515,-0.0529382132951017,,-0.0326471359036162,,,,-0.0681908320289341,,,-0.0810934280080726,-0.0818134031721218,-0.0786340801196843,-0.0505778433349775,-0.0761914773412968,,,,,,,-0.0617433638979143,-0.0907683845677915,,-0.0422801784899427,-0.0042020920186143,,,-0.0834763231684672,-0.0652625810796116,-0.0965384553517552,-0.0713488691817954,-0.0701237187601471,,-0.0826515211233172,,,,,,-0.0615762190858131,,,,,,,,,,,,,,,,,,,,
H4K8ac,,,,,,,,,,,,,,,-0.0783067605555078,-0.0475256803559318,,-0.0581874109303566,-0.0364596083083572,-0.0403449401565794,-0.0336321895488236,-0.0141169434573384,-0.0046404591341371,-0.0785045879464121,,,,,,-0.085941486736548,-0.0786367076419392,-7.03086986035828e-05,,-0.0339726733524621,-0.0274652479550514,,-0.0783261687672958,,,,,-0.0850251682789924,-0.0932301385043405,,-0.0212908997269121,,-0.0444773562442648,,,,,,-0.0909135038541784,-0.0672908138991719,-0.0736435358582703,,,,,,,,-0.0380068127215373,-0.0397902753615433,,,-0.0717702648333826,,,,,,,-0.0807451650761752,,-0.0436630819009415,-0.0493208688794304,,-0.0667317429347491,-0.041816295760432,-0.0124796882559135,-0.0459120087867859,,,,,,,-0.0338640089267361,-0.05341750418747,-0.0107818094324159,-0.0153560944374486,,-0.0945285469829819,-0.0515344585082218,-0.0155089043083798,-0.0322020185616533,,,,-0.0786499004398582,,,,,,-0.0744815499228543,-0.0660374463020598,,,,,,,-0.0627076723668533,,,-0.0580205337503869,-0.0288016683861478,,,-0.08222528232608,-0.0558184418752834,-0.0924747558540044,-0.0787746905808948,,,,,,,,,-0.0964240143165859,,,,,,,,,,,,,,,,,,,,
H3K4ac,,,,,,,,,,,,,,,,,,,,,,,,-0.0198207320428558,-0.0742122762242623,-0.0270788929811338,,-0.0083905974881623,-0.0484637546011104,-0.0087568187268107,,,-0.0751956269240654,,,,-0.0399100598035726,-0.0915987022727318,-0.0624703622343325,-0.0194395662651807,,-0.0545418783324684,,-0.0716074552029208,,,-0.0505919887732009,-0.0780738904714386,-0.0030962486471679,-0.0609209255446803,-0.042769237141913,,,,,,,-0.017837331321818,-0.0989840768708862,-0.0354831525362726,-0.0096733325382043,-0.0306506380853157,,,,-0.0487426082458455,,-0.010511434847821,-0.0143890995803381,,-0.0220761349873015,-0.0418484359393218,-0.049569360362069,,,,,-0.0430398362288286,,,,,-0.0469039293768762,-0.0126526422438093,,,,-0.0176510478495828,,,,,-0.014600997526621,-0.004483841342072,-0.0058335688267519,,-0.0165383508411682,-0.0933552167476143,,,-0.0581491150475859,-0.0616973493972405,-0.074608644138566,-0.087655118821857,-0.091054613847568,-0.0334595117202205,-0.0623847045560985,-0.0170833630106841,,,,,,,,,,,-0.0724621053985803,-0.0189436090152845,-0.0307735539374611,,,,,-0.0372220655939372,,,,,,,-0.0420676533145556,-0.0683185873317384,-0.0992970679309017,,,,,,,,,,,,,,-0.0300683270895021,-0.0174689176622049,-0.022420026672437,-0.0242257833334438,-0.0411345779721354,
H3K23ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0213922043643037,-0.0637855053778047,,-0.0161014571326028,-0.0915614465610357,-0.0222147300838013,,-0.083917825916572,,,-0.0532296159082896,-0.0586954008461422,,-0.0580710032831728,-0.0171312857801204,-0.0199742335155352,,,,-0.0747986654678065,-0.0370882373783416,,,,-0.035027507658043,-0.0077788017419919,,,,-0.0769624740297469,,-0.0372710625799257,-0.0642830768658733,,-0.0435293307570088,-0.0494335213421006,-0.0709247081720736,,,,,-0.0946718221467115,,,,-0.0121609541803842,-0.0669416110323641,-0.028295751541437,,-0.0081936257577712,,-0.0480514569534022,,,,,-0.0529563233823324,-0.012191734469134,,,-0.0443211423281582,-0.0857004502945706,,-0.0754077846142387,-0.0502380279320604,-0.0412587421859598,-0.0663450302491366,-0.0702556204129845,-0.0779833137346717,-0.0126815245680305,-0.0513463914041878,,-0.0989853518447798,-0.0626805309010087,,-0.0696614463410334,-0.0936895669750317,,,,,,-0.0826833596912095,-0.0319465303413704,-0.0386745965378079,,,,,,,,,,,,-0.0409359009998286,-0.0663232384651575,-0.0907419591451272,,,,,,,,,,,,,,-0.0966906019900868,-0.0604948125200941,-0.0445356101015566,-0.0369063164057834,-0.053441980177876,
H3K14ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0545290592745573,-0.0453389409977837,,-0.0663398718755381,-0.0106196327992762,-0.0288214827424102,,,,-0.0805833160154705,,,-0.0886386818893889,,-0.0489244707581573,-0.0044192546977122,,,-0.0742781551093365,,-0.0264040127340017,-0.0894127280057031,,-0.0109865015319723,-0.0856743867693357,,,,-0.066301248991504,,-0.0071320062612283,,,-0.0060549726294425,,-0.056455125354784,-0.0863603266247832,-0.0877015040435029,,-0.0371065550885347,-0.0342106367196493,,-0.0516279573955191,,,,-0.0607932796204728,-0.0458107592773622,-0.0221418865521396,-0.0072082512090787,-0.0519989954848636,,,-0.0896370164665327,-0.0767480842101413,-0.0707212384213527,,,-0.0943133950081502,-0.0484309552169062,-0.0672401780063367,,-0.0008791170578223,-0.0063818670355733,-0.0876971490886084,-0.0502014958063288,-0.0787174967899151,,,,,,-0.0794123547284115,-0.031462825206951,-0.0351130162710155,,,,,,,,,,,,-0.0729227215864654,-0.0877914068064118,,,,,,,,,,,,,,,,-0.0893428662327462,-0.0532183969666224,-0.0517130319088092,-0.0618065860961678,
H2AK5ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0772742094115628,,,-0.0645213049066892,-0.0505206635719961,-0.0445563500987056,,,,-0.0730544609198826,-0.0047718887372845,-0.0867213537790334,-0.0949063378224117,-0.0113281743454773,-0.0946725594743664,-0.0970831841970003,,-0.0184964394452951,-0.0263364822894978,,,,,,,-0.043357125101215,,-0.0791296416693754,-0.0080166612737642,-0.0553890005587867,-0.054105833999813,,,,,,,,-0.0267831452603601,,-0.0461847241836395,,,-0.0983781555869693,-0.0644550475222303,-0.0792480460143991,,-0.0631874604729585,-0.0603298624434494,-0.0290226860324693,-0.0548135622964238,,,-0.0875355486872884,,-0.0423318060333439,-0.0821873382061735,,-0.0869261576085911,-0.0614874119857873,-0.0930461856811621,-0.0495397265358548,,,,,,,-0.0837462117310785,,-0.0650522047871593,-0.0708924184745338,,,-0.085019202496051,-0.0973077102185691,,-0.013516586195438,-0.0844841318587885,,,,,-0.0975609410611753,,,,,,,,,,,,,,
H3K18ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0293190450095011,,,-0.0057071549127236,-0.0807884253043411,-0.0902778452869146,,-0.0285463159680254,-0.0697742627523254,,-0.0183642245290958,,,-0.0259697961369269,,,,,-0.0367769734197747,-0.0740310875733918,-0.0580540254546111,,,-0.0148826525244842,,,-0.0908481085144217,-0.0813919856264515,-0.0761492845487978,-0.059174119085771,,,,,,,,,,-0.0805889343450196,,,-0.0553566929933779,-0.0425904605561768,,,,,,,,,,-0.0761659980467293,-0.0804577520499201,,,,,,,,,,,,-0.0290405308880501,-0.0885128195335429,,,,,,,,,,,,,,,,-0.0901984076106963,-0.0811030974587811,,,
H3K9ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0675710097652775,,,,,,,,,,-0.0106485647849492,-0.0127150410432044,-0.0605308304926275,-0.0073166949388081,-0.0510832894740715,-0.095583661190135,,,-0.0805914516002914,,-0.050411668045136,-0.0611514708419118,-0.0779280596913398,,-0.0364207497546491,,,,,,,,,,,,,-0.0464106127571781,-0.0642508621072917,,,,,-0.0252374901374459,,,-0.0996510121291454,,-0.091910255573925,,-0.0098349475901127,-0.0609564009802099,-0.0978153627755169,,,,,,,,,,,,,,-0.0299776773375306,-0.0381907637155229,-0.0533842227430962,-0.0835714591479366,-0.0863913056947485,-0.018260243304855
H3K56ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0584735106220364,-0.0963586391163087,-0.0523804990272243,-0.0257430663193201,-0.0284478767876574,-0.0223985712585843,-0.018748592992777,-0.019888550123694,,-0.0144364930756104,-0.0353273802917488,,-0.0939571743011384,,-0.071285929161883,-0.0970732483011307,,-0.0957017331634286,-0.0829499750864499,,-0.0669061982550438,-0.0510272135999319,-0.0058326628903895,-0.0291365843335338,,-0.0859911763811371,,-0.0942666705562693,-0.0245995329289279,-0.0917209064515329,-0.0958563581913427,-0.0812641052585227,,-0.0732267169280174,,-0.0188913519193594,-0.0519402723159299,-0.0603024659443516,-0.0978327848399445,,,,,,,,,,,,,,,-0.0126893809303254,-0.0194174230334827,-0.0466639449192243,
