feature,mean_importance,std_importance,min_importance,max_importance,n_targets
H3K14ac,0.08139865,0.15058441,0.0009752409,0.53643006,25
H3K36me3,0.058472797,0.08696673,0.00077221665,0.3662205,25
H3K4me3,0.05267025,0.10265931,0.00069868367,0.44850758,25
H3K79me3,0.046522662,0.113120496,0.0010337367,0.5389525,25
H3K4me2,0.04096549,0.08152334,0.0006168335,0.34250778,25
H3K4me,0.036500465,0.07747071,0.00071450695,0.27617848,25
H3K56ac,0.035453267,0.08446424,0.0007256066,0.31515154,25
H4R3me2s,0.03477462,0.052497063,0.0003205026,0.18032697,25
H3K18ac,0.032435372,0.07014226,0.0007929434,0.33184192,25
H4K8ac,0.02810246,0.06657262,0.00031867277,0.25295433,25
H3K36me,0.026728546,0.051115427,0.00037369347,0.22235745,25
H3K9ac,0.02662193,0.055628717,0.00094392186,0.2108281,25
H4K20me,0.02655787,0.06028717,0.0003093517,0.27776214,25
H3K36me2,0.024505273,0.048791837,0.0006783522,0.20479277,25
H3K23ac,0.023048468,0.040612683,0.0005477787,0.14894414,25
H3K4ac,0.02277226,0.0388106,0.0007247405,0.12442827,25
H4K12ac,0.019111149,0.053697772,0.00039518432,0.24708222,25
H4K5ac,0.016804397,0.03738599,0.00054698956,0.15762845,25
H3K79me,0.016534565,0.022849383,0.0005031634,0.095774174,25
H2AK5ac,0.016418783,0.02819843,0.00043864292,0.10437339,25
H4K16ac,0.015290776,0.022507025,0.0010790618,0.10673798,25
H2AS129ph,0.0076530874,0.0062669725,0.00046508448,0.02171006,25
Htz1,0.0074588386,0.018070087,0.00047824447,0.08552498,25
H3K27ac,0.005976502,0.009800284,0.0007150741,0.041644584,25
H4R3me,0.0059137326,0.013130898,0.00021623076,0.06335277,25
H3S10ph,0.001303706,0.0011249599,0.00028464443,0.00494531,25
